station,latitude,longitude
1070_Petanjci,46.6833,16.0500
1260_Centiba,46.5667,16.4500
2110_Ptuj,46.4199,15.8697
3420_Radovljica,46.3444,14.1744
3660_Litija,46.0586,14.8225
3725_Hrastnik,46.1461,15.0814
3850_Catez,45.8833,15.6000
4155_Kranj,46.2389,14.3556
4400_Kamnik,46.2259,14.6121
4860_Metlika,45.6474,15.3147
5030_Vrhnika,45.9661,14.2956
5770_Cerknica,45.7931,14.3625
5940_Logatec,45.9144,14.2258
6060_Nazarje,46.3172,14.9467
6200_Lasko,46.1546,15.2356
6280_Velenje,46.3592,15.1103
6720_Celje,46.2397,15.2677
7060_Soteska,45.7833,15.0167
7245_Fuzina,45.8500,14.7833
8031_Krsovec,46.3333,13.5167
8080_Kobarid,46.2476,13.5791
8180_Solkan,45.9714,13.6481
8332_Tolmin,46.1857,13.7313
8561_Vipava,45.8467,13.9631
8610_Podnanos,45.7903,13.9681
9210_Kubed,45.5305,13.8726
9240_Dekani,45.5490,13.8130
9300_Podkastel,45.5094,13.6801
