sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
1060,2025-04-19 22:30,2025-04-19 21:30,118,167,600.0,905.0,1180.0,običajni pretok,13.2
1060,2025-04-22 07:30,2025-04-22 06:30,103,132,600.0,905.0,1180.0,običajni pretok,12.5
1060,2025-04-22 10:30,2025-04-22 09:30,105,137,600.0,905.0,1180.0,običajni pretok,13.1
1060,2025-04-22 11:00,2025-04-22 10:00,104,135,600.0,905.0,1180.0,običajni pretok,13.1
1060,2025-04-22 11:30,2025-04-22 10:30,103,132,600.0,905.0,1180.0,običajni pretok,13.1
1060,2025-04-22 12:30,2025-04-22 11:30,102,130,600.0,905.0,1180.0,običajni pretok,13.2
1060,2025-04-22 13:30,2025-04-22 12:30,100,126,600.0,905.0,1180.0,običajni pretok,13.7
1060,2025-04-22 14:30,2025-04-22 13:30,99,124,600.0,905.0,1180.0,običajni pretok,14.1
1060,2025-04-22 15:30,2025-04-22 14:30,100,126,600.0,905.0,1180.0,običajni pretok,14.3
1060,2025-04-22 16:30,2025-04-22 15:30,103,132,600.0,905.0,1180.0,običajni pretok,14.5
1060,2025-04-22 17:30,2025-04-22 16:30,102,130,600.0,905.0,1180.0,običajni pretok,14.7
1060,2025-04-22 18:30,2025-04-22 17:30,99,124,600.0,905.0,1180.0,običajni pretok,14.7
1060,2025-04-22 19:30,2025-04-22 18:30,97,119,600.0,905.0,1180.0,običajni pretok,14.7
1060,2025-04-22 20:30,2025-04-22 19:30,97,119,600.0,905.0,1180.0,običajni pretok,14.4
1060,2025-04-22 21:30,2025-04-22 20:30,99,124,600.0,905.0,1180.0,običajni pretok,14.2
1060,2025-04-22 22:30,2025-04-22 21:30,100,126,600.0,905.0,1180.0,običajni pretok,13.9
1060,2025-04-22 23:30,2025-04-22 22:30,100,126,600.0,905.0,1180.0,običajni pretok,13.6
1060,2025-04-23 00:30,2025-04-22 23:30,100,126,600.0,905.0,1180.0,običajni pretok,13.4
1060,2025-04-23 02:00,2025-04-23 01:00,102,130,600.0,905.0,1180.0,običajni pretok,13.2
1060,2025-04-23 03:30,2025-04-23 02:30,99,124,600.0,905.0,1180.0,običajni pretok,13.2
1060,2025-04-23 04:30,2025-04-23 03:30,98,121,600.0,905.0,1180.0,običajni pretok,13.1
1060,2025-04-23 05:30,2025-04-23 04:30,98,121,600.0,905.0,1180.0,običajni pretok,13.1
1060,2025-04-23 06:30,2025-04-23 05:30,99,124,600.0,905.0,1180.0,običajni pretok,13.2
1060,2025-04-23 07:30,2025-04-23 06:30,98,121,600.0,905.0,1180.0,običajni pretok,13.2
1060,2025-04-23 08:30,2025-04-23 07:30,98,121,600.0,905.0,1180.0,običajni pretok,13.4
1060,2025-04-23 09:30,2025-04-23 08:30,101,128,600.0,905.0,1180.0,običajni pretok,13.6
1060,2025-04-23 10:30,2025-04-23 09:30,103,132,600.0,905.0,1180.0,običajni pretok,13.8
1060,2025-04-23 11:30,2025-04-23 10:30,104,135,600.0,905.0,1180.0,običajni pretok,14.0
1060,2025-04-23 12:30,2025-04-23 11:30,103,132,600.0,905.0,1180.0,običajni pretok,14.2
1060,2025-04-23 13:30,2025-04-23 12:30,99,124,600.0,905.0,1180.0,običajni pretok,14.4
1060,2025-04-23 14:30,2025-04-23 13:30,99,124,600.0,905.0,1180.0,običajni pretok,14.8
1060,2025-04-23 15:30,2025-04-23 14:30,98,121,600.0,905.0,1180.0,običajni pretok,15.0
1060,2025-04-23 16:30,2025-04-23 15:30,99,124,600.0,905.0,1180.0,običajni pretok,15.1
1060,2025-04-23 17:30,2025-04-23 16:30,98,121,600.0,905.0,1180.0,običajni pretok,15.1
1060,2025-04-23 18:30,2025-04-23 17:30,98,121,600.0,905.0,1180.0,običajni pretok,15.1
1060,2025-04-23 19:30,2025-04-23 18:30,98,121,600.0,905.0,1180.0,običajni pretok,15.1
1060,2025-04-23 20:30,2025-04-23 19:30,101,128,600.0,905.0,1180.0,običajni pretok,14.9
1060,2025-04-23 21:30,2025-04-23 20:30,102,130,600.0,905.0,1180.0,običajni pretok,14.7
1060,2025-04-23 22:30,2025-04-23 21:30,101,128,600.0,905.0,1180.0,običajni pretok,14.4
1060,2025-04-23 23:30,2025-04-23 22:30,101,128,600.0,905.0,1180.0,običajni pretok,14.2
1060,2025-04-24 00:30,2025-04-23 23:30,100,126,600.0,905.0,1180.0,običajni pretok,14.1
1060,2025-04-24 02:00,2025-04-24 01:00,107,141,600.0,905.0,1180.0,običajni pretok,13.8
1060,2025-04-24 03:30,2025-04-24 02:30,103,132,600.0,905.0,1180.0,običajni pretok,13.7
1060,2025-04-24 04:30,2025-04-24 03:30,101,128,600.0,905.0,1180.0,običajni pretok,13.6
1060,2025-04-24 05:30,2025-04-24 04:30,99,124,600.0,905.0,1180.0,običajni pretok,13.5
1060,2025-04-24 06:30,2025-04-24 05:30,102,130,600.0,905.0,1180.0,običajni pretok,13.4
1060,2025-04-24 07:30,2025-04-24 06:30,108,144,600.0,905.0,1180.0,običajni pretok,13.4
1060,2025-04-24 08:30,2025-04-24 07:30,111,151,600.0,905.0,1180.0,običajni pretok,13.5
1060,2025-04-24 09:30,2025-04-24 08:30,111,151,600.0,905.0,1180.0,običajni pretok,13.6
1060,2025-04-24 10:30,2025-04-24 09:30,105,137,600.0,905.0,1180.0,običajni pretok,13.9
1060,2025-04-24 11:30,2025-04-24 10:30,101,128,600.0,905.0,1180.0,običajni pretok,14.3
1060,2025-04-24 12:30,2025-04-24 11:30,102,130,600.0,905.0,1180.0,običajni pretok,14.7
1060,2025-04-24 13:30,2025-04-24 12:30,101,128,600.0,905.0,1180.0,običajni pretok,14.9
1060,2025-04-24 14:30,2025-04-24 13:30,104,135,600.0,905.0,1180.0,običajni pretok,15.2
1060,2025-04-24 15:30,2025-04-24 14:30,105,137,600.0,905.0,1180.0,običajni pretok,15.3
1060,2025-04-24 16:30,2025-04-24 15:30,105,137,600.0,905.0,1180.0,običajni pretok,15.2
1060,2025-04-24 17:30,2025-04-24 16:30,104,135,600.0,905.0,1180.0,običajni pretok,15.1
1060,2025-04-24 18:30,2025-04-24 17:30,118,167,600.0,905.0,1180.0,običajni pretok,14.7
1060,2025-04-24 19:30,2025-04-24 18:30,129,193,600.0,905.0,1180.0,običajni pretok,14.3
1060,2025-04-24 20:30,2025-04-24 19:30,131,198,600.0,905.0,1180.0,običajni pretok,14.1
1060,2025-04-24 21:30,2025-04-24 20:30,129,193,600.0,905.0,1180.0,običajni pretok,14.0
1060,2025-04-24 22:30,2025-04-24 21:30,125,184,600.0,905.0,1180.0,običajni pretok,13.8
1060,2025-04-24 23:30,2025-04-24 22:30,120,172,600.0,905.0,1180.0,običajni pretok,13.7
