sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
1070,2025-04-19 22:30,2025-04-19 21:30,176,192,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 07:30,2025-04-22 06:30,153,147,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 10:30,2025-04-22 09:30,160,161,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 11:00,2025-04-22 10:00,159,159,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 11:30,2025-04-22 10:30,158,157,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 12:30,2025-04-22 11:30,155,151,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 13:30,2025-04-22 12:30,153,147,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 14:30,2025-04-22 13:30,150,142,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 15:30,2025-04-22 14:30,149,140,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 16:30,2025-04-22 15:30,151,144,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 17:30,2025-04-22 16:30,153,147,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 18:30,2025-04-22 17:30,152,145,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 19:30,2025-04-22 18:30,149,140,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 20:30,2025-04-22 19:30,148,138,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 21:30,2025-04-22 20:30,148,138,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 22:30,2025-04-22 21:30,151,144,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-22 23:30,2025-04-22 22:30,152,145,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 00:30,2025-04-22 23:30,151,144,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 02:00,2025-04-23 01:00,154,149,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 03:30,2025-04-23 02:30,152,145,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 04:30,2025-04-23 03:30,150,142,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 05:30,2025-04-23 04:30,149,140,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 06:30,2025-04-23 05:30,149,140,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 07:30,2025-04-23 06:30,150,142,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 08:30,2025-04-23 07:30,150,142,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 09:30,2025-04-23 08:30,151,144,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 10:30,2025-04-23 09:30,154,149,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 11:30,2025-04-23 10:30,156,153,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 12:30,2025-04-23 11:30,157,155,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 13:30,2025-04-23 12:30,154,149,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 14:30,2025-04-23 13:30,149,140,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 15:30,2025-04-23 14:30,149,140,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 16:30,2025-04-23 15:30,147,136,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 17:30,2025-04-23 16:30,149,140,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 18:30,2025-04-23 17:30,149,140,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 19:30,2025-04-23 18:30,148,138,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 20:30,2025-04-23 19:30,150,142,650.0,965.0,1250.0,običajni pretok,
1070,2025-04-23 21:30,2025-04-23 20:30,153,147,650.0,965.0,1250.0,običajni pretok,
