sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
1100,2025-04-19 22:30,2025-04-19 21:30,78,0.03,10.0,21.0,34.0,mali pretok,14.9
1100,2025-04-22 07:30,2025-04-22 06:30,76,0.019,10.0,21.0,34.0,mali pretok,13.9
1100,2025-04-22 10:30,2025-04-22 09:30,76,0.019,10.0,21.0,34.0,mali pretok,16.6
1100,2025-04-22 11:00,2025-04-22 10:00,76,0.019,10.0,21.0,34.0,mali pretok,16.7
1100,2025-04-22 11:30,2025-04-22 10:30,76,0.019,10.0,21.0,34.0,mali pretok,16.9
1100,2025-04-22 12:30,2025-04-22 11:30,76,0.019,10.0,21.0,34.0,mali pretok,16.8
1100,2025-04-22 13:30,2025-04-22 12:30,76,0.019,10.0,21.0,34.0,mali pretok,17.0
1100,2025-04-22 14:30,2025-04-22 13:30,76,0.019,10.0,21.0,34.0,mali pretok,17.2
1100,2025-04-22 15:30,2025-04-22 14:30,76,0.019,10.0,21.0,34.0,mali pretok,17.2
1100,2025-04-22 16:30,2025-04-22 15:30,76,0.019,10.0,21.0,34.0,mali pretok,17.3
1100,2025-04-22 17:30,2025-04-22 16:30,76,0.019,10.0,21.0,34.0,mali pretok,17.1
1100,2025-04-22 18:30,2025-04-22 17:30,76,0.019,10.0,21.0,34.0,mali pretok,16.9
1100,2025-04-22 19:30,2025-04-22 18:30,76,0.019,10.0,21.0,34.0,mali pretok,16.8
1100,2025-04-22 20:30,2025-04-22 19:30,76,0.019,10.0,21.0,34.0,mali pretok,16.6
1100,2025-04-22 21:30,2025-04-22 20:30,76,0.019,10.0,21.0,34.0,mali pretok,16.3
1100,2025-04-22 22:30,2025-04-22 21:30,76,0.019,10.0,21.0,34.0,mali pretok,15.9
1100,2025-04-22 23:30,2025-04-22 22:30,75,0.015,10.0,21.0,34.0,mali pretok,15.6
1100,2025-04-23 00:30,2025-04-22 23:30,75,0.015,10.0,21.0,34.0,mali pretok,15.3
1100,2025-04-23 02:00,2025-04-23 01:00,75,0.015,10.0,21.0,34.0,mali pretok,15.1
1100,2025-04-23 03:30,2025-04-23 02:30,75,0.015,10.0,21.0,34.0,mali pretok,14.6
1100,2025-04-23 04:30,2025-04-23 03:30,75,0.015,10.0,21.0,34.0,mali pretok,14.2
1100,2025-04-23 05:30,2025-04-23 04:30,75,0.015,10.0,21.0,34.0,mali pretok,13.9
1100,2025-04-23 06:30,2025-04-23 05:30,75,0.015,10.0,21.0,34.0,mali pretok,13.6
1100,2025-04-23 07:30,2025-04-23 06:30,75,0.015,10.0,21.0,34.0,mali pretok,13.5
1100,2025-04-23 08:30,2025-04-23 07:30,75,0.015,10.0,21.0,34.0,mali pretok,13.7
