sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
1165,2025-04-19 22:30,2025-04-19 21:30,54,0.104,19.0,31.0,48.0,mali pretok,12.8
1165,2025-04-22 07:30,2025-04-22 06:30,53,0.08,19.0,31.0,48.0,mali pretok,13.3
1165,2025-04-22 10:30,2025-04-22 09:30,53,0.08,19.0,31.0,48.0,mali pretok,13.7
1165,2025-04-22 11:00,2025-04-22 10:00,53,0.08,19.0,31.0,48.0,mali pretok,13.8
1165,2025-04-22 11:30,2025-04-22 10:30,53,0.08,19.0,31.0,48.0,mali pretok,13.9
1165,2025-04-22 12:30,2025-04-22 11:30,53,0.08,19.0,31.0,48.0,mali pretok,14.2
1165,2025-04-22 13:30,2025-04-22 12:30,53,0.08,19.0,31.0,48.0,mali pretok,14.6
1165,2025-04-22 14:30,2025-04-22 13:30,53,0.08,19.0,31.0,48.0,mali pretok,15.1
1165,2025-04-22 15:30,2025-04-22 14:30,53,0.08,19.0,31.0,48.0,mali pretok,15.5
1165,2025-04-22 16:30,2025-04-22 15:30,53,0.08,19.0,31.0,48.0,mali pretok,15.8
1165,2025-04-22 17:30,2025-04-22 16:30,57,0.196,19.0,31.0,48.0,običajni pretok,15.6
1165,2025-04-22 18:30,2025-04-22 17:30,54,0.104,19.0,31.0,48.0,mali pretok,14.9
1165,2025-04-22 19:30,2025-04-22 18:30,53,0.08,19.0,31.0,48.0,mali pretok,14.7
1165,2025-04-22 20:30,2025-04-22 19:30,53,0.08,19.0,31.0,48.0,mali pretok,14.7
1165,2025-04-22 21:30,2025-04-22 20:30,53,0.08,19.0,31.0,48.0,mali pretok,14.8
1165,2025-04-22 22:30,2025-04-22 21:30,53,0.08,19.0,31.0,48.0,mali pretok,14.7
1165,2025-04-22 23:30,2025-04-22 22:30,53,0.08,19.0,31.0,48.0,mali pretok,14.6
1165,2025-04-23 00:30,2025-04-22 23:30,53,0.08,19.0,31.0,48.0,mali pretok,14.4
1165,2025-04-23 02:00,2025-04-23 01:00,53,0.08,19.0,31.0,48.0,mali pretok,14.2
