sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
1300,2025-04-19 22:30,2025-04-19 21:30,44,0.036,7.4,12.8,21.0,običajni pretok,14.0
1300,2025-04-22 07:30,2025-04-22 06:30,44,0.036,7.4,12.8,21.0,običajni pretok,13.8
1300,2025-04-22 10:30,2025-04-22 09:30,42,0.023,7.4,12.8,21.0,običajni pretok,13.7
1300,2025-04-22 11:00,2025-04-22 10:00,43,0.029,7.4,12.8,21.0,običajni pretok,13.8
1300,2025-04-22 11:30,2025-04-22 10:30,43,0.029,7.4,12.8,21.0,običajni pretok,13.9
1300,2025-04-22 12:30,2025-04-22 11:30,44,0.036,7.4,12.8,21.0,običajni pretok,14.2
1300,2025-04-22 13:30,2025-04-22 12:30,43,0.029,7.4,12.8,21.0,običajni pretok,14.6
1300,2025-04-22 14:30,2025-04-22 13:30,44,0.036,7.4,12.8,21.0,običajni pretok,15.0
1300,2025-04-22 15:30,2025-04-22 14:30,44,0.036,7.4,12.8,21.0,običajni pretok,15.5
1300,2025-04-22 16:30,2025-04-22 15:30,44,0.036,7.4,12.8,21.0,običajni pretok,15.9
1300,2025-04-22 17:30,2025-04-22 16:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.2
1300,2025-04-22 18:30,2025-04-22 17:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.2
1300,2025-04-22 19:30,2025-04-22 18:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.2
1300,2025-04-22 20:30,2025-04-22 19:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.1
1300,2025-04-22 21:30,2025-04-22 20:30,44,0.036,7.4,12.8,21.0,običajni pretok,15.9
1300,2025-04-22 22:30,2025-04-22 21:30,44,0.036,7.4,12.8,21.0,običajni pretok,15.7
1300,2025-04-22 23:30,2025-04-22 22:30,43,0.029,7.4,12.8,21.0,običajni pretok,15.5
1300,2025-04-23 00:30,2025-04-22 23:30,43,0.029,7.4,12.8,21.0,običajni pretok,15.2
1300,2025-04-23 02:00,2025-04-23 01:00,43,0.029,7.4,12.8,21.0,običajni pretok,14.9
1300,2025-04-23 03:30,2025-04-23 02:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.6
1300,2025-04-23 04:30,2025-04-23 03:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.4
1300,2025-04-23 05:30,2025-04-23 04:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.1
1300,2025-04-23 06:30,2025-04-23 05:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.0
1300,2025-04-23 07:30,2025-04-23 06:30,42,0.023,7.4,12.8,21.0,običajni pretok,13.8
1300,2025-04-23 08:30,2025-04-23 07:30,42,0.023,7.4,12.8,21.0,običajni pretok,13.7
1300,2025-04-23 09:30,2025-04-23 08:30,42,0.023,7.4,12.8,21.0,običajni pretok,13.6
1300,2025-04-23 10:30,2025-04-23 09:30,42,0.023,7.4,12.8,21.0,običajni pretok,13.7
1300,2025-04-23 11:30,2025-04-23 10:30,42,0.023,7.4,12.8,21.0,običajni pretok,13.9
1300,2025-04-23 12:30,2025-04-23 11:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.2
1300,2025-04-23 13:30,2025-04-23 12:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.7
1300,2025-04-23 14:30,2025-04-23 13:30,42,0.023,7.4,12.8,21.0,običajni pretok,15.1
1300,2025-04-23 15:30,2025-04-23 14:30,43,0.029,7.4,12.8,21.0,običajni pretok,15.5
1300,2025-04-23 16:30,2025-04-23 15:30,44,0.036,7.4,12.8,21.0,običajni pretok,15.9
1300,2025-04-23 17:30,2025-04-23 16:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.1
1300,2025-04-23 18:30,2025-04-23 17:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.2
1300,2025-04-23 19:30,2025-04-23 18:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.2
1300,2025-04-23 20:30,2025-04-23 19:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.2
1300,2025-04-23 21:30,2025-04-23 20:30,44,0.036,7.4,12.8,21.0,običajni pretok,16.0
1300,2025-04-23 22:30,2025-04-23 21:30,43,0.029,7.4,12.8,21.0,običajni pretok,15.9
1300,2025-04-23 23:30,2025-04-23 22:30,43,0.029,7.4,12.8,21.0,običajni pretok,15.7
1300,2025-04-24 00:30,2025-04-23 23:30,42,0.023,7.4,12.8,21.0,običajni pretok,15.5
1300,2025-04-24 02:00,2025-04-24 01:00,42,0.023,7.4,12.8,21.0,običajni pretok,15.2
1300,2025-04-24 03:30,2025-04-24 02:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.9
1300,2025-04-24 04:30,2025-04-24 03:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.7
1300,2025-04-24 05:30,2025-04-24 04:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.5
1300,2025-04-24 06:30,2025-04-24 05:30,42,0.023,7.4,12.8,21.0,običajni pretok,14.2
