sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
1312,2025-04-19 22:30,2025-04-19 21:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-22 07:30,2025-04-22 06:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-22 10:30,2025-04-22 09:30,,,16.0,22.0,30.0,,
1312,2025-04-22 11:00,2025-04-22 10:00,,,16.0,22.0,30.0,,
1312,2025-04-22 11:30,2025-04-22 10:30,,,16.0,22.0,30.0,,
1312,2025-04-22 12:30,2025-04-22 11:30,,,16.0,22.0,30.0,,
1312,2025-04-22 13:30,2025-04-22 12:30,,,16.0,22.0,30.0,,
1312,2025-04-22 14:30,2025-04-22 13:30,,,16.0,22.0,30.0,,
1312,2025-04-22 15:30,2025-04-22 14:30,,,16.0,22.0,30.0,,
1312,2025-04-22 16:30,2025-04-22 15:30,,,16.0,22.0,30.0,,
1312,2025-04-22 17:30,2025-04-22 16:30,,,16.0,22.0,30.0,,
1312,2025-04-22 18:30,2025-04-22 17:30,,,16.0,22.0,30.0,,
1312,2025-04-22 19:30,2025-04-22 18:30,,,16.0,22.0,30.0,,
1312,2025-04-22 20:30,2025-04-22 19:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-22 21:30,2025-04-22 20:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-22 22:30,2025-04-22 21:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-22 23:30,2025-04-22 22:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 00:30,2025-04-22 23:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 02:00,2025-04-23 01:00,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 03:30,2025-04-23 02:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 04:30,2025-04-23 03:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 05:30,2025-04-23 04:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 06:30,2025-04-23 05:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 07:30,2025-04-23 06:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 08:30,2025-04-23 07:30,96.0,0.128,16.0,22.0,30.0,običajni pretok,
1312,2025-04-23 09:30,2025-04-23 08:30,,,16.0,22.0,30.0,,
1312,2025-04-23 10:30,2025-04-23 09:30,,,16.0,22.0,30.0,,
1312,2025-04-23 11:30,2025-04-23 10:30,,,16.0,22.0,30.0,,
