sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
1355,2025-04-19 22:30,2025-04-19 21:30,13.0,0.113,21.0,37.0,50.0,običajni pretok,14.0
1355,2025-04-22 07:30,2025-04-22 06:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,13.5
1355,2025-04-22 10:30,2025-04-22 09:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,13.8
1355,2025-04-22 11:00,2025-04-22 10:00,12.0,0.087,21.0,37.0,50.0,običajni pretok,14.0
1355,2025-04-22 11:30,2025-04-22 10:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,14.2
1355,2025-04-22 12:30,2025-04-22 11:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,14.5
1355,2025-04-22 13:30,2025-04-22 12:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,14.8
1355,2025-04-22 14:30,2025-04-22 13:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,15.7
1355,2025-04-22 15:30,2025-04-22 14:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,15.9
1355,2025-04-22 16:30,2025-04-22 15:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,15.9
1355,2025-04-22 17:30,2025-04-22 16:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,16.1
1355,2025-04-22 18:30,2025-04-22 17:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,16.2
1355,2025-04-22 19:30,2025-04-22 18:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,16.2
1355,2025-04-22 20:30,2025-04-22 19:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,16.0
1355,2025-04-22 21:30,2025-04-22 20:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,15.7
1355,2025-04-22 22:30,2025-04-22 21:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,15.4
1355,2025-04-22 23:30,2025-04-22 22:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,15.1
1355,2025-04-23 00:30,2025-04-22 23:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,14.8
1355,2025-04-23 02:00,2025-04-23 01:00,12.0,0.087,21.0,37.0,50.0,običajni pretok,14.5
1355,2025-04-23 03:30,2025-04-23 02:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,14.2
1355,2025-04-23 04:30,2025-04-23 03:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,13.9
1355,2025-04-23 05:30,2025-04-23 04:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,13.7
1355,2025-04-23 06:30,2025-04-23 05:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,13.5
1355,2025-04-23 07:30,2025-04-23 06:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,13.3
1355,2025-04-23 08:30,2025-04-23 07:30,12.0,0.087,21.0,37.0,50.0,običajni pretok,13.3
1355,2025-04-23 09:30,2025-04-23 08:30,,,21.0,37.0,50.0,,
1355,2025-04-23 10:30,2025-04-23 09:30,,,21.0,37.0,50.0,,
1355,2025-04-23 11:30,2025-04-23 10:30,,,21.0,37.0,50.0,,
1355,2025-04-23 12:30,2025-04-23 11:30,,,21.0,37.0,50.0,,
1355,2025-04-23 13:30,2025-04-23 12:30,,,21.0,37.0,50.0,,
1355,2025-04-23 14:30,2025-04-23 13:30,,,21.0,37.0,50.0,,
1355,2025-04-23 15:30,2025-04-23 14:30,,,21.0,37.0,50.0,,
1355,2025-04-23 16:30,2025-04-23 15:30,,,21.0,37.0,50.0,,
1355,2025-04-23 17:30,2025-04-23 16:30,,,21.0,37.0,50.0,,
1355,2025-04-23 18:30,2025-04-23 17:30,,,21.0,37.0,50.0,,
1355,2025-04-23 19:30,2025-04-23 18:30,,,21.0,37.0,50.0,,
1355,2025-04-23 20:30,2025-04-23 19:30,,,21.0,37.0,50.0,,
1355,2025-04-23 21:30,2025-04-23 20:30,,,21.0,37.0,50.0,,
1355,2025-04-23 22:30,2025-04-23 21:30,,,21.0,37.0,50.0,,
1355,2025-04-23 23:30,2025-04-23 22:30,,,21.0,37.0,50.0,,
1355,2025-04-24 00:30,2025-04-23 23:30,,,21.0,37.0,50.0,,
1355,2025-04-24 02:00,2025-04-24 01:00,,,21.0,37.0,50.0,,
1355,2025-04-24 03:30,2025-04-24 02:30,,,21.0,37.0,50.0,,
1355,2025-04-24 04:30,2025-04-24 03:30,,,21.0,37.0,50.0,,
1355,2025-04-24 05:30,2025-04-24 04:30,,,21.0,37.0,50.0,,
1355,2025-04-24 06:30,2025-04-24 05:30,,,21.0,37.0,50.0,,
1355,2025-04-24 07:30,2025-04-24 06:30,,,21.0,37.0,50.0,,
1355,2025-04-24 08:30,2025-04-24 07:30,,,21.0,37.0,50.0,,
1355,2025-04-24 09:30,2025-04-24 08:30,,,21.0,37.0,50.0,,
1355,2025-04-24 10:30,2025-04-24 09:30,,,21.0,37.0,50.0,,
1355,2025-04-24 11:30,2025-04-24 10:30,,,21.0,37.0,50.0,,
1355,2025-04-24 12:30,2025-04-24 11:30,,,21.0,37.0,50.0,,
1355,2025-04-24 13:30,2025-04-24 12:30,,,21.0,37.0,50.0,,
1355,2025-04-24 14:30,2025-04-24 13:30,,,21.0,37.0,50.0,,
1355,2025-04-24 15:30,2025-04-24 14:30,,,21.0,37.0,50.0,,
1355,2025-04-24 16:30,2025-04-24 15:30,,,21.0,37.0,50.0,,
1355,2025-04-24 17:30,2025-04-24 16:30,,,21.0,37.0,50.0,,
1355,2025-04-24 18:30,2025-04-24 17:30,,,21.0,37.0,50.0,,
1355,2025-04-24 19:30,2025-04-24 18:30,,,21.0,37.0,50.0,,
1355,2025-04-24 20:30,2025-04-24 19:30,,,21.0,37.0,50.0,,
1355,2025-04-24 21:30,2025-04-24 20:30,,,21.0,37.0,50.0,,
1355,2025-04-24 22:30,2025-04-24 21:30,,,21.0,37.0,50.0,,
1355,2025-04-24 23:30,2025-04-24 22:30,,,21.0,37.0,50.0,,
1355,2025-04-25 00:30,2025-04-24 23:30,,,21.0,37.0,50.0,,
1355,2025-04-25 02:00,2025-04-25 01:00,,,21.0,37.0,50.0,,
1355,2025-04-25 03:30,2025-04-25 02:30,,,21.0,37.0,50.0,,
1355,2025-04-25 04:30,2025-04-25 03:30,,,21.0,37.0,50.0,,
1355,2025-04-25 05:30,2025-04-25 04:30,,,21.0,37.0,50.0,,
1355,2025-04-25 06:30,2025-04-25 05:30,,,21.0,37.0,50.0,,
1355,2025-04-25 07:30,2025-04-25 06:30,,,21.0,37.0,50.0,,
1355,2025-04-25 08:30,2025-04-25 07:30,,,21.0,37.0,50.0,,
