sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2110,2025-04-19 22:30,2025-04-19 21:30,499,539.0,1300.0,1580.0,1700.0,običajni pretok,12.7
2110,2025-04-22 07:30,2025-04-22 06:30,498,464.0,1300.0,1580.0,1700.0,običajni pretok,13.2
2110,2025-04-22 10:30,2025-04-22 09:30,497,171.0,1300.0,1580.0,1700.0,mali pretok,13.7
2110,2025-04-22 11:00,2025-04-22 10:00,505,124.0,1300.0,1580.0,1700.0,mali pretok,13.7
2110,2025-04-22 11:30,2025-04-22 10:30,506,151.0,1300.0,1580.0,1700.0,mali pretok,13.7
2110,2025-04-22 12:30,2025-04-22 11:30,512,,1300.0,1580.0,1700.0,,13.9
2110,2025-04-22 13:30,2025-04-22 12:30,511,61.2,1300.0,1580.0,1700.0,mali pretok,14.3
2110,2025-04-22 14:30,2025-04-22 13:30,515,251.0,1300.0,1580.0,1700.0,običajni pretok,14.5
2110,2025-04-22 15:30,2025-04-22 14:30,508,166.0,1300.0,1580.0,1700.0,mali pretok,14.3
2110,2025-04-22 16:30,2025-04-22 15:30,505,285.0,1300.0,1580.0,1700.0,običajni pretok,14.1
2110,2025-04-22 17:30,2025-04-22 16:30,507,389.0,1300.0,1580.0,1700.0,običajni pretok,14.0
2110,2025-04-22 18:30,2025-04-22 17:30,505,428.0,1300.0,1580.0,1700.0,običajni pretok,13.9
2110,2025-04-22 19:30,2025-04-22 18:30,506,458.0,1300.0,1580.0,1700.0,običajni pretok,13.8
2110,2025-04-22 20:30,2025-04-22 19:30,504,500.0,1300.0,1580.0,1700.0,običajni pretok,13.7
2110,2025-04-22 21:30,2025-04-22 20:30,501,441.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-22 22:30,2025-04-22 21:30,499,465.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-22 23:30,2025-04-22 22:30,498,536.0,1300.0,1580.0,1700.0,običajni pretok,13.8
2110,2025-04-23 00:30,2025-04-22 23:30,496,468.0,1300.0,1580.0,1700.0,običajni pretok,13.8
2110,2025-04-23 02:00,2025-04-23 01:00,492,335.0,1300.0,1580.0,1700.0,običajni pretok,13.7
2110,2025-04-23 03:30,2025-04-23 02:30,503,262.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-23 04:30,2025-04-23 03:30,509,414.0,1300.0,1580.0,1700.0,običajni pretok,13.5
2110,2025-04-23 05:30,2025-04-23 04:30,512,442.0,1300.0,1580.0,1700.0,običajni pretok,13.5
2110,2025-04-23 06:30,2025-04-23 05:30,509,518.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-23 07:30,2025-04-23 06:30,507,507.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-23 08:30,2025-04-23 07:30,496,372.0,1300.0,1580.0,1700.0,običajni pretok,
2110,2025-04-23 09:30,2025-04-23 08:30,506,243.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-23 10:30,2025-04-23 09:30,507,159.0,1300.0,1580.0,1700.0,mali pretok,13.7
2110,2025-04-23 11:30,2025-04-23 10:30,505,227.0,1300.0,1580.0,1700.0,običajni pretok,14.0
2110,2025-04-23 12:30,2025-04-23 11:30,504,119.0,1300.0,1580.0,1700.0,mali pretok,14.1
2110,2025-04-23 13:30,2025-04-23 12:30,513,170.0,1300.0,1580.0,1700.0,mali pretok,14.2
2110,2025-04-23 14:30,2025-04-23 13:30,519,109.0,1300.0,1580.0,1700.0,mali pretok,14.2
2110,2025-04-23 15:30,2025-04-23 14:30,519,243.0,1300.0,1580.0,1700.0,običajni pretok,14.5
2110,2025-04-23 16:30,2025-04-23 15:30,515,280.0,1300.0,1580.0,1700.0,običajni pretok,14.8
2110,2025-04-23 17:30,2025-04-23 16:30,513,453.0,1300.0,1580.0,1700.0,običajni pretok,14.0
2110,2025-04-23 18:30,2025-04-23 17:30,508,475.0,1300.0,1580.0,1700.0,običajni pretok,13.8
2110,2025-04-23 19:30,2025-04-23 18:30,506,407.0,1300.0,1580.0,1700.0,običajni pretok,13.8
2110,2025-04-23 20:30,2025-04-23 19:30,502,464.0,1300.0,1580.0,1700.0,običajni pretok,13.8
2110,2025-04-23 21:30,2025-04-23 20:30,505,411.0,1300.0,1580.0,1700.0,običajni pretok,13.9
2110,2025-04-23 22:30,2025-04-23 21:30,502,489.0,1300.0,1580.0,1700.0,običajni pretok,13.9
2110,2025-04-23 23:30,2025-04-23 22:30,498,467.0,1300.0,1580.0,1700.0,običajni pretok,13.9
2110,2025-04-24 00:30,2025-04-23 23:30,491,331.0,1300.0,1580.0,1700.0,običajni pretok,13.8
2110,2025-04-24 02:00,2025-04-24 01:00,500,244.0,1300.0,1580.0,1700.0,običajni pretok,13.7
2110,2025-04-24 03:30,2025-04-24 02:30,510,171.0,1300.0,1580.0,1700.0,mali pretok,13.7
2110,2025-04-24 04:30,2025-04-24 03:30,517,164.0,1300.0,1580.0,1700.0,mali pretok,13.6
2110,2025-04-24 05:30,2025-04-24 04:30,513,378.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-24 06:30,2025-04-24 05:30,505,321.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-24 07:30,2025-04-24 06:30,500,342.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-24 08:30,2025-04-24 07:30,497,419.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-24 09:30,2025-04-24 08:30,497,445.0,1300.0,1580.0,1700.0,običajni pretok,13.7
2110,2025-04-24 10:30,2025-04-24 09:30,501,329.0,1300.0,1580.0,1700.0,običajni pretok,13.8
2110,2025-04-24 11:30,2025-04-24 10:30,507,158.0,1300.0,1580.0,1700.0,mali pretok,14.0
2110,2025-04-24 12:30,2025-04-24 11:30,514,9.13,1300.0,1580.0,1700.0,mali pretok,14.2
2110,2025-04-24 13:30,2025-04-24 12:30,519,54.1,1300.0,1580.0,1700.0,mali pretok,14.4
2110,2025-04-24 14:30,2025-04-24 13:30,512,219.0,1300.0,1580.0,1700.0,običajni pretok,14.6
2110,2025-04-24 15:30,2025-04-24 14:30,505,16.7,1300.0,1580.0,1700.0,mali pretok,14.6
2110,2025-04-24 16:30,2025-04-24 15:30,504,436.0,1300.0,1580.0,1700.0,običajni pretok,14.4
2110,2025-04-24 17:30,2025-04-24 16:30,510,436.0,1300.0,1580.0,1700.0,običajni pretok,13.9
2110,2025-04-24 18:30,2025-04-24 17:30,507,527.0,1300.0,1580.0,1700.0,običajni pretok,13.7
2110,2025-04-24 19:30,2025-04-24 18:30,506,491.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-24 20:30,2025-04-24 19:30,505,554.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-24 21:30,2025-04-24 20:30,504,528.0,1300.0,1580.0,1700.0,običajni pretok,13.6
2110,2025-04-24 22:30,2025-04-24 21:30,502,585.0,1300.0,1580.0,1700.0,veliki pretok,13.6
2110,2025-04-24 23:30,2025-04-24 22:30,499,550.0,1300.0,1580.0,1700.0,običajni pretok,13.5
2110,2025-04-25 00:30,2025-04-24 23:30,492,406.0,1300.0,1580.0,1700.0,običajni pretok,13.4
2110,2025-04-25 02:00,2025-04-25 01:00,495,281.0,1300.0,1580.0,1700.0,običajni pretok,13.3
2110,2025-04-25 03:30,2025-04-25 02:30,496,199.0,1300.0,1580.0,1700.0,običajni pretok,13.2
2110,2025-04-25 04:30,2025-04-25 03:30,494,261,1300.0,1580.0,1700.0,običajni pretok,13.1
