sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2160,2025-04-19 22:30,2025-04-19 21:30,26,23.3,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,14.0
2160,2025-04-22 07:30,2025-04-22 06:30,23,21.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,13.9
2160,2025-04-22 10:30,2025-04-22 09:30,23,21.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,14.2
2160,2025-04-22 11:00,2025-04-22 10:00,23,21.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,14.4
2160,2025-04-22 11:30,2025-04-22 10:30,24,22.3,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,14.4
2160,2025-04-22 12:30,2025-04-22 11:30,23,21.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,14.8
2160,2025-04-22 13:30,2025-04-22 12:30,23,21.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,15.4
2160,2025-04-22 14:30,2025-04-22 13:30,22,21.3,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,16.0
2160,2025-04-22 15:30,2025-04-22 14:30,24,22.3,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,16.7
2160,2025-04-22 16:30,2025-04-22 15:30,25,22.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,17.1
2160,2025-04-22 17:30,2025-04-22 16:30,24,22.3,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,17.3
2160,2025-04-22 18:30,2025-04-22 17:30,22,21.3,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,17.2
2160,2025-04-22 19:30,2025-04-22 18:30,21,20.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,17.0
2160,2025-04-22 20:30,2025-04-22 19:30,25,22.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,16.6
2160,2025-04-22 21:30,2025-04-22 20:30,25,22.8,500.0,1200.0,1500.0,!! brez neg. znacilnih vrednosti !!,16.2
