sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2220,2025-04-19 22:30,2025-04-19 21:30,59.0,,30.0,39.0,60.0,,8.4
2220,2025-04-22 07:30,2025-04-22 06:30,57.0,,30.0,39.0,60.0,,8.4
2220,2025-04-22 10:30,2025-04-22 09:30,57.0,,30.0,39.0,60.0,,8.6
2220,2025-04-22 11:00,2025-04-22 10:00,57.0,,30.0,39.0,60.0,,8.7
2220,2025-04-22 11:30,2025-04-22 10:30,57.0,,30.0,39.0,60.0,,8.9
2220,2025-04-22 12:30,2025-04-22 11:30,57.0,,30.0,39.0,60.0,,9.1
2220,2025-04-22 13:30,2025-04-22 12:30,57.0,,30.0,39.0,60.0,,9.4
2220,2025-04-22 14:30,2025-04-22 13:30,56.0,,30.0,39.0,60.0,,9.6
2220,2025-04-22 15:30,2025-04-22 14:30,56.0,,30.0,39.0,60.0,,9.9
2220,2025-04-22 16:30,2025-04-22 15:30,56.0,,30.0,39.0,60.0,,10.1
2220,2025-04-22 17:30,2025-04-22 16:30,56.0,,30.0,39.0,60.0,,10.4
2220,2025-04-22 18:30,2025-04-22 17:30,57.0,,30.0,39.0,60.0,,10.5
2220,2025-04-22 19:30,2025-04-22 18:30,56.0,,30.0,39.0,60.0,,10.5
2220,2025-04-22 20:30,2025-04-22 19:30,56.0,,30.0,39.0,60.0,,10.4
2220,2025-04-22 21:30,2025-04-22 20:30,56.0,,30.0,39.0,60.0,,10.2
2220,2025-04-22 22:30,2025-04-22 21:30,56.0,,30.0,39.0,60.0,,10.0
2220,2025-04-22 23:30,2025-04-22 22:30,56.0,,30.0,39.0,60.0,,9.8
2220,2025-04-23 00:30,2025-04-22 23:30,56.0,,30.0,39.0,60.0,,9.6
2220,2025-04-23 02:00,2025-04-23 01:00,56.0,,30.0,39.0,60.0,,9.4
2220,2025-04-23 03:30,2025-04-23 02:30,57.0,,30.0,39.0,60.0,,9.2
2220,2025-04-23 04:30,2025-04-23 03:30,57.0,,30.0,39.0,60.0,,9.1
2220,2025-04-23 05:30,2025-04-23 04:30,57.0,,30.0,39.0,60.0,,9.0
