sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2432,2025-04-19 22:30,2025-04-19 21:30,38,1.27,30.0,39.0,49.0,običajni pretok,10.4
2432,2025-04-22 07:30,2025-04-22 06:30,39,1.32,30.0,39.0,49.0,običajni pretok,10.8
2432,2025-04-22 10:30,2025-04-22 09:30,38,1.27,30.0,39.0,49.0,običajni pretok,10.7
2432,2025-04-22 11:00,2025-04-22 10:00,39,1.32,30.0,39.0,49.0,običajni pretok,10.7
2432,2025-04-22 11:30,2025-04-22 10:30,40,1.38,30.0,39.0,49.0,običajni pretok,10.7
2432,2025-04-22 12:30,2025-04-22 11:30,39,1.32,30.0,39.0,49.0,običajni pretok,10.8
2432,2025-04-22 13:30,2025-04-22 12:30,40,1.38,30.0,39.0,49.0,običajni pretok,10.9
2432,2025-04-22 14:30,2025-04-22 13:30,38,1.27,30.0,39.0,49.0,običajni pretok,11.1
2432,2025-04-22 15:30,2025-04-22 14:30,39,1.32,30.0,39.0,49.0,običajni pretok,11.2
2432,2025-04-22 16:30,2025-04-22 15:30,39,1.32,30.0,39.0,49.0,običajni pretok,11.4
2432,2025-04-22 17:30,2025-04-22 16:30,37,1.22,30.0,39.0,49.0,običajni pretok,11.5
2432,2025-04-22 18:30,2025-04-22 17:30,38,1.27,30.0,39.0,49.0,običajni pretok,11.6
2432,2025-04-22 19:30,2025-04-22 18:30,39,1.32,30.0,39.0,49.0,običajni pretok,11.7
2432,2025-04-22 20:30,2025-04-22 19:30,39,1.32,30.0,39.0,49.0,običajni pretok,11.7
2432,2025-04-22 21:30,2025-04-22 20:30,39,1.32,30.0,39.0,49.0,običajni pretok,11.7
2432,2025-04-22 22:30,2025-04-22 21:30,36,1.17,30.0,39.0,49.0,mali pretok,11.7
2432,2025-04-22 23:30,2025-04-22 22:30,36,1.17,30.0,39.0,49.0,mali pretok,11.7
2432,2025-04-23 00:30,2025-04-22 23:30,36,1.17,30.0,39.0,49.0,mali pretok,11.6
2432,2025-04-23 02:00,2025-04-23 01:00,38,1.27,30.0,39.0,49.0,običajni pretok,11.5
2432,2025-04-23 03:30,2025-04-23 02:30,38,1.27,30.0,39.0,49.0,običajni pretok,11.4
2432,2025-04-23 04:30,2025-04-23 03:30,38,1.27,30.0,39.0,49.0,običajni pretok,11.3
2432,2025-04-23 05:30,2025-04-23 04:30,36,1.17,30.0,39.0,49.0,mali pretok,11.2
2432,2025-04-23 06:30,2025-04-23 05:30,39,1.32,30.0,39.0,49.0,običajni pretok,11.2
2432,2025-04-23 07:30,2025-04-23 06:30,36,1.17,30.0,39.0,49.0,mali pretok,11.1
2432,2025-04-23 08:30,2025-04-23 07:30,39,1.32,30.0,39.0,49.0,običajni pretok,11.1
2432,2025-04-23 09:30,2025-04-23 08:30,38,1.27,30.0,39.0,49.0,običajni pretok,11.1
2432,2025-04-23 10:30,2025-04-23 09:30,39,1.32,30.0,39.0,49.0,običajni pretok,11.1
