sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2667,2025-04-19 22:30,2025-04-19 21:30,85,1.16,32.0,45.0,55.0,običajni pretok,11.1
2667,2025-04-22 07:30,2025-04-22 06:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.7
2667,2025-04-22 10:30,2025-04-22 09:30,83,0.979,32.0,45.0,55.0,običajni pretok,11.0
2667,2025-04-22 11:00,2025-04-22 10:00,84,1.07,32.0,45.0,55.0,običajni pretok,11.3
2667,2025-04-22 11:30,2025-04-22 10:30,84,1.07,32.0,45.0,55.0,običajni pretok,11.5
2667,2025-04-22 12:30,2025-04-22 11:30,84,1.07,32.0,45.0,55.0,običajni pretok,12.0
2667,2025-04-22 13:30,2025-04-22 12:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.5
2667,2025-04-22 14:30,2025-04-22 13:30,84,1.07,32.0,45.0,55.0,običajni pretok,13.2
2667,2025-04-22 15:30,2025-04-22 14:30,84,1.07,32.0,45.0,55.0,običajni pretok,13.9
2667,2025-04-22 16:30,2025-04-22 15:30,81,0.815,32.0,45.0,55.0,običajni pretok,14.2
2667,2025-04-22 17:30,2025-04-22 16:30,85,1.16,32.0,45.0,55.0,običajni pretok,14.4
2667,2025-04-22 18:30,2025-04-22 17:30,83,0.979,32.0,45.0,55.0,običajni pretok,14.4
2667,2025-04-22 19:30,2025-04-22 18:30,83,0.979,32.0,45.0,55.0,običajni pretok,14.2
2667,2025-04-22 20:30,2025-04-22 19:30,83,0.979,32.0,45.0,55.0,običajni pretok,14.0
2667,2025-04-22 21:30,2025-04-22 20:30,83,0.979,32.0,45.0,55.0,običajni pretok,13.6
2667,2025-04-22 22:30,2025-04-22 21:30,83,0.979,32.0,45.0,55.0,običajni pretok,13.2
2667,2025-04-22 23:30,2025-04-22 22:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.7
2667,2025-04-23 00:30,2025-04-22 23:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.3
2667,2025-04-23 02:00,2025-04-23 01:00,83,0.979,32.0,45.0,55.0,običajni pretok,11.8
2667,2025-04-23 03:30,2025-04-23 02:30,83,0.979,32.0,45.0,55.0,običajni pretok,11.4
2667,2025-04-23 04:30,2025-04-23 03:30,83,0.979,32.0,45.0,55.0,običajni pretok,11.2
2667,2025-04-23 05:30,2025-04-23 04:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.9
2667,2025-04-23 06:30,2025-04-23 05:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.7
2667,2025-04-23 07:30,2025-04-23 06:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.5
2667,2025-04-23 08:30,2025-04-23 07:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.5
2667,2025-04-23 09:30,2025-04-23 08:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.5
2667,2025-04-23 10:30,2025-04-23 09:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.8
2667,2025-04-23 11:30,2025-04-23 10:30,83,0.979,32.0,45.0,55.0,običajni pretok,11.1
2667,2025-04-23 12:30,2025-04-23 11:30,83,0.979,32.0,45.0,55.0,običajni pretok,11.5
2667,2025-04-23 13:30,2025-04-23 12:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.0
2667,2025-04-23 14:30,2025-04-23 13:30,84,1.07,32.0,45.0,55.0,običajni pretok,12.5
2667,2025-04-23 15:30,2025-04-23 14:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.8
2667,2025-04-23 16:30,2025-04-23 15:30,83,0.979,32.0,45.0,55.0,običajni pretok,13.1
2667,2025-04-23 17:30,2025-04-23 16:30,84,1.07,32.0,45.0,55.0,običajni pretok,13.4
2667,2025-04-23 18:30,2025-04-23 17:30,84,1.07,32.0,45.0,55.0,običajni pretok,13.5
2667,2025-04-23 19:30,2025-04-23 18:30,84,1.07,32.0,45.0,55.0,običajni pretok,13.4
2667,2025-04-23 20:30,2025-04-23 19:30,84,1.07,32.0,45.0,55.0,običajni pretok,13.2
2667,2025-04-23 21:30,2025-04-23 20:30,84,1.07,32.0,45.0,55.0,običajni pretok,13.0
2667,2025-04-23 22:30,2025-04-23 21:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.7
2667,2025-04-23 23:30,2025-04-23 22:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.3
2667,2025-04-24 00:30,2025-04-23 23:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.0
2667,2025-04-24 02:00,2025-04-24 01:00,83,0.979,32.0,45.0,55.0,običajni pretok,11.6
2667,2025-04-24 03:30,2025-04-24 02:30,83,0.979,32.0,45.0,55.0,običajni pretok,11.2
2667,2025-04-24 04:30,2025-04-24 03:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.9
2667,2025-04-24 05:30,2025-04-24 04:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.7
2667,2025-04-24 06:30,2025-04-24 05:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.5
2667,2025-04-24 07:30,2025-04-24 06:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.3
2667,2025-04-24 08:30,2025-04-24 07:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.2
2667,2025-04-24 09:30,2025-04-24 08:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.4
2667,2025-04-24 10:30,2025-04-24 09:30,83,0.979,32.0,45.0,55.0,običajni pretok,10.8
2667,2025-04-24 11:30,2025-04-24 10:30,83,0.979,32.0,45.0,55.0,običajni pretok,11.4
2667,2025-04-24 12:30,2025-04-24 11:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.1
2667,2025-04-24 13:30,2025-04-24 12:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.3
2667,2025-04-24 14:30,2025-04-24 13:30,83,0.979,32.0,45.0,55.0,običajni pretok,12.5
2667,2025-04-24 15:30,2025-04-24 14:30,84,1.07,32.0,45.0,55.0,običajni pretok,12.7
2667,2025-04-24 16:30,2025-04-24 15:30,87,1.36,32.0,45.0,55.0,običajni pretok,12.7
2667,2025-04-24 17:30,2025-04-24 16:30,90,1.69,32.0,45.0,55.0,običajni pretok,12.5
2667,2025-04-24 18:30,2025-04-24 17:30,91,1.8,32.0,45.0,55.0,običajni pretok,12.1
2667,2025-04-24 19:30,2025-04-24 18:30,91,1.8,32.0,45.0,55.0,običajni pretok,11.7
2667,2025-04-24 20:30,2025-04-24 19:30,98,2.73,32.0,45.0,55.0,običajni pretok,11.4
2667,2025-04-24 21:30,2025-04-24 20:30,99,2.86,32.0,45.0,55.0,običajni pretok,11.0
2667,2025-04-24 22:30,2025-04-24 21:30,98,2.73,32.0,45.0,55.0,običajni pretok,10.6
2667,2025-04-24 23:30,2025-04-24 22:30,93,2.05,32.0,45.0,55.0,običajni pretok,10.4
2667,2025-04-25 00:30,2025-04-24 23:30,91,1.8,32.0,45.0,55.0,običajni pretok,10.0
2667,2025-04-25 02:00,2025-04-25 01:00,91,1.8,32.0,45.0,55.0,običajni pretok,9.7
2667,2025-04-25 03:30,2025-04-25 02:30,91,1.8,32.0,45.0,55.0,običajni pretok,9.6
2667,2025-04-25 04:30,2025-04-25 03:30,92,1.93,32.0,45.0,55.0,običajni pretok,9.5
2667,2025-04-25 05:30,2025-04-25 04:30,91,1.8,32.0,45.0,55.0,običajni pretok,9.4
2667,2025-04-25 06:30,2025-04-25 05:30,91,1.8,32.0,45.0,55.0,običajni pretok,9.4
2667,2025-04-25 07:30,2025-04-25 06:30,91,1.8,32.0,45.0,55.0,običajni pretok,9.4
2667,2025-04-25 08:30,2025-04-25 07:30,91,1.8,32.0,45.0,55.0,običajni pretok,9.3
2667,2025-04-25 09:30,2025-04-25 08:30,90,1.69,32.0,45.0,55.0,običajni pretok,9.4
2667,2025-04-25 10:30,2025-04-25 09:30,90,1.69,32.0,45.0,55.0,običajni pretok,9.4
2667,2025-04-25 11:30,2025-04-25 10:30,89,1.57,32.0,45.0,55.0,običajni pretok,9.5
2667,2025-04-25 12:30,2025-04-25 11:30,86,1.26,32.0,45.0,55.0,običajni pretok,9.6
2667,2025-04-25 13:30,2025-04-25 12:30,92,1.93,32.0,45.0,55.0,običajni pretok,9.6
