sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2754,2025-04-19 22:30,2025-04-19 21:30,104,1.67,37.0,49.0,62.0,običajni pretok,15.0
2754,2025-04-22 07:30,2025-04-22 06:30,102,1.5,37.0,49.0,62.0,običajni pretok,14.7
2754,2025-04-22 10:30,2025-04-22 09:30,102,1.5,37.0,49.0,62.0,običajni pretok,15.0
2754,2025-04-22 11:00,2025-04-22 10:00,102,1.5,37.0,49.0,62.0,običajni pretok,15.2
2754,2025-04-22 11:30,2025-04-22 10:30,100,1.33,37.0,49.0,62.0,običajni pretok,15.4
2754,2025-04-22 12:30,2025-04-22 11:30,102,1.5,37.0,49.0,62.0,običajni pretok,15.9
2754,2025-04-22 13:30,2025-04-22 12:30,102,1.5,37.0,49.0,62.0,običajni pretok,16.5
2754,2025-04-22 14:30,2025-04-22 13:30,98,1.18,37.0,49.0,62.0,običajni pretok,17.1
2754,2025-04-22 15:30,2025-04-22 14:30,102,1.5,37.0,49.0,62.0,običajni pretok,18.3
2754,2025-04-22 16:30,2025-04-22 15:30,102,1.5,37.0,49.0,62.0,običajni pretok,18.8
2754,2025-04-22 17:30,2025-04-22 16:30,102,1.5,37.0,49.0,62.0,običajni pretok,19.1
2754,2025-04-22 18:30,2025-04-22 17:30,102,1.5,37.0,49.0,62.0,običajni pretok,19.2
2754,2025-04-22 19:30,2025-04-22 18:30,100,1.33,37.0,49.0,62.0,običajni pretok,19.1
2754,2025-04-22 20:30,2025-04-22 19:30,102,1.5,37.0,49.0,62.0,običajni pretok,18.7
