sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2830,2025-04-19 22:30,2025-04-19 21:30,55,0.31,20.0,41.0,57.0,običajni pretok,
2830,2025-04-22 07:30,2025-04-22 06:30,52,0.215,20.0,41.0,57.0,mali pretok,
2830,2025-04-22 10:30,2025-04-22 09:30,52,0.215,20.0,41.0,57.0,mali pretok,
2830,2025-04-22 11:00,2025-04-22 10:00,52,0.215,20.0,41.0,57.0,mali pretok,
2830,2025-04-22 11:30,2025-04-22 10:30,52,0.215,20.0,41.0,57.0,mali pretok,
2830,2025-04-22 12:30,2025-04-22 11:30,53,0.245,20.0,41.0,57.0,običajni pretok,
2830,2025-04-22 13:30,2025-04-22 12:30,53,0.245,20.0,41.0,57.0,običajni pretok,
2830,2025-04-22 14:30,2025-04-22 13:30,53,0.245,20.0,41.0,57.0,običajni pretok,
2830,2025-04-22 15:30,2025-04-22 14:30,53,0.245,20.0,41.0,57.0,običajni pretok,
2830,2025-04-22 16:30,2025-04-22 15:30,53,0.245,20.0,41.0,57.0,običajni pretok,
2830,2025-04-22 17:30,2025-04-22 16:30,53,0.245,20.0,41.0,57.0,običajni pretok,
2830,2025-04-22 18:30,2025-04-22 17:30,52,0.215,20.0,41.0,57.0,mali pretok,
2830,2025-04-22 19:30,2025-04-22 18:30,52,0.215,20.0,41.0,57.0,mali pretok,
