sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2880,2025-04-19 22:30,2025-04-19 21:30,113,0.709,35.0,55.0,70.0,mali pretok,15.6
2880,2025-04-22 07:30,2025-04-22 06:30,107,0.453,35.0,55.0,70.0,mali pretok,14.8
2880,2025-04-22 10:30,2025-04-22 09:30,106,0.417,35.0,55.0,70.0,mali pretok,16.1
2880,2025-04-22 11:00,2025-04-22 10:00,106,0.417,35.0,55.0,70.0,mali pretok,16.3
2880,2025-04-22 11:30,2025-04-22 10:30,106,0.417,35.0,55.0,70.0,mali pretok,16.5
2880,2025-04-22 12:30,2025-04-22 11:30,106,0.417,35.0,55.0,70.0,mali pretok,16.8
2880,2025-04-22 13:30,2025-04-22 12:30,107,0.453,35.0,55.0,70.0,mali pretok,17.8
2880,2025-04-22 14:30,2025-04-22 13:30,106,0.417,35.0,55.0,70.0,mali pretok,19.0
2880,2025-04-22 15:30,2025-04-22 14:30,107,0.453,35.0,55.0,70.0,mali pretok,19.7
2880,2025-04-22 16:30,2025-04-22 15:30,107,0.453,35.0,55.0,70.0,mali pretok,20.1
2880,2025-04-22 17:30,2025-04-22 16:30,107,0.453,35.0,55.0,70.0,mali pretok,20.2
2880,2025-04-22 18:30,2025-04-22 17:30,129,1.74,35.0,55.0,70.0,običajni pretok,19.8
2880,2025-04-22 19:30,2025-04-22 18:30,146,3.08,35.0,55.0,70.0,običajni pretok,17.8
2880,2025-04-22 20:30,2025-04-22 19:30,147,3.16,35.0,55.0,70.0,običajni pretok,19.3
2880,2025-04-22 21:30,2025-04-22 20:30,147,3.16,35.0,55.0,70.0,običajni pretok,18.6
2880,2025-04-22 22:30,2025-04-22 21:30,147,3.16,35.0,55.0,70.0,običajni pretok,18.4
2880,2025-04-22 23:30,2025-04-22 22:30,146,3.08,35.0,55.0,70.0,običajni pretok,18.3
2880,2025-04-23 00:30,2025-04-22 23:30,141,2.67,35.0,55.0,70.0,običajni pretok,18.3
2880,2025-04-23 02:00,2025-04-23 01:00,121,1.16,35.0,55.0,70.0,običajni pretok,18.1
2880,2025-04-23 03:30,2025-04-23 02:30,109,0.531,35.0,55.0,70.0,mali pretok,17.3
2880,2025-04-23 04:30,2025-04-23 03:30,107,0.453,35.0,55.0,70.0,mali pretok,16.8
2880,2025-04-23 05:30,2025-04-23 04:30,105,0.382,35.0,55.0,70.0,mali pretok,16.3
2880,2025-04-23 06:30,2025-04-23 05:30,105,0.382,35.0,55.0,70.0,mali pretok,16.0
2880,2025-04-23 07:30,2025-04-23 06:30,104,0.349,35.0,55.0,70.0,mali pretok,15.8
2880,2025-04-23 08:30,2025-04-23 07:30,105,0.382,35.0,55.0,70.0,mali pretok,15.8
2880,2025-04-23 09:30,2025-04-23 08:30,105,0.382,35.0,55.0,70.0,mali pretok,15.9
2880,2025-04-23 10:30,2025-04-23 09:30,105,0.382,35.0,55.0,70.0,mali pretok,16.2
2880,2025-04-23 11:30,2025-04-23 10:30,105,0.382,35.0,55.0,70.0,mali pretok,16.6
2880,2025-04-23 12:30,2025-04-23 11:30,106,0.417,35.0,55.0,70.0,mali pretok,17.7
2880,2025-04-23 13:30,2025-04-23 12:30,106,0.417,35.0,55.0,70.0,mali pretok,18.7
2880,2025-04-23 14:30,2025-04-23 13:30,106,0.417,35.0,55.0,70.0,mali pretok,19.6
2880,2025-04-23 15:30,2025-04-23 14:30,106,0.417,35.0,55.0,70.0,mali pretok,20.1
2880,2025-04-23 16:30,2025-04-23 15:30,106,0.417,35.0,55.0,70.0,mali pretok,20.3
2880,2025-04-23 17:30,2025-04-23 16:30,106,0.417,35.0,55.0,70.0,mali pretok,20.3
2880,2025-04-23 18:30,2025-04-23 17:30,106,0.417,35.0,55.0,70.0,mali pretok,20.1
2880,2025-04-23 19:30,2025-04-23 18:30,106,0.417,35.0,55.0,70.0,mali pretok,19.8
2880,2025-04-23 20:30,2025-04-23 19:30,105,0.382,35.0,55.0,70.0,mali pretok,19.5
2880,2025-04-23 21:30,2025-04-23 20:30,105,0.382,35.0,55.0,70.0,mali pretok,19.1
2880,2025-04-23 22:30,2025-04-23 21:30,124,1.37,35.0,55.0,70.0,običajni pretok,18.6
2880,2025-04-23 23:30,2025-04-23 22:30,138,2.43,35.0,55.0,70.0,običajni pretok,17.6
2880,2025-04-24 00:30,2025-04-23 23:30,126,1.51,35.0,55.0,70.0,običajni pretok,18.4
2880,2025-04-24 02:00,2025-04-24 01:00,112,0.662,35.0,55.0,70.0,mali pretok,17.9
2880,2025-04-24 03:30,2025-04-24 02:30,106,0.417,35.0,55.0,70.0,mali pretok,17.0
2880,2025-04-24 04:30,2025-04-24 03:30,105,0.382,35.0,55.0,70.0,mali pretok,16.5
2880,2025-04-24 05:30,2025-04-24 04:30,104,0.349,35.0,55.0,70.0,mali pretok,16.1
2880,2025-04-24 06:30,2025-04-24 05:30,105,0.382,35.0,55.0,70.0,mali pretok,15.8
2880,2025-04-24 07:30,2025-04-24 06:30,104,0.349,35.0,55.0,70.0,mali pretok,15.5
2880,2025-04-24 08:30,2025-04-24 07:30,105,0.382,35.0,55.0,70.0,mali pretok,15.5
2880,2025-04-24 09:30,2025-04-24 08:30,104,0.349,35.0,55.0,70.0,mali pretok,15.7
2880,2025-04-24 10:30,2025-04-24 09:30,105,0.382,35.0,55.0,70.0,mali pretok,16.3
2880,2025-04-24 11:30,2025-04-24 10:30,106,0.417,35.0,55.0,70.0,mali pretok,17.3
2880,2025-04-24 12:30,2025-04-24 11:30,105,0.382,35.0,55.0,70.0,mali pretok,18.4
2880,2025-04-24 13:30,2025-04-24 12:30,105,0.382,35.0,55.0,70.0,mali pretok,19.2
