sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
2900,2025-04-19 22:30,2025-04-19 21:30,103,2.08,70.0,100.0,120.0,običajni pretok,15.1
2900,2025-04-22 07:30,2025-04-22 06:30,99,1.7,70.0,100.0,120.0,običajni pretok,14.5
2900,2025-04-22 10:30,2025-04-22 09:30,99,1.7,70.0,100.0,120.0,običajni pretok,15.5
2900,2025-04-22 11:00,2025-04-22 10:00,99,1.7,70.0,100.0,120.0,običajni pretok,15.6
2900,2025-04-22 11:30,2025-04-22 10:30,99,1.7,70.0,100.0,120.0,običajni pretok,15.6
2900,2025-04-22 12:30,2025-04-22 11:30,99,1.7,70.0,100.0,120.0,običajni pretok,16.4
2900,2025-04-22 13:30,2025-04-22 12:30,99,1.7,70.0,100.0,120.0,običajni pretok,17.5
2900,2025-04-22 14:30,2025-04-22 13:30,99,1.7,70.0,100.0,120.0,običajni pretok,18.3
2900,2025-04-22 15:30,2025-04-22 14:30,99,1.7,70.0,100.0,120.0,običajni pretok,18.8
2900,2025-04-22 16:30,2025-04-22 15:30,99,1.7,70.0,100.0,120.0,običajni pretok,19.1
2900,2025-04-22 17:30,2025-04-22 16:30,99,1.7,70.0,100.0,120.0,običajni pretok,19.0
2900,2025-04-22 18:30,2025-04-22 17:30,99,1.7,70.0,100.0,120.0,običajni pretok,18.7
2900,2025-04-22 19:30,2025-04-22 18:30,99,1.7,70.0,100.0,120.0,običajni pretok,18.3
2900,2025-04-22 20:30,2025-04-22 19:30,99,1.7,70.0,100.0,120.0,običajni pretok,17.9
2900,2025-04-22 21:30,2025-04-22 20:30,99,1.7,70.0,100.0,120.0,običajni pretok,17.4
2900,2025-04-22 22:30,2025-04-22 21:30,99,1.7,70.0,100.0,120.0,običajni pretok,17.0
2900,2025-04-22 23:30,2025-04-22 22:30,99,1.7,70.0,100.0,120.0,običajni pretok,16.6
2900,2025-04-23 00:30,2025-04-22 23:30,98,1.61,70.0,100.0,120.0,običajni pretok,16.2
2900,2025-04-23 02:00,2025-04-23 01:00,113,3.15,70.0,100.0,120.0,običajni pretok,15.8
2900,2025-04-23 03:30,2025-04-23 02:30,120,4.0,70.0,100.0,120.0,običajni pretok,16.0
2900,2025-04-23 04:30,2025-04-23 03:30,121,4.13,70.0,100.0,120.0,običajni pretok,16.3
2900,2025-04-23 05:30,2025-04-23 04:30,120,4.0,70.0,100.0,120.0,običajni pretok,16.3
2900,2025-04-23 06:30,2025-04-23 05:30,118,3.75,70.0,100.0,120.0,običajni pretok,16.2
2900,2025-04-23 07:30,2025-04-23 06:30,115,3.38,70.0,100.0,120.0,običajni pretok,16.3
2900,2025-04-23 08:30,2025-04-23 07:30,111,2.92,70.0,100.0,120.0,običajni pretok,16.4
2900,2025-04-23 09:30,2025-04-23 08:30,108,2.59,70.0,100.0,120.0,običajni pretok,16.4
2900,2025-04-23 10:30,2025-04-23 09:30,105,2.28,70.0,100.0,120.0,običajni pretok,16.7
2900,2025-04-23 11:30,2025-04-23 10:30,103,2.08,70.0,100.0,120.0,običajni pretok,17.2
2900,2025-04-23 12:30,2025-04-23 11:30,102,1.98,70.0,100.0,120.0,običajni pretok,17.4
2900,2025-04-23 13:30,2025-04-23 12:30,101,1.89,70.0,100.0,120.0,običajni pretok,17.9
2900,2025-04-23 14:30,2025-04-23 13:30,100,1.79,70.0,100.0,120.0,običajni pretok,18.4
2900,2025-04-23 15:30,2025-04-23 14:30,99,1.7,70.0,100.0,120.0,običajni pretok,18.8
2900,2025-04-23 16:30,2025-04-23 15:30,99,1.7,70.0,100.0,120.0,običajni pretok,19.1
2900,2025-04-23 17:30,2025-04-23 16:30,99,1.7,70.0,100.0,120.0,običajni pretok,18.9
2900,2025-04-23 18:30,2025-04-23 17:30,99,1.7,70.0,100.0,120.0,običajni pretok,18.7
2900,2025-04-23 19:30,2025-04-23 18:30,99,1.7,70.0,100.0,120.0,običajni pretok,18.3
2900,2025-04-23 20:30,2025-04-23 19:30,99,1.7,70.0,100.0,120.0,običajni pretok,17.9
2900,2025-04-23 21:30,2025-04-23 20:30,98,1.61,70.0,100.0,120.0,običajni pretok,17.4
2900,2025-04-23 22:30,2025-04-23 21:30,99,1.7,70.0,100.0,120.0,običajni pretok,17.1
2900,2025-04-23 23:30,2025-04-23 22:30,98,1.61,70.0,100.0,120.0,običajni pretok,16.8
2900,2025-04-24 00:30,2025-04-23 23:30,98,1.61,70.0,100.0,120.0,običajni pretok,16.4
2900,2025-04-24 02:00,2025-04-24 01:00,98,1.61,70.0,100.0,120.0,običajni pretok,16.0
2900,2025-04-24 03:30,2025-04-24 02:30,98,1.61,70.0,100.0,120.0,običajni pretok,15.6
2900,2025-04-24 04:30,2025-04-24 03:30,98,1.61,70.0,100.0,120.0,običajni pretok,15.3
2900,2025-04-24 05:30,2025-04-24 04:30,101,1.89,70.0,100.0,120.0,običajni pretok,15.1
2900,2025-04-24 06:30,2025-04-24 05:30,108,2.59,70.0,100.0,120.0,običajni pretok,14.9
2900,2025-04-24 07:30,2025-04-24 06:30,108,2.59,70.0,100.0,120.0,običajni pretok,14.9
2900,2025-04-24 08:30,2025-04-24 07:30,106,2.38,70.0,100.0,120.0,običajni pretok,15.2
2900,2025-04-24 09:30,2025-04-24 08:30,104,2.18,70.0,100.0,120.0,običajni pretok,15.8
