sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3014,2025-04-19 22:30,2025-04-19 21:30,144,1.58,18.0,24.0,60.0,običajni pretok,7.8
3014,2025-04-22 07:30,2025-04-22 06:30,144,1.58,18.0,24.0,60.0,običajni pretok,7.1
3014,2025-04-22 10:30,2025-04-22 09:30,143,1.43,18.0,24.0,60.0,običajni pretok,8.4
3014,2025-04-22 11:00,2025-04-22 10:00,143,1.43,18.0,24.0,60.0,običajni pretok,8.7
3014,2025-04-22 11:30,2025-04-22 10:30,143,1.43,18.0,24.0,60.0,običajni pretok,9.0
3014,2025-04-22 12:30,2025-04-22 11:30,144,1.58,18.0,24.0,60.0,običajni pretok,9.4
3014,2025-04-22 13:30,2025-04-22 12:30,143,1.43,18.0,24.0,60.0,običajni pretok,9.1
3014,2025-04-22 14:30,2025-04-22 13:30,143,1.43,18.0,24.0,60.0,običajni pretok,9.4
3014,2025-04-22 15:30,2025-04-22 14:30,144,1.58,18.0,24.0,60.0,običajni pretok,9.4
3014,2025-04-22 16:30,2025-04-22 15:30,143,1.43,18.0,24.0,60.0,običajni pretok,9.4
3014,2025-04-22 17:30,2025-04-22 16:30,144,1.58,18.0,24.0,60.0,običajni pretok,9.4
