sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3080,2025-04-19 22:30,2025-04-19 21:30,87,31.8,210.0,315.0,430.0,običajni pretok,8.8
3080,2025-04-22 07:30,2025-04-22 06:30,83,28.8,210.0,315.0,430.0,običajni pretok,9.2
3080,2025-04-22 10:30,2025-04-22 09:30,71,20.8,210.0,315.0,430.0,običajni pretok,9.1
3080,2025-04-22 11:00,2025-04-22 10:00,69,19.6,210.0,315.0,430.0,običajni pretok,9.1
3080,2025-04-22 11:30,2025-04-22 10:30,68,19.0,210.0,315.0,430.0,običajni pretok,9.1
3080,2025-04-22 12:30,2025-04-22 11:30,65,17.4,210.0,315.0,430.0,običajni pretok,9.1
3080,2025-04-22 13:30,2025-04-22 12:30,62,15.8,210.0,315.0,430.0,običajni pretok,9.1
3080,2025-04-22 14:30,2025-04-22 13:30,62,15.8,210.0,315.0,430.0,običajni pretok,9.1
3080,2025-04-22 15:30,2025-04-22 14:30,75,23.3,210.0,315.0,430.0,običajni pretok,9.1
3080,2025-04-22 16:30,2025-04-22 15:30,76,24.0,210.0,315.0,430.0,običajni pretok,9.2
3080,2025-04-22 17:30,2025-04-22 16:30,79,26.0,210.0,315.0,430.0,običajni pretok,9.2
3080,2025-04-22 18:30,2025-04-22 17:30,84,29.6,210.0,315.0,430.0,običajni pretok,9.2
3080,2025-04-22 19:30,2025-04-22 18:30,84,29.6,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-22 20:30,2025-04-22 19:30,89,33.3,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-22 21:30,2025-04-22 20:30,87,31.8,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-22 22:30,2025-04-22 21:30,82,28.1,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-22 23:30,2025-04-22 22:30,68,19.0,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-23 00:30,2025-04-22 23:30,67,18.5,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 02:00,2025-04-23 01:00,83,28.8,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 03:30,2025-04-23 02:30,83,28.8,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 04:30,2025-04-23 03:30,83,28.8,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-23 05:30,2025-04-23 04:30,83,28.8,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-23 06:30,2025-04-23 05:30,83,28.8,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-23 07:30,2025-04-23 06:30,83,28.8,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-23 08:30,2025-04-23 07:30,83,28.8,210.0,315.0,430.0,običajni pretok,9.3
3080,2025-04-23 09:30,2025-04-23 08:30,83,28.8,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 10:30,2025-04-23 09:30,76,24.0,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 11:30,2025-04-23 10:30,67,18.5,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 12:30,2025-04-23 11:30,63,16.3,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 13:30,2025-04-23 12:30,63,16.3,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 14:30,2025-04-23 13:30,62,15.8,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 15:30,2025-04-23 14:30,66,17.9,210.0,315.0,430.0,običajni pretok,9.4
3080,2025-04-23 16:30,2025-04-23 15:30,67,18.5,210.0,315.0,430.0,običajni pretok,9.5
3080,2025-04-23 17:30,2025-04-23 16:30,82,28.1,210.0,315.0,430.0,običajni pretok,9.5
3080,2025-04-23 18:30,2025-04-23 17:30,88,32.6,210.0,315.0,430.0,običajni pretok,9.5
3080,2025-04-23 19:30,2025-04-23 18:30,88,32.6,210.0,315.0,430.0,običajni pretok,9.5
