sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3200,2025-04-19 22:30,2025-04-19 21:30,153,18.5,110.0,128.0,173.0,običajni pretok,8.9
3200,2025-04-22 07:30,2025-04-22 06:30,149,16.2,110.0,128.0,173.0,običajni pretok,9.1
3200,2025-04-22 10:30,2025-04-22 09:30,149,16.2,110.0,128.0,173.0,običajni pretok,9.1
3200,2025-04-22 11:00,2025-04-22 10:00,148,15.7,110.0,128.0,173.0,običajni pretok,9.1
3200,2025-04-22 11:30,2025-04-22 10:30,148,15.7,110.0,128.0,173.0,običajni pretok,8.9
3200,2025-04-22 12:30,2025-04-22 11:30,148,15.7,110.0,128.0,173.0,običajni pretok,9.2
3200,2025-04-22 13:30,2025-04-22 12:30,147,15.1,110.0,128.0,173.0,običajni pretok,9.2
3200,2025-04-22 14:30,2025-04-22 13:30,147,15.1,110.0,128.0,173.0,običajni pretok,9.2
3200,2025-04-22 15:30,2025-04-22 14:30,147,15.1,110.0,128.0,173.0,običajni pretok,9.5
3200,2025-04-22 16:30,2025-04-22 15:30,147,15.1,110.0,128.0,173.0,običajni pretok,9.8
3200,2025-04-22 17:30,2025-04-22 16:30,146,14.6,110.0,128.0,173.0,običajni pretok,10.2
3200,2025-04-22 18:30,2025-04-22 17:30,146,14.6,110.0,128.0,173.0,običajni pretok,10.6
3200,2025-04-22 19:30,2025-04-22 18:30,146,14.6,110.0,128.0,173.0,običajni pretok,10.6
3200,2025-04-22 20:30,2025-04-22 19:30,146,14.6,110.0,128.0,173.0,običajni pretok,11.1
3200,2025-04-22 21:30,2025-04-22 20:30,146,14.6,110.0,128.0,173.0,običajni pretok,10.3
3200,2025-04-22 22:30,2025-04-22 21:30,146,14.6,110.0,128.0,173.0,običajni pretok,9.9
3200,2025-04-22 23:30,2025-04-22 22:30,146,14.6,110.0,128.0,173.0,običajni pretok,9.3
3200,2025-04-23 00:30,2025-04-22 23:30,146,14.6,110.0,128.0,173.0,običajni pretok,9.6
3200,2025-04-23 02:00,2025-04-23 01:00,147,15.1,110.0,128.0,173.0,običajni pretok,9.4
3200,2025-04-23 03:30,2025-04-23 02:30,146,14.6,110.0,128.0,173.0,običajni pretok,10
