sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3250,2025-04-19 22:30,2025-04-19 21:30,122,46.1,230.0,330.0,430.0,običajni pretok,8.9
3250,2025-04-22 07:30,2025-04-22 06:30,108,33.2,230.0,330.0,430.0,običajni pretok,8.5
3250,2025-04-22 10:30,2025-04-22 09:30,107,32.4,230.0,330.0,430.0,običajni pretok,8.7
3250,2025-04-22 11:00,2025-04-22 10:00,107,32.4,230.0,330.0,430.0,običajni pretok,8.7
3250,2025-04-22 11:30,2025-04-22 10:30,106,31.5,230.0,330.0,430.0,običajni pretok,8.8
3250,2025-04-22 12:30,2025-04-22 11:30,105,30.6,230.0,330.0,430.0,običajni pretok,9.2
3250,2025-04-22 13:30,2025-04-22 12:30,105,30.6,230.0,330.0,430.0,običajni pretok,9.6
3250,2025-04-22 14:30,2025-04-22 13:30,105,30.6,230.0,330.0,430.0,običajni pretok,9.7
3250,2025-04-22 15:30,2025-04-22 14:30,106,31.5,230.0,330.0,430.0,običajni pretok,9.6
3250,2025-04-22 16:30,2025-04-22 15:30,105,30.6,230.0,330.0,430.0,običajni pretok,9.8
3250,2025-04-22 17:30,2025-04-22 16:30,103,28.9,230.0,330.0,430.0,običajni pretok,10.2
3250,2025-04-22 18:30,2025-04-22 17:30,103,28.9,230.0,330.0,430.0,običajni pretok,10.3
3250,2025-04-22 19:30,2025-04-22 18:30,104,29.7,230.0,330.0,430.0,običajni pretok,10.2
3250,2025-04-22 20:30,2025-04-22 19:30,103,28.9,230.0,330.0,430.0,običajni pretok,10.1
3250,2025-04-22 21:30,2025-04-22 20:30,102,28.0,230.0,330.0,430.0,običajni pretok,10.0
3250,2025-04-22 22:30,2025-04-22 21:30,102,28.0,230.0,330.0,430.0,običajni pretok,10.0
3250,2025-04-22 23:30,2025-04-22 22:30,102,28.0,230.0,330.0,430.0,običajni pretok,10.0
3250,2025-04-23 00:30,2025-04-22 23:30,102,28.0,230.0,330.0,430.0,običajni pretok,9.9
3250,2025-04-23 02:00,2025-04-23 01:00,102,28.0,230.0,330.0,430.0,običajni pretok,9.6
3250,2025-04-23 03:30,2025-04-23 02:30,102,28.0,230.0,330.0,430.0,običajni pretok,9.4
3250,2025-04-23 04:30,2025-04-23 03:30,102,28.0,230.0,330.0,430.0,običajni pretok,9.3
3250,2025-04-23 05:30,2025-04-23 04:30,102,28.0,230.0,330.0,430.0,običajni pretok,9.3
3250,2025-04-23 06:30,2025-04-23 05:30,102,28.0,230.0,330.0,430.0,običajni pretok,9.2
3250,2025-04-23 07:30,2025-04-23 06:30,102,28.0,230.0,330.0,430.0,običajni pretok,9.2
3250,2025-04-23 08:30,2025-04-23 07:30,102,28.0,230.0,330.0,430.0,običajni pretok,9.2
3250,2025-04-23 09:30,2025-04-23 08:30,101,27.1,230.0,330.0,430.0,običajni pretok,9.3
3250,2025-04-23 10:30,2025-04-23 09:30,101,27.1,230.0,330.0,430.0,običajni pretok,9.4
3250,2025-04-23 11:30,2025-04-23 10:30,101,27.1,230.0,330.0,430.0,običajni pretok,9.5
3250,2025-04-23 12:30,2025-04-23 11:30,101,27.1,230.0,330.0,430.0,običajni pretok,9.6
3250,2025-04-23 13:30,2025-04-23 12:30,100,26.3,230.0,330.0,430.0,običajni pretok,9.7
3250,2025-04-23 14:30,2025-04-23 13:30,100,26.3,230.0,330.0,430.0,običajni pretok,10.0
3250,2025-04-23 15:30,2025-04-23 14:30,100,26.3,230.0,330.0,430.0,običajni pretok,10.3
3250,2025-04-23 16:30,2025-04-23 15:30,99,25.5,230.0,330.0,430.0,običajni pretok,10.5
3250,2025-04-23 17:30,2025-04-23 16:30,99,25.5,230.0,330.0,430.0,običajni pretok,10.6
3250,2025-04-23 18:30,2025-04-23 17:30,99,25.5,230.0,330.0,430.0,običajni pretok,10.5
3250,2025-04-23 19:30,2025-04-23 18:30,99,25.5,230.0,330.0,430.0,običajni pretok,10.3
3250,2025-04-23 20:30,2025-04-23 19:30,99,25.5,230.0,330.0,430.0,običajni pretok,10.1
3250,2025-04-23 21:30,2025-04-23 20:30,98,24.7,230.0,330.0,430.0,običajni pretok,9.9
3250,2025-04-23 22:30,2025-04-23 21:30,98,24.7,230.0,330.0,430.0,običajni pretok,9.8
3250,2025-04-23 23:30,2025-04-23 22:30,98,24.7,230.0,330.0,430.0,običajni pretok,9.7
3250,2025-04-24 00:30,2025-04-23 23:30,98,24.7,230.0,330.0,430.0,običajni pretok,9.6
3250,2025-04-24 02:00,2025-04-24 01:00,98,24.7,230.0,330.0,430.0,običajni pretok,9.5
3250,2025-04-24 03:30,2025-04-24 02:30,98,24.7,230.0,330.0,430.0,običajni pretok,9.3
