sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3260,2025-04-19 22:30,2025-04-19 21:30,79,8.75,94.0,120.0,146.0,običajni pretok,5.8
3260,2025-04-22 07:30,2025-04-22 06:30,81,9.63,94.0,120.0,146.0,običajni pretok,5.8
3260,2025-04-22 10:30,2025-04-22 09:30,78,8.33,94.0,120.0,146.0,običajni pretok,5.9
3260,2025-04-22 11:00,2025-04-22 10:00,77,7.91,94.0,120.0,146.0,običajni pretok,6.0
3260,2025-04-22 11:30,2025-04-22 10:30,77,7.91,94.0,120.0,146.0,običajni pretok,6.1
3260,2025-04-22 12:30,2025-04-22 11:30,76,7.51,94.0,120.0,146.0,običajni pretok,6.1
3260,2025-04-22 13:30,2025-04-22 12:30,69,5.01,94.0,120.0,146.0,običajni pretok,6.1
3260,2025-04-22 14:30,2025-04-22 13:30,80,9.18,94.0,120.0,146.0,običajni pretok,6.4
3260,2025-04-22 15:30,2025-04-22 14:30,76,7.51,94.0,120.0,146.0,običajni pretok,6.3
3260,2025-04-22 16:30,2025-04-22 15:30,76,7.51,94.0,120.0,146.0,običajni pretok,6.1
