sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3320,2025-04-19 22:30,2025-04-19 21:30,81,9.51,80.0,117.0,132.0,običajni pretok,6.4
3320,2025-04-22 07:30,2025-04-22 06:30,70,5.77,80.0,117.0,132.0,običajni pretok,6.3
3320,2025-04-22 10:30,2025-04-22 09:30,68,5.21,80.0,117.0,132.0,običajni pretok,6.5
3320,2025-04-22 11:00,2025-04-22 10:00,68,5.21,80.0,117.0,132.0,običajni pretok,6.6
3320,2025-04-22 11:30,2025-04-22 10:30,67,4.94,80.0,117.0,132.0,običajni pretok,6.7
3320,2025-04-22 12:30,2025-04-22 11:30,67,4.94,80.0,117.0,132.0,običajni pretok,6.8
3320,2025-04-22 13:30,2025-04-22 12:30,60,3.27,80.0,117.0,132.0,običajni pretok,7.1
3320,2025-04-22 14:30,2025-04-22 13:30,70,5.77,80.0,117.0,132.0,običajni pretok,7.6
3320,2025-04-22 15:30,2025-04-22 14:30,67,4.94,80.0,117.0,132.0,običajni pretok,7.4
3320,2025-04-22 16:30,2025-04-22 15:30,66,4.67,80.0,117.0,132.0,običajni pretok,7.2
3320,2025-04-22 17:30,2025-04-22 16:30,65,4.42,80.0,117.0,132.0,običajni pretok,7.0
3320,2025-04-22 18:30,2025-04-22 17:30,65,4.42,80.0,117.0,132.0,običajni pretok,6.9
3320,2025-04-22 19:30,2025-04-22 18:30,64,4.18,80.0,117.0,132.0,običajni pretok,6.8
3320,2025-04-22 20:30,2025-04-22 19:30,64,4.18,80.0,117.0,132.0,običajni pretok,6.6
3320,2025-04-22 21:30,2025-04-22 20:30,65,4.42,80.0,117.0,132.0,običajni pretok,6.5
3320,2025-04-22 22:30,2025-04-22 21:30,66,4.67,80.0,117.0,132.0,običajni pretok,6.4
