sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3350,2025-04-19 22:30,2025-04-19 21:30,45.0,,,,,,12.4
3350,2025-04-22 07:30,2025-04-22 06:30,45.0,,,,,,12.7
3350,2025-04-22 10:30,2025-04-22 09:30,45.0,,,,,,12.9
3350,2025-04-22 11:00,2025-04-22 10:00,45.0,,,,,,12.9
3350,2025-04-22 11:30,2025-04-22 10:30,45.0,,,,,,13.0
3350,2025-04-22 12:30,2025-04-22 11:30,45.0,,,,,,13.8
3350,2025-04-22 13:30,2025-04-22 12:30,45.0,,,,,,13.8
3350,2025-04-22 14:30,2025-04-22 13:30,45.0,,,,,,13.9
3350,2025-04-22 15:30,2025-04-22 14:30,45.0,,,,,,14.0
3350,2025-04-22 16:30,2025-04-22 15:30,45.0,,,,,,14.0
3350,2025-04-22 17:30,2025-04-22 16:30,45.0,,,,,,13.9
3350,2025-04-22 18:30,2025-04-22 17:30,45.0,,,,,,13.6
3350,2025-04-22 19:30,2025-04-22 18:30,45.0,,,,,,13.3
3350,2025-04-22 20:30,2025-04-22 19:30,45.0,,,,,,13.3
3350,2025-04-22 21:30,2025-04-22 20:30,45.0,,,,,,13.8
3350,2025-04-22 22:30,2025-04-22 21:30,45.0,,,,,,14.0
3350,2025-04-22 23:30,2025-04-22 22:30,45.0,,,,,,13.9
3350,2025-04-23 00:30,2025-04-22 23:30,45.0,,,,,,13.8
3350,2025-04-23 02:00,2025-04-23 01:00,45.0,,,,,,13.7
3350,2025-04-23 03:30,2025-04-23 02:30,45.0,,,,,,13.7
3350,2025-04-23 04:30,2025-04-23 03:30,45.0,,,,,,13.7
3350,2025-04-23 05:30,2025-04-23 04:30,45.0,,,,,,13.6
3350,2025-04-23 06:30,2025-04-23 05:30,45.0,,,,,,13.6
3350,2025-04-23 07:30,2025-04-23 06:30,45.0,,,,,,13.6
3350,2025-04-23 08:30,2025-04-23 07:30,45.0,,,,,,13.6
3350,2025-04-23 09:30,2025-04-23 08:30,,,,,,,
3350,2025-04-23 10:30,2025-04-23 09:30,45.0,,,,,,13.7
3350,2025-04-23 11:30,2025-04-23 10:30,45.0,,,,,,13.8
3350,2025-04-23 12:30,2025-04-23 11:30,,,,,,,
3350,2025-04-23 13:30,2025-04-23 12:30,45.0,,,,,,14.2
3350,2025-04-23 14:30,2025-04-23 13:30,45.0,,,,,,15.2
3350,2025-04-23 15:30,2025-04-23 14:30,45.0,,,,,,15.0
3350,2025-04-23 16:30,2025-04-23 15:30,45.0,,,,,,15.2
3350,2025-04-23 17:30,2025-04-23 16:30,45.0,,,,,,15.3
3350,2025-04-23 18:30,2025-04-23 17:30,45.0,,,,,,14.9
3350,2025-04-23 19:30,2025-04-23 18:30,45.0,,,,,,14.7
3350,2025-04-23 20:30,2025-04-23 19:30,45.0,,,,,,14.2
3350,2025-04-23 21:30,2025-04-23 20:30,45.0,,,,,,14.0
3350,2025-04-23 22:30,2025-04-23 21:30,45.0,,,,,,13.9
3350,2025-04-23 23:30,2025-04-23 22:30,45.0,,,,,,14.1
3350,2025-04-24 00:30,2025-04-23 23:30,45.0,,,,,,14.1
