sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3420,2025-04-19 22:30,2025-04-19 21:30,105.0,88.7,500.0,650.0,750.0,običajni pretok,8.9
3420,2025-04-22 07:30,2025-04-22 06:30,91.0,66.9,500.0,650.0,750.0,običajni pretok,8.5
3420,2025-04-22 10:30,2025-04-22 09:30,89.0,64.1,500.0,650.0,750.0,običajni pretok,8.7
3420,2025-04-22 11:00,2025-04-22 10:00,88.0,62.7,500.0,650.0,750.0,običajni pretok,8.7
3420,2025-04-22 11:30,2025-04-22 10:30,86.0,60.0,500.0,650.0,750.0,običajni pretok,8.8
3420,2025-04-22 12:30,2025-04-22 11:30,85.0,58.6,500.0,650.0,750.0,običajni pretok,9.2
3420,2025-04-22 13:30,2025-04-22 12:30,83.0,55.8,500.0,650.0,750.0,običajni pretok,9.5
3420,2025-04-22 14:30,2025-04-22 13:30,81.0,53.1,500.0,650.0,750.0,običajni pretok,9.9
3420,2025-04-22 15:30,2025-04-22 14:30,79.0,50.5,500.0,650.0,750.0,običajni pretok,9.9
3420,2025-04-22 16:30,2025-04-22 15:30,90.0,65.5,500.0,650.0,750.0,običajni pretok,9.8
3420,2025-04-22 17:30,2025-04-22 16:30,89.0,64.1,500.0,650.0,750.0,običajni pretok,9.9
3420,2025-04-22 18:30,2025-04-22 17:30,,,500.0,650.0,750.0,,
3420,2025-04-22 19:30,2025-04-22 18:30,92.0,68.3,500.0,650.0,750.0,običajni pretok,10.1
3420,2025-04-22 20:30,2025-04-22 19:30,93.0,69.7,500.0,650.0,750.0,običajni pretok,9.9
3420,2025-04-22 21:30,2025-04-22 20:30,93.0,69.7,500.0,650.0,750.0,običajni pretok,9.8
3420,2025-04-22 22:30,2025-04-22 21:30,88.0,62.7,500.0,650.0,750.0,običajni pretok,9.7
3420,2025-04-22 23:30,2025-04-22 22:30,85.0,58.6,500.0,650.0,750.0,običajni pretok,9.8
3420,2025-04-23 00:30,2025-04-22 23:30,82.0,54.5,500.0,650.0,750.0,običajni pretok,9.8
3420,2025-04-23 02:00,2025-04-23 01:00,89.0,64.1,500.0,650.0,750.0,običajni pretok,9.5
3420,2025-04-23 03:30,2025-04-23 02:30,90.0,65.5,500.0,650.0,750.0,običajni pretok,9.4
3420,2025-04-23 04:30,2025-04-23 03:30,90.0,65.5,500.0,650.0,750.0,običajni pretok,9.3
3420,2025-04-23 05:30,2025-04-23 04:30,90.0,65.5,500.0,650.0,750.0,običajni pretok,9.2
3420,2025-04-23 06:30,2025-04-23 05:30,90.0,65.5,500.0,650.0,750.0,običajni pretok,9.2
3420,2025-04-23 07:30,2025-04-23 06:30,90.0,65.5,500.0,650.0,750.0,običajni pretok,9.1
3420,2025-04-23 08:30,2025-04-23 07:30,90.0,65.5,500.0,650.0,750.0,običajni pretok,9.2
3420,2025-04-23 09:30,2025-04-23 08:30,89.0,64.1,500.0,650.0,750.0,običajni pretok,9.3
3420,2025-04-23 10:30,2025-04-23 09:30,87.0,61.4,500.0,650.0,750.0,običajni pretok,9.4
3420,2025-04-23 11:30,2025-04-23 10:30,83.0,55.8,500.0,650.0,750.0,običajni pretok,9.6
3420,2025-04-23 12:30,2025-04-23 11:30,81.0,53.1,500.0,650.0,750.0,običajni pretok,9.7
3420,2025-04-23 13:30,2025-04-23 12:30,79.0,50.5,500.0,650.0,750.0,običajni pretok,9.7
3420,2025-04-23 14:30,2025-04-23 13:30,79.0,50.5,500.0,650.0,750.0,običajni pretok,10.0
3420,2025-04-23 15:30,2025-04-23 14:30,79.0,50.5,500.0,650.0,750.0,običajni pretok,10.2
3420,2025-04-23 16:30,2025-04-23 15:30,80.0,51.8,500.0,650.0,750.0,običajni pretok,10.3
3420,2025-04-23 17:30,2025-04-23 16:30,85.0,58.6,500.0,650.0,750.0,običajni pretok,10.4
3420,2025-04-23 18:30,2025-04-23 17:30,91.0,66.9,500.0,650.0,750.0,običajni pretok,10.3
3420,2025-04-23 19:30,2025-04-23 18:30,91.0,66.9,500.0,650.0,750.0,običajni pretok,10.2
3420,2025-04-23 20:30,2025-04-23 19:30,91.0,66.9,500.0,650.0,750.0,običajni pretok,10.0
3420,2025-04-23 21:30,2025-04-23 20:30,91.0,66.9,500.0,650.0,750.0,običajni pretok,9.8
3420,2025-04-23 22:30,2025-04-23 21:30,89.0,64.1,500.0,650.0,750.0,običajni pretok,9.7
3420,2025-04-23 23:30,2025-04-23 22:30,85.0,58.6,500.0,650.0,750.0,običajni pretok,9.6
3420,2025-04-24 00:30,2025-04-23 23:30,84.0,57.2,500.0,650.0,750.0,običajni pretok,9.5
3420,2025-04-24 02:00,2025-04-24 01:00,85.0,58.6,500.0,650.0,750.0,običajni pretok,9.4
3420,2025-04-24 03:30,2025-04-24 02:30,84.0,57.2,500.0,650.0,750.0,običajni pretok,9.3
3420,2025-04-24 04:30,2025-04-24 03:30,83.0,55.8,500.0,650.0,750.0,običajni pretok,9.2
3420,2025-04-24 05:30,2025-04-24 04:30,83.0,55.8,500.0,650.0,750.0,običajni pretok,9.1
3420,2025-04-24 06:30,2025-04-24 05:30,83.0,55.8,500.0,650.0,750.0,običajni pretok,9.0
3420,2025-04-24 07:30,2025-04-24 06:30,84.0,57.2,500.0,650.0,750.0,običajni pretok,9.0
3420,2025-04-24 08:30,2025-04-24 07:30,84.0,57.2,500.0,650.0,750.0,običajni pretok,9.1
3420,2025-04-24 09:30,2025-04-24 08:30,88.0,62.7,500.0,650.0,750.0,običajni pretok,9.2
3420,2025-04-24 10:30,2025-04-24 09:30,87.0,61.4,500.0,650.0,750.0,običajni pretok,9.3
3420,2025-04-24 11:30,2025-04-24 10:30,86.0,60.0,500.0,650.0,750.0,običajni pretok,9.4
3420,2025-04-24 12:30,2025-04-24 11:30,81.0,53.1,500.0,650.0,750.0,običajni pretok,9.5
3420,2025-04-24 13:30,2025-04-24 12:30,75.0,45.5,500.0,650.0,750.0,običajni pretok,9.7
3420,2025-04-24 14:30,2025-04-24 13:30,75.0,45.5,500.0,650.0,750.0,običajni pretok,10.0
3420,2025-04-24 15:30,2025-04-24 14:30,78.0,49.2,500.0,650.0,750.0,običajni pretok,10.3
3420,2025-04-24 16:30,2025-04-24 15:30,81.0,53.1,500.0,650.0,750.0,običajni pretok,10.5
3420,2025-04-24 17:30,2025-04-24 16:30,82.0,54.5,500.0,650.0,750.0,običajni pretok,10.5
3420,2025-04-24 18:30,2025-04-24 17:30,88.0,62.7,500.0,650.0,750.0,običajni pretok,10.4
3420,2025-04-24 19:30,2025-04-24 18:30,89.0,64.1,500.0,650.0,750.0,običajni pretok,10.3
3420,2025-04-24 20:30,2025-04-24 19:30,86.0,60.0,500.0,650.0,750.0,običajni pretok,10.2
3420,2025-04-24 21:30,2025-04-24 20:30,85.0,58.6,500.0,650.0,750.0,običajni pretok,10.2
3420,2025-04-24 22:30,2025-04-24 21:30,85.0,58.6,500.0,650.0,750.0,običajni pretok,10.1
3420,2025-04-24 23:30,2025-04-24 22:30,86.0,60.0,500.0,650.0,750.0,običajni pretok,10.1
3420,2025-04-25 00:30,2025-04-24 23:30,80.0,51.8,500.0,650.0,750.0,običajni pretok,10.1
3420,2025-04-25 02:00,2025-04-25 01:00,74.0,44.3,500.0,650.0,750.0,običajni pretok,10.1
3420,2025-04-25 03:30,2025-04-25 02:30,74.0,44.3,500.0,650.0,750.0,običajni pretok,9.9
