sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
3900,2025-04-19 22:30,2025-04-19 21:30,200.0,464.0,1750.0,2699.0,3200.0,običajni pretok,12.9
3900,2025-04-22 07:30,2025-04-22 06:30,162.0,345.0,1750.0,2699.0,3200.0,običajni pretok,14.3
3900,2025-04-22 10:30,2025-04-22 09:30,163.0,348.0,1750.0,2699.0,3200.0,običajni pretok,14.5
3900,2025-04-22 11:00,2025-04-22 10:00,162.0,345.0,1750.0,2699.0,3200.0,običajni pretok,14.5
3900,2025-04-22 11:30,2025-04-22 10:30,163.0,348.0,1750.0,2699.0,3200.0,običajni pretok,14.6
3900,2025-04-22 12:30,2025-04-22 11:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,14.6
3900,2025-04-22 13:30,2025-04-22 12:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,14.7
3900,2025-04-22 14:30,2025-04-22 13:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,14.8
3900,2025-04-22 15:30,2025-04-22 14:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,14.8
3900,2025-04-22 16:30,2025-04-22 15:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,14.8
3900,2025-04-22 17:30,2025-04-22 16:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,14.8
3900,2025-04-22 18:30,2025-04-22 17:30,158.0,333.0,1750.0,2699.0,3200.0,običajni pretok,14.8
3900,2025-04-22 19:30,2025-04-22 18:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,14.7
3900,2025-04-22 20:30,2025-04-22 19:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,14.8
3900,2025-04-22 21:30,2025-04-22 20:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,14.7
3900,2025-04-22 22:30,2025-04-22 21:30,158.0,333.0,1750.0,2699.0,3200.0,običajni pretok,14.8
3900,2025-04-22 23:30,2025-04-22 22:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,14.9
3900,2025-04-23 00:30,2025-04-22 23:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,14.9
3900,2025-04-23 02:00,2025-04-23 01:00,161.0,342.0,1750.0,2699.0,3200.0,običajni pretok,15.0
3900,2025-04-23 03:30,2025-04-23 02:30,165.0,354.0,1750.0,2699.0,3200.0,običajni pretok,15.0
3900,2025-04-23 04:30,2025-04-23 03:30,166.0,357.0,1750.0,2699.0,3200.0,običajni pretok,15.0
3900,2025-04-23 05:30,2025-04-23 04:30,165.0,354.0,1750.0,2699.0,3200.0,običajni pretok,15.1
3900,2025-04-23 06:30,2025-04-23 05:30,163.0,348.0,1750.0,2699.0,3200.0,običajni pretok,15.0
3900,2025-04-23 07:30,2025-04-23 06:30,164.0,351.0,1750.0,2699.0,3200.0,običajni pretok,15.0
3900,2025-04-23 08:30,2025-04-23 07:30,165.0,354.0,1750.0,2699.0,3200.0,običajni pretok,15.0
3900,2025-04-23 09:30,2025-04-23 08:30,,,1750.0,2699.0,3200.0,,
3900,2025-04-23 10:30,2025-04-23 09:30,168.0,363.0,1750.0,2699.0,3200.0,običajni pretok,15.2
3900,2025-04-23 11:30,2025-04-23 10:30,169.0,366.0,1750.0,2699.0,3200.0,običajni pretok,15.2
3900,2025-04-23 12:30,2025-04-23 11:30,170.0,369.0,1750.0,2699.0,3200.0,običajni pretok,15.3
3900,2025-04-23 13:30,2025-04-23 12:30,166.0,357.0,1750.0,2699.0,3200.0,običajni pretok,15.3
3900,2025-04-23 14:30,2025-04-23 13:30,166.0,357.0,1750.0,2699.0,3200.0,običajni pretok,15.3
3900,2025-04-23 15:30,2025-04-23 14:30,167.0,360.0,1750.0,2699.0,3200.0,običajni pretok,15.4
3900,2025-04-23 16:30,2025-04-23 15:30,168.0,363.0,1750.0,2699.0,3200.0,običajni pretok,15.4
3900,2025-04-23 17:30,2025-04-23 16:30,164.0,351.0,1750.0,2699.0,3200.0,običajni pretok,15.4
3900,2025-04-23 18:30,2025-04-23 17:30,162.0,345.0,1750.0,2699.0,3200.0,običajni pretok,15.3
3900,2025-04-23 19:30,2025-04-23 18:30,161.0,342.0,1750.0,2699.0,3200.0,običajni pretok,15.2
3900,2025-04-23 20:30,2025-04-23 19:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,15.1
3900,2025-04-23 21:30,2025-04-23 20:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,15.1
3900,2025-04-23 22:30,2025-04-23 21:30,158.0,333.0,1750.0,2699.0,3200.0,običajni pretok,15.1
3900,2025-04-23 23:30,2025-04-23 22:30,158.0,333.0,1750.0,2699.0,3200.0,običajni pretok,15.1
3900,2025-04-24 00:30,2025-04-23 23:30,158.0,333.0,1750.0,2699.0,3200.0,običajni pretok,15.1
3900,2025-04-24 02:00,2025-04-24 01:00,158.0,333.0,1750.0,2699.0,3200.0,običajni pretok,15.2
3900,2025-04-24 03:30,2025-04-24 02:30,158.0,333.0,1750.0,2699.0,3200.0,običajni pretok,15.2
3900,2025-04-24 04:30,2025-04-24 03:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,15.3
3900,2025-04-24 05:30,2025-04-24 04:30,159.0,336.0,1750.0,2699.0,3200.0,običajni pretok,15.3
3900,2025-04-24 06:30,2025-04-24 05:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,15.3
3900,2025-04-24 07:30,2025-04-24 06:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,15.4
3900,2025-04-24 08:30,2025-04-24 07:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,15.5
3900,2025-04-24 09:30,2025-04-24 08:30,160.0,339.0,1750.0,2699.0,3200.0,običajni pretok,15.6
