sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4050,2025-04-19 22:30,2025-04-19 21:30,91,10.0,60.0,95.0,130.0,običajni pretok,7.8
4050,2025-04-22 07:30,2025-04-22 06:30,86,7.93,60.0,95.0,130.0,običajni pretok,7.8
4050,2025-04-22 10:30,2025-04-22 09:30,79,5.33,60.0,95.0,130.0,običajni pretok,8.1
4050,2025-04-22 11:00,2025-04-22 10:00,79,5.33,60.0,95.0,130.0,običajni pretok,8.2
4050,2025-04-22 11:30,2025-04-22 10:30,79,5.33,60.0,95.0,130.0,običajni pretok,8.4
4050,2025-04-22 12:30,2025-04-22 11:30,79,5.33,60.0,95.0,130.0,običajni pretok,8.7
4050,2025-04-22 13:30,2025-04-22 12:30,77,4.69,60.0,95.0,130.0,običajni pretok,9.0
4050,2025-04-22 14:30,2025-04-22 13:30,78,5.0,60.0,95.0,130.0,običajni pretok,9.4
4050,2025-04-22 15:30,2025-04-22 14:30,76,4.38,60.0,95.0,130.0,običajni pretok,9.5
4050,2025-04-22 16:30,2025-04-22 15:30,78,5.0,60.0,95.0,130.0,običajni pretok,9.6
4050,2025-04-22 17:30,2025-04-22 16:30,78,5.0,60.0,95.0,130.0,običajni pretok,9.2
4050,2025-04-22 18:30,2025-04-22 17:30,85,7.54,60.0,95.0,130.0,običajni pretok,9.1
4050,2025-04-22 19:30,2025-04-22 18:30,85,7.54,60.0,95.0,130.0,običajni pretok,8.8
4050,2025-04-22 20:30,2025-04-22 19:30,84,7.15,60.0,95.0,130.0,običajni pretok,8.6
4050,2025-04-22 21:30,2025-04-22 20:30,85,7.54,60.0,95.0,130.0,običajni pretok,8.5
4050,2025-04-22 22:30,2025-04-22 21:30,85,7.54,60.0,95.0,130.0,običajni pretok,8.3
4050,2025-04-22 23:30,2025-04-22 22:30,82,6.39,60.0,95.0,130.0,običajni pretok,8.2
4050,2025-04-23 00:30,2025-04-22 23:30,78,5.0,60.0,95.0,130.0,običajni pretok,8.1
4050,2025-04-23 02:00,2025-04-23 01:00,78,5.0,60.0,95.0,130.0,običajni pretok,8.0
4050,2025-04-23 03:30,2025-04-23 02:30,78,5.0,60.0,95.0,130.0,običajni pretok,8.0
4050,2025-04-23 04:30,2025-04-23 03:30,78,5.0,60.0,95.0,130.0,običajni pretok,7.9
4050,2025-04-23 05:30,2025-04-23 04:30,78,5.0,60.0,95.0,130.0,običajni pretok,7.9
4050,2025-04-23 06:30,2025-04-23 05:30,84,7.15,60.0,95.0,130.0,običajni pretok,7.9
4050,2025-04-23 07:30,2025-04-23 06:30,84,7.15,60.0,95.0,130.0,običajni pretok,7.9
4050,2025-04-23 08:30,2025-04-23 07:30,82,6.39,60.0,95.0,130.0,običajni pretok,8.0
4050,2025-04-23 09:30,2025-04-23 08:30,78,5,60.0,95.0,130.0,običajni pretok,8.1
