sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4120,2025-04-19 22:30,2025-04-19 21:30,92,7.75,90.0,120.0,150.0,običajni pretok,8.2
4120,2025-04-22 07:30,2025-04-22 06:30,82,5.18,90.0,120.0,150.0,običajni pretok,8.2
4120,2025-04-22 10:30,2025-04-22 09:30,82,5.18,90.0,120.0,150.0,običajni pretok,8.6
4120,2025-04-22 11:00,2025-04-22 10:00,82,5.18,90.0,120.0,150.0,običajni pretok,8.8
4120,2025-04-22 11:30,2025-04-22 10:30,81,4.96,90.0,120.0,150.0,običajni pretok,8.9
4120,2025-04-22 12:30,2025-04-22 11:30,82,5.18,90.0,120.0,150.0,običajni pretok,9.3
4120,2025-04-22 13:30,2025-04-22 12:30,82,5.18,90.0,120.0,150.0,običajni pretok,9.6
4120,2025-04-22 14:30,2025-04-22 13:30,81,4.96,90.0,120.0,150.0,običajni pretok,10.0
4120,2025-04-22 15:30,2025-04-22 14:30,82,5.18,90.0,120.0,150.0,običajni pretok,10.3
4120,2025-04-22 16:30,2025-04-22 15:30,81,4.96,90.0,120.0,150.0,običajni pretok,10.4
4120,2025-04-22 17:30,2025-04-22 16:30,81,4.96,90.0,120.0,150.0,običajni pretok,10.4
4120,2025-04-22 18:30,2025-04-22 17:30,81,4.96,90.0,120.0,150.0,običajni pretok,10.4
4120,2025-04-22 19:30,2025-04-22 18:30,81,4.96,90.0,120.0,150.0,običajni pretok,10.2
4120,2025-04-22 20:30,2025-04-22 19:30,81,4.96,90.0,120.0,150.0,običajni pretok,9.8
4120,2025-04-22 21:30,2025-04-22 20:30,81,4.96,90.0,120.0,150.0,običajni pretok,9.5
4120,2025-04-22 22:30,2025-04-22 21:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.3
4120,2025-04-22 23:30,2025-04-22 22:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.1
4120,2025-04-23 00:30,2025-04-22 23:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.0
4120,2025-04-23 02:00,2025-04-23 01:00,80,4.73,90.0,120.0,150.0,običajni pretok,8.8
4120,2025-04-23 03:30,2025-04-23 02:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.6
4120,2025-04-23 04:30,2025-04-23 03:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.5
4120,2025-04-23 05:30,2025-04-23 04:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.5
4120,2025-04-23 06:30,2025-04-23 05:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.4
4120,2025-04-23 07:30,2025-04-23 06:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.4
4120,2025-04-23 08:30,2025-04-23 07:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.5
4120,2025-04-23 09:30,2025-04-23 08:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.6
4120,2025-04-23 10:30,2025-04-23 09:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.9
4120,2025-04-23 11:30,2025-04-23 10:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.1
4120,2025-04-23 12:30,2025-04-23 11:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.2
4120,2025-04-23 13:30,2025-04-23 12:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.5
4120,2025-04-23 14:30,2025-04-23 13:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.8
4120,2025-04-23 15:30,2025-04-23 14:30,80,4.73,90.0,120.0,150.0,običajni pretok,10.5
4120,2025-04-23 16:30,2025-04-23 15:30,80,4.73,90.0,120.0,150.0,običajni pretok,10.8
4120,2025-04-23 17:30,2025-04-23 16:30,80,4.73,90.0,120.0,150.0,običajni pretok,10.8
4120,2025-04-23 18:30,2025-04-23 17:30,80,4.73,90.0,120.0,150.0,običajni pretok,10.4
4120,2025-04-23 19:30,2025-04-23 18:30,80,4.73,90.0,120.0,150.0,običajni pretok,10.0
4120,2025-04-23 20:30,2025-04-23 19:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.7
4120,2025-04-23 21:30,2025-04-23 20:30,79,4.52,90.0,120.0,150.0,običajni pretok,9.5
4120,2025-04-23 22:30,2025-04-23 21:30,79,4.52,90.0,120.0,150.0,običajni pretok,9.3
4120,2025-04-23 23:30,2025-04-23 22:30,79,4.52,90.0,120.0,150.0,običajni pretok,9.1
4120,2025-04-24 00:30,2025-04-23 23:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.9
4120,2025-04-24 02:00,2025-04-24 01:00,78,4.31,90.0,120.0,150.0,običajni pretok,8.6
4120,2025-04-24 03:30,2025-04-24 02:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.4
4120,2025-04-24 04:30,2025-04-24 03:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.3
4120,2025-04-24 05:30,2025-04-24 04:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.1
4120,2025-04-24 06:30,2025-04-24 05:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.1
4120,2025-04-24 07:30,2025-04-24 06:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.1
4120,2025-04-24 08:30,2025-04-24 07:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.2
4120,2025-04-24 09:30,2025-04-24 08:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.4
4120,2025-04-24 10:30,2025-04-24 09:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.6
4120,2025-04-24 11:30,2025-04-24 10:30,78,4.31,90.0,120.0,150.0,običajni pretok,8.9
4120,2025-04-24 12:30,2025-04-24 11:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.2
4120,2025-04-24 13:30,2025-04-24 12:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.4
4120,2025-04-24 14:30,2025-04-24 13:30,81,4.96,90.0,120.0,150.0,običajni pretok,10.2
4120,2025-04-24 15:30,2025-04-24 14:30,80,4.73,90.0,120.0,150.0,običajni pretok,10.3
4120,2025-04-24 16:30,2025-04-24 15:30,80,4.73,90.0,120.0,150.0,običajni pretok,10.2
4120,2025-04-24 17:30,2025-04-24 16:30,80,4.73,90.0,120.0,150.0,običajni pretok,10.2
4120,2025-04-24 18:30,2025-04-24 17:30,80,4.73,90.0,120.0,150.0,običajni pretok,9.9
4120,2025-04-24 19:30,2025-04-24 18:30,79,4.52,90.0,120.0,150.0,običajni pretok,9.6
4120,2025-04-24 20:30,2025-04-24 19:30,79,4.52,90.0,120.0,150.0,običajni pretok,9.4
4120,2025-04-24 21:30,2025-04-24 20:30,79,4.52,90.0,120.0,150.0,običajni pretok,9.2
4120,2025-04-24 22:30,2025-04-24 21:30,79,4.52,90.0,120.0,150.0,običajni pretok,9.0
4120,2025-04-24 23:30,2025-04-24 22:30,79,4.52,90.0,120.0,150.0,običajni pretok,8.8
4120,2025-04-25 00:30,2025-04-24 23:30,79,4.52,90.0,120.0,150.0,običajni pretok,8.7
4120,2025-04-25 02:00,2025-04-25 01:00,80,4.73,90.0,120.0,150.0,običajni pretok,8.5
4120,2025-04-25 03:30,2025-04-25 02:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.4
4120,2025-04-25 04:30,2025-04-25 03:30,80,4.73,90.0,120.0,150.0,običajni pretok,8.3
4120,2025-04-25 05:30,2025-04-25 04:30,81,4.96,90.0,120.0,150.0,običajni pretok,8.2
4120,2025-04-25 06:30,2025-04-25 05:30,82,5.18,90.0,120.0,150.0,običajni pretok,8.2
4120,2025-04-25 07:30,2025-04-25 06:30,83,5.42,90.0,120.0,150.0,običajni pretok,8.0
4120,2025-04-25 08:30,2025-04-25 07:30,86,6.15,90.0,120.0,150.0,običajni pretok,7.9
4120,2025-04-25 09:30,2025-04-25 08:30,91,7.48,90.0,120.0,150.0,običajni pretok,7.9
4120,2025-04-25 10:30,2025-04-25 09:30,96,8.83,90.0,120.0,150.0,običajni pretok,7.8
4120,2025-04-25 11:30,2025-04-25 10:30,100,9.92,90.0,120.0,150.0,običajni pretok,7.6
4120,2025-04-25 12:30,2025-04-25 11:30,105,11.3,90.0,120.0,150.0,običajni pretok,7.6
4120,2025-04-25 13:30,2025-04-25 12:30,107,11.9,90.0,120.0,150.0,običajni pretok,7.6
4120,2025-04-25 14:30,2025-04-25 13:30,108,12.1,90.0,120.0,150.0,običajni pretok,7.6
4120,2025-04-25 15:30,2025-04-25 14:30,108,12.1,90.0,120.0,150.0,običajni pretok,7.7
4120,2025-04-25 16:30,2025-04-25 15:30,109,12.4,90.0,120.0,150.0,običajni pretok,7.8
4120,2025-04-25 17:30,2025-04-25 16:30,108,12.1,90.0,120.0,150.0,običajni pretok,7.8
4120,2025-04-25 18:30,2025-04-25 17:30,107,11.9,90.0,120.0,150.0,običajni pretok,7.8
4120,2025-04-25 19:30,2025-04-25 18:30,106,11.6,90.0,120.0,150.0,običajni pretok,7.8
4120,2025-04-25 20:30,2025-04-25 19:30,105,11.3,90.0,120.0,150.0,običajni pretok,7.8
4120,2025-04-25 21:30,2025-04-25 20:30,104,11.0,90.0,120.0,150.0,običajni pretok,7.8
4120,2025-04-25 22:30,2025-04-25 21:30,105,11.3,90.0,120.0,150.0,običajni pretok,7.7
4120,2025-04-25 23:30,2025-04-25 22:30,104,11.0,90.0,120.0,150.0,običajni pretok,7.7
4120,2025-04-26 00:30,2025-04-25 23:30,102,10.5,90.0,120.0,150.0,običajni pretok,7.7
4120,2025-04-26 02:00,2025-04-26 01:00,102,10.5,90.0,120.0,150.0,običajni pretok,7.6
4120,2025-04-26 03:30,2025-04-26 02:30,105,11.3,90.0,120.0,150.0,običajni pretok,7.6
4120,2025-04-26 04:30,2025-04-26 03:30,105,11.3,90.0,120.0,150.0,običajni pretok,7.6
4120,2025-04-26 05:30,2025-04-26 04:30,104,11.0,90.0,120.0,150.0,običajni pretok,7.5
4120,2025-04-26 06:30,2025-04-26 05:30,104,11.0,90.0,120.0,150.0,običajni pretok,7.5
4120,2025-04-26 07:30,2025-04-26 06:30,104,11.0,90.0,120.0,150.0,običajni pretok,7.6
4120,2025-04-26 08:30,2025-04-26 07:30,104,11.0,90.0,120.0,150.0,običajni pretok,7.7
4120,2025-04-26 09:30,2025-04-26 08:30,102,10.5,90.0,120.0,150.0,običajni pretok,7.9
4120,2025-04-26 10:30,2025-04-26 09:30,103,10.7,90.0,120.0,150.0,običajni pretok,8.0
4120,2025-04-26 11:30,2025-04-26 10:30,103,10.7,90.0,120.0,150.0,običajni pretok,8.3
4120,2025-04-26 12:30,2025-04-26 11:30,102,10.5,90.0,120.0,150.0,običajni pretok,8.5
4120,2025-04-26 13:30,2025-04-26 12:30,102,10.5,90.0,120.0,150.0,običajni pretok,8.7
4120,2025-04-26 14:30,2025-04-26 13:30,102,10.5,90.0,120.0,150.0,običajni pretok,8.7
