sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4155,2025-04-19 22:30,2025-04-19 21:30,107,12.9,140.0,180.0,225.0,običajni pretok,9.8
4155,2025-04-22 07:30,2025-04-22 06:30,90,6.93,140.0,180.0,225.0,običajni pretok,9.8
4155,2025-04-22 10:30,2025-04-22 09:30,92,7.55,140.0,180.0,225.0,običajni pretok,9.8
4155,2025-04-22 11:00,2025-04-22 10:00,92,7.55,140.0,180.0,225.0,običajni pretok,9.8
4155,2025-04-22 11:30,2025-04-22 10:30,90,6.93,140.0,180.0,225.0,običajni pretok,9.9
4155,2025-04-22 12:30,2025-04-22 11:30,93,7.87,140.0,180.0,225.0,običajni pretok,10.3
4155,2025-04-22 13:30,2025-04-22 12:30,93,7.87,140.0,180.0,225.0,običajni pretok,10.7
4155,2025-04-22 14:30,2025-04-22 13:30,94,8.19,140.0,180.0,225.0,običajni pretok,11.2
4155,2025-04-22 15:30,2025-04-22 14:30,95,8.52,140.0,180.0,225.0,običajni pretok,11.7
4155,2025-04-22 16:30,2025-04-22 15:30,96,8.86,140.0,180.0,225.0,običajni pretok,12.1
4155,2025-04-22 17:30,2025-04-22 16:30,96,8.86,140.0,180.0,225.0,običajni pretok,12.5
4155,2025-04-22 18:30,2025-04-22 17:30,96,8.86,140.0,180.0,225.0,običajni pretok,12.8
4155,2025-04-22 19:30,2025-04-22 18:30,96,8.86,140.0,180.0,225.0,običajni pretok,12.7
4155,2025-04-22 20:30,2025-04-22 19:30,95,8.52,140.0,180.0,225.0,običajni pretok,12.6
4155,2025-04-22 21:30,2025-04-22 20:30,95,8.52,140.0,180.0,225.0,običajni pretok,12.4
4155,2025-04-22 22:30,2025-04-22 21:30,94,8.19,140.0,180.0,225.0,običajni pretok,12.2
4155,2025-04-22 23:30,2025-04-22 22:30,92,7.55,140.0,180.0,225.0,običajni pretok,11.9
4155,2025-04-23 00:30,2025-04-22 23:30,94,8.19,140.0,180.0,225.0,običajni pretok,11.6
4155,2025-04-23 02:00,2025-04-23 01:00,92,7.55,140.0,180.0,225.0,običajni pretok,11.2
4155,2025-04-23 03:30,2025-04-23 02:30,91,7.23,140.0,180.0,225.0,običajni pretok,10.9
4155,2025-04-23 04:30,2025-04-23 03:30,90,6.93,140.0,180.0,225.0,običajni pretok,10.7
4155,2025-04-23 05:30,2025-04-23 04:30,90,6.93,140.0,180.0,225.0,običajni pretok,10.5
4155,2025-04-23 06:30,2025-04-23 05:30,90,6.93,140.0,180.0,225.0,običajni pretok,10.4
4155,2025-04-23 07:30,2025-04-23 06:30,91,7.23,140.0,180.0,225.0,običajni pretok,10.3
4155,2025-04-23 08:30,2025-04-23 07:30,90,6.93,140.0,180.0,225.0,običajni pretok,10.2
4155,2025-04-23 09:30,2025-04-23 08:30,90,6.93,140.0,180.0,225.0,običajni pretok,10.2
4155,2025-04-23 10:30,2025-04-23 09:30,89,6.62,140.0,180.0,225.0,običajni pretok,10.2
4155,2025-04-23 11:30,2025-04-23 10:30,89,6.62,140.0,180.0,225.0,običajni pretok,10.3
4155,2025-04-23 12:30,2025-04-23 11:30,83,4.94,140.0,180.0,225.0,običajni pretok,10.4
4155,2025-04-23 13:30,2025-04-23 12:30,86,5.75,140.0,180.0,225.0,običajni pretok,10.7
4155,2025-04-23 14:30,2025-04-23 13:30,85,5.47,140.0,180.0,225.0,običajni pretok,11.0
4155,2025-04-23 15:30,2025-04-23 14:30,86,5.75,140.0,180.0,225.0,običajni pretok,11.3
4155,2025-04-23 16:30,2025-04-23 15:30,87,6.04,140.0,180.0,225.0,običajni pretok,11.6
4155,2025-04-23 17:30,2025-04-23 16:30,86,5.75,140.0,180.0,225.0,običajni pretok,11.9
4155,2025-04-23 18:30,2025-04-23 17:30,87,6.04,140.0,180.0,225.0,običajni pretok,12.1
4155,2025-04-23 19:30,2025-04-23 18:30,87,6.04,140.0,180.0,225.0,običajni pretok,12.1
4155,2025-04-23 20:30,2025-04-23 19:30,87,6.04,140.0,180.0,225.0,običajni pretok,12.1
4155,2025-04-23 21:30,2025-04-23 20:30,87,6.04,140.0,180.0,225.0,običajni pretok,11.9
4155,2025-04-23 22:30,2025-04-23 21:30,87,6.04,140.0,180.0,225.0,običajni pretok,11.8
4155,2025-04-23 23:30,2025-04-23 22:30,87,6.04,140.0,180.0,225.0,običajni pretok,11.7
4155,2025-04-24 00:30,2025-04-23 23:30,87,6.04,140.0,180.0,225.0,običajni pretok,11.5
4155,2025-04-24 02:00,2025-04-24 01:00,87,6.04,140.0,180.0,225.0,običajni pretok,11.2
4155,2025-04-24 03:30,2025-04-24 02:30,87,6.04,140.0,180.0,225.0,običajni pretok,10.9
4155,2025-04-24 04:30,2025-04-24 03:30,87,6.04,140.0,180.0,225.0,običajni pretok,10.6
4155,2025-04-24 05:30,2025-04-24 04:30,87,6.04,140.0,180.0,225.0,običajni pretok,10.4
4155,2025-04-24 06:30,2025-04-24 05:30,87,6.04,140.0,180.0,225.0,običajni pretok,10.2
4155,2025-04-24 07:30,2025-04-24 06:30,87,6.04,140.0,180.0,225.0,običajni pretok,10.1
4155,2025-04-24 08:30,2025-04-24 07:30,87,6.04,140.0,180.0,225.0,običajni pretok,9.9
4155,2025-04-24 09:30,2025-04-24 08:30,87,6.04,140.0,180.0,225.0,običajni pretok,9.8
4155,2025-04-24 10:30,2025-04-24 09:30,88,6.33,140.0,180.0,225.0,običajni pretok,9.8
4155,2025-04-24 11:30,2025-04-24 10:30,88,6.33,140.0,180.0,225.0,običajni pretok,9.9
4155,2025-04-24 12:30,2025-04-24 11:30,87,6.04,140.0,180.0,225.0,običajni pretok,10.2
4155,2025-04-24 13:30,2025-04-24 12:30,87,6.04,140.0,180.0,225.0,običajni pretok,10.5
4155,2025-04-24 14:30,2025-04-24 13:30,87,6.04,140.0,180.0,225.0,običajni pretok,11.0
4155,2025-04-24 15:30,2025-04-24 14:30,88,6.33,140.0,180.0,225.0,običajni pretok,11.5
4155,2025-04-24 16:30,2025-04-24 15:30,83,4.94,140.0,180.0,225.0,običajni pretok,11.9
4155,2025-04-24 17:30,2025-04-24 16:30,90,6.93,140.0,180.0,225.0,običajni pretok,12.4
4155,2025-04-24 18:30,2025-04-24 17:30,91,7.23,140.0,180.0,225.0,običajni pretok,12.5
4155,2025-04-24 19:30,2025-04-24 18:30,90,6.93,140.0,180.0,225.0,običajni pretok,12.5
4155,2025-04-24 20:30,2025-04-24 19:30,88,6.33,140.0,180.0,225.0,običajni pretok,12.3
4155,2025-04-24 21:30,2025-04-24 20:30,91,7.23,140.0,180.0,225.0,običajni pretok,12.2
4155,2025-04-24 22:30,2025-04-24 21:30,88,6.33,140.0,180.0,225.0,običajni pretok,11.9
4155,2025-04-24 23:30,2025-04-24 22:30,87,6.04,140.0,180.0,225.0,običajni pretok,11.6
4155,2025-04-25 00:30,2025-04-24 23:30,89,6.62,140.0,180.0,225.0,običajni pretok,11.4
4155,2025-04-25 02:00,2025-04-25 01:00,88,6.33,140.0,180.0,225.0,običajni pretok,11.1
4155,2025-04-25 03:30,2025-04-25 02:30,88,6.33,140.0,180.0,225.0,običajni pretok,10.8
4155,2025-04-25 04:30,2025-04-25 03:30,88,6.33,140.0,180.0,225.0,običajni pretok,10.7
4155,2025-04-25 05:30,2025-04-25 04:30,89,6.62,140.0,180.0,225.0,običajni pretok,10.5
4155,2025-04-25 06:30,2025-04-25 05:30,90,6.93,140.0,180.0,225.0,običajni pretok,10.3
4155,2025-04-25 07:30,2025-04-25 06:30,93,7.87,140.0,180.0,225.0,običajni pretok,10.2
4155,2025-04-25 08:30,2025-04-25 07:30,99,9.89,140.0,180.0,225.0,običajni pretok,10.1
4155,2025-04-25 09:30,2025-04-25 08:30,96,8.86,140.0,180.0,225.0,običajni pretok,9.9
4155,2025-04-25 10:30,2025-04-25 09:30,106,12.5,140.0,180.0,225.0,običajni pretok,9.8
4155,2025-04-25 11:30,2025-04-25 10:30,107,12.9,140.0,180.0,225.0,običajni pretok,9.7
4155,2025-04-25 12:30,2025-04-25 11:30,118,17.3,140.0,180.0,225.0,običajni pretok,9.7
4155,2025-04-25 13:30,2025-04-25 12:30,125,20.3,140.0,180.0,225.0,veliki pretok,9.6
4155,2025-04-25 14:30,2025-04-25 13:30,128,21.5,140.0,180.0,225.0,veliki pretok,9.4
4155,2025-04-25 15:30,2025-04-25 14:30,131,22.9,140.0,180.0,225.0,veliki pretok,9.4
4155,2025-04-25 16:30,2025-04-25 15:30,135,24.7,140.0,180.0,225.0,veliki pretok,9.3
4155,2025-04-25 17:30,2025-04-25 16:30,135,24.7,140.0,180.0,225.0,veliki pretok,9.3
4155,2025-04-25 18:30,2025-04-25 17:30,132,23.3,140.0,180.0,225.0,veliki pretok,9.3
4155,2025-04-25 19:30,2025-04-25 18:30,130,22.4,140.0,180.0,225.0,veliki pretok,9.2
4155,2025-04-25 20:30,2025-04-25 19:30,126,20.7,140.0,180.0,225.0,veliki pretok,9.1
4155,2025-04-25 21:30,2025-04-25 20:30,124,19.8,140.0,180.0,225.0,veliki pretok,9.0
4155,2025-04-25 22:30,2025-04-25 21:30,123,19.4,140.0,180.0,225.0,veliki pretok,8.9
4155,2025-04-25 23:30,2025-04-25 22:30,122,19.0,140.0,180.0,225.0,običajni pretok,8.8
4155,2025-04-26 00:30,2025-04-25 23:30,121,18.6,140.0,180.0,225.0,običajni pretok,8.8
