sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4209,2025-04-19 22:30,2025-04-19 21:30,131,27.9,370.0,540.0,650.0,običajni pretok,10.9
4209,2025-04-22 07:30,2025-04-22 06:30,122,21.6,370.0,540.0,650.0,običajni pretok,10.9
4209,2025-04-22 10:30,2025-04-22 09:30,122,21.6,370.0,540.0,650.0,običajni pretok,11.1
4209,2025-04-22 11:00,2025-04-22 10:00,122,21.6,370.0,540.0,650.0,običajni pretok,11.2
4209,2025-04-22 11:30,2025-04-22 10:30,122,21.6,370.0,540.0,650.0,običajni pretok,11.5
4209,2025-04-22 12:30,2025-04-22 11:30,123,22.2,370.0,540.0,650.0,običajni pretok,11.9
4209,2025-04-22 13:30,2025-04-22 12:30,122,21.6,370.0,540.0,650.0,običajni pretok,12.3
4209,2025-04-22 14:30,2025-04-22 13:30,122,21.6,370.0,540.0,650.0,običajni pretok,12.7
4209,2025-04-22 15:30,2025-04-22 14:30,121,20.9,370.0,540.0,650.0,običajni pretok,12.9
4209,2025-04-22 16:30,2025-04-22 15:30,121,20.9,370.0,540.0,650.0,običajni pretok,13.0
4209,2025-04-22 17:30,2025-04-22 16:30,121,20.9,370.0,540.0,650.0,običajni pretok,13.0
4209,2025-04-22 18:30,2025-04-22 17:30,121,20.9,370.0,540.0,650.0,običajni pretok,13.2
4209,2025-04-22 19:30,2025-04-22 18:30,121,20.9,370.0,540.0,650.0,običajni pretok,13.2
4209,2025-04-22 20:30,2025-04-22 19:30,120,20.3,370.0,540.0,650.0,običajni pretok,13.1
4209,2025-04-22 21:30,2025-04-22 20:30,121,20.9,370.0,540.0,650.0,običajni pretok,12.9
