sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4270,2025-04-19 22:30,2025-04-19 21:30,171,5.96,82.0,120.0,220.0,običajni pretok,9.0
4270,2025-04-22 07:30,2025-04-22 06:30,163,4.04,82.0,120.0,220.0,običajni pretok,8.9
4270,2025-04-22 10:30,2025-04-22 09:30,163,4.04,82.0,120.0,220.0,običajni pretok,9.3
4270,2025-04-22 11:00,2025-04-22 10:00,163,4.04,82.0,120.0,220.0,običajni pretok,9.5
4270,2025-04-22 11:30,2025-04-22 10:30,163,4.04,82.0,120.0,220.0,običajni pretok,9.7
4270,2025-04-22 12:30,2025-04-22 11:30,163,4.04,82.0,120.0,220.0,običajni pretok,10.3
4270,2025-04-22 13:30,2025-04-22 12:30,163,4.04,82.0,120.0,220.0,običajni pretok,10.8
4270,2025-04-22 14:30,2025-04-22 13:30,163,4.04,82.0,120.0,220.0,običajni pretok,11.2
4270,2025-04-22 15:30,2025-04-22 14:30,163,4.04,82.0,120.0,220.0,običajni pretok,11.7
4270,2025-04-22 16:30,2025-04-22 15:30,163,4.04,82.0,120.0,220.0,običajni pretok,12.2
4270,2025-04-22 17:30,2025-04-22 16:30,163,4.04,82.0,120.0,220.0,običajni pretok,12.3
4270,2025-04-22 18:30,2025-04-22 17:30,162,3.82,82.0,120.0,220.0,običajni pretok,12.1
4270,2025-04-22 19:30,2025-04-22 18:30,162,3.82,82.0,120.0,220.0,običajni pretok,11.8
4270,2025-04-22 20:30,2025-04-22 19:30,162,3.82,82.0,120.0,220.0,običajni pretok,11.5
4270,2025-04-22 21:30,2025-04-22 20:30,162,3.82,82.0,120.0,220.0,običajni pretok,11.1
4270,2025-04-22 22:30,2025-04-22 21:30,162,3.82,82.0,120.0,220.0,običajni pretok,10.7
4270,2025-04-22 23:30,2025-04-22 22:30,162,3.82,82.0,120.0,220.0,običajni pretok,10.4
4270,2025-04-23 00:30,2025-04-22 23:30,162,3.82,82.0,120.0,220.0,običajni pretok,10.1
4270,2025-04-23 02:00,2025-04-23 01:00,162,3.82,82.0,120.0,220.0,običajni pretok,9.7
4270,2025-04-23 03:30,2025-04-23 02:30,162,3.82,82.0,120.0,220.0,običajni pretok,9.5
