sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4400,2025-04-19 22:30,2025-04-19 21:30,91,15.7,140.0,183.0,224.0,običajni pretok,8.0
4400,2025-04-22 07:30,2025-04-22 06:30,84,12.7,140.0,183.0,224.0,običajni pretok,7.9
4400,2025-04-22 10:30,2025-04-22 09:30,83,12.4,140.0,183.0,224.0,običajni pretok,8.5
4400,2025-04-22 11:00,2025-04-22 10:00,83,12.4,140.0,183.0,224.0,običajni pretok,8.7
4400,2025-04-22 11:30,2025-04-22 10:30,83,12.4,140.0,183.0,224.0,običajni pretok,8.9
4400,2025-04-22 12:30,2025-04-22 11:30,83,12.4,140.0,183.0,224.0,običajni pretok,9.6
4400,2025-04-22 13:30,2025-04-22 12:30,76,9.81,140.0,183.0,224.0,običajni pretok,10.2
4400,2025-04-22 14:30,2025-04-22 13:30,87,13.9,140.0,183.0,224.0,običajni pretok,10.7
4400,2025-04-22 15:30,2025-04-22 14:30,82,12.0,140.0,183.0,224.0,običajni pretok,10.4
4400,2025-04-22 16:30,2025-04-22 15:30,82,12.0,140.0,183.0,224.0,običajni pretok,9.9
4400,2025-04-22 17:30,2025-04-22 16:30,82,12.0,140.0,183.0,224.0,običajni pretok,9.5
4400,2025-04-22 18:30,2025-04-22 17:30,81,11.6,140.0,183.0,224.0,običajni pretok,9.3
4400,2025-04-22 19:30,2025-04-22 18:30,81,11.6,140.0,183.0,224.0,običajni pretok,9.2
4400,2025-04-22 20:30,2025-04-22 19:30,81,11.6,140.0,183.0,224.0,običajni pretok,8.9
