sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4706,2025-04-19 22:30,2025-04-19 21:30,41,0.553,19.0,35.0,54.0,običajni pretok,11.6
4706,2025-04-22 07:30,2025-04-22 06:30,40,0.475,19.0,35.0,54.0,običajni pretok,11.8
4706,2025-04-22 10:30,2025-04-22 09:30,40,0.475,19.0,35.0,54.0,običajni pretok,11.7
4706,2025-04-22 11:00,2025-04-22 10:00,40,0.475,19.0,35.0,54.0,običajni pretok,11.7
4706,2025-04-22 11:30,2025-04-22 10:30,40,0.475,19.0,35.0,54.0,običajni pretok,11.8
4706,2025-04-22 12:30,2025-04-22 11:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.0
4706,2025-04-22 13:30,2025-04-22 12:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.3
4706,2025-04-22 14:30,2025-04-22 13:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.9
4706,2025-04-22 15:30,2025-04-22 14:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.4
4706,2025-04-22 16:30,2025-04-22 15:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.9
4706,2025-04-22 17:30,2025-04-22 16:30,40,0.475,19.0,35.0,54.0,običajni pretok,14.2
4706,2025-04-22 18:30,2025-04-22 17:30,40,0.475,19.0,35.0,54.0,običajni pretok,14.3
4706,2025-04-22 19:30,2025-04-22 18:30,40,0.475,19.0,35.0,54.0,običajni pretok,14.2
4706,2025-04-22 20:30,2025-04-22 19:30,40,0.475,19.0,35.0,54.0,običajni pretok,14.1
4706,2025-04-22 21:30,2025-04-22 20:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.9
4706,2025-04-22 22:30,2025-04-22 21:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.7
4706,2025-04-22 23:30,2025-04-22 22:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.5
4706,2025-04-23 00:30,2025-04-22 23:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.2
4706,2025-04-23 02:00,2025-04-23 01:00,40,0.475,19.0,35.0,54.0,običajni pretok,12.9
4706,2025-04-23 03:30,2025-04-23 02:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.6
4706,2025-04-23 04:30,2025-04-23 03:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.4
4706,2025-04-23 05:30,2025-04-23 04:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.2
4706,2025-04-23 06:30,2025-04-23 05:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.0
4706,2025-04-23 07:30,2025-04-23 06:30,40,0.475,19.0,35.0,54.0,običajni pretok,11.8
4706,2025-04-23 08:30,2025-04-23 07:30,40,0.475,19.0,35.0,54.0,običajni pretok,11.7
4706,2025-04-23 09:30,2025-04-23 08:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.7
4706,2025-04-23 10:30,2025-04-23 09:30,40,0.475,19.0,35.0,54.0,običajni pretok,11.7
4706,2025-04-23 11:30,2025-04-23 10:30,40,0.475,19.0,35.0,54.0,običajni pretok,11.8
4706,2025-04-23 12:30,2025-04-23 11:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.0
4706,2025-04-23 13:30,2025-04-23 12:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.2
4706,2025-04-23 14:30,2025-04-23 13:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.5
4706,2025-04-23 15:30,2025-04-23 14:30,39,0.406,19.0,35.0,54.0,običajni pretok,12.8
4706,2025-04-23 16:30,2025-04-23 15:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.1
4706,2025-04-23 17:30,2025-04-23 16:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.5
4706,2025-04-23 18:30,2025-04-23 17:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.7
4706,2025-04-23 19:30,2025-04-23 18:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.8
4706,2025-04-23 20:30,2025-04-23 19:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.8
4706,2025-04-23 21:30,2025-04-23 20:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.7
4706,2025-04-23 22:30,2025-04-23 21:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.6
4706,2025-04-23 23:30,2025-04-23 22:30,39,0.406,19.0,35.0,54.0,običajni pretok,13.4
4706,2025-04-24 00:30,2025-04-23 23:30,40,0.475,19.0,35.0,54.0,običajni pretok,13.1
4706,2025-04-24 02:00,2025-04-24 01:00,39,0.406,19.0,35.0,54.0,običajni pretok,12.7
4706,2025-04-24 03:30,2025-04-24 02:30,39,0.406,19.0,35.0,54.0,običajni pretok,12.4
4706,2025-04-24 04:30,2025-04-24 03:30,39,0.406,19.0,35.0,54.0,običajni pretok,12.1
4706,2025-04-24 05:30,2025-04-24 04:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.9
4706,2025-04-24 06:30,2025-04-24 05:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.7
4706,2025-04-24 07:30,2025-04-24 06:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.5
4706,2025-04-24 08:30,2025-04-24 07:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.4
4706,2025-04-24 09:30,2025-04-24 08:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.3
4706,2025-04-24 10:30,2025-04-24 09:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.4
4706,2025-04-24 11:30,2025-04-24 10:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.6
4706,2025-04-24 12:30,2025-04-24 11:30,39,0.406,19.0,35.0,54.0,običajni pretok,11.9
4706,2025-04-24 13:30,2025-04-24 12:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.1
4706,2025-04-24 14:30,2025-04-24 13:30,40,0.475,19.0,35.0,54.0,običajni pretok,12.2
4706,2025-04-24 15:30,2025-04-24 14:30,45,0.944,19.0,35.0,54.0,običajni pretok,12.2
4706,2025-04-24 16:30,2025-04-24 15:30,52,1.96,19.0,35.0,54.0,običajni pretok,12.2
4706,2025-04-24 17:30,2025-04-24 16:30,54,2.32,19.0,35.0,54.0,veliki pretok,12.2
4706,2025-04-24 18:30,2025-04-24 17:30,55,2.5,19.0,35.0,54.0,veliki pretok,12.1
4706,2025-04-24 19:30,2025-04-24 18:30,53,2.14,19.0,35.0,54.0,veliki pretok,11.9
4706,2025-04-24 20:30,2025-04-24 19:30,50,1.62,19.0,35.0,54.0,običajni pretok,11.7
4706,2025-04-24 21:30,2025-04-24 20:30,49,1.47,19.0,35.0,54.0,običajni pretok,11.6
4706,2025-04-24 22:30,2025-04-24 21:30,47,1.19,19.0,35.0,54.0,običajni pretok,11.5
4706,2025-04-24 23:30,2025-04-24 22:30,47,1.19,19.0,35.0,54.0,običajni pretok,11.4
4706,2025-04-25 00:30,2025-04-24 23:30,46,1.06,19.0,35.0,54.0,običajni pretok,11.3
4706,2025-04-25 02:00,2025-04-25 01:00,45,0.944,19.0,35.0,54.0,običajni pretok,11.2
4706,2025-04-25 03:30,2025-04-25 02:30,45,0.944,19.0,35.0,54.0,običajni pretok,11.1
4706,2025-04-25 04:30,2025-04-25 03:30,45,0.944,19.0,35.0,54.0,običajni pretok,11.0
4706,2025-04-25 05:30,2025-04-25 04:30,44,0.834,19.0,35.0,54.0,običajni pretok,11.0
4706,2025-04-25 06:30,2025-04-25 05:30,44,0.834,19.0,35.0,54.0,običajni pretok,10.9
4706,2025-04-25 07:30,2025-04-25 06:30,44,0.834,19.0,35.0,54.0,običajni pretok,10.8
4706,2025-04-25 08:30,2025-04-25 07:30,44,0.834,19.0,35.0,54.0,običajni pretok,10.8
4706,2025-04-25 09:30,2025-04-25 08:30,44,0.834,19.0,35.0,54.0,običajni pretok,10.7
4706,2025-04-25 10:30,2025-04-25 09:30,43,0.732,19.0,35.0,54.0,običajni pretok,10.7
4706,2025-04-25 11:30,2025-04-25 10:30,44,0.834,19.0,35.0,54.0,običajni pretok,10.7
4706,2025-04-25 12:30,2025-04-25 11:30,44,0.834,19.0,35.0,54.0,običajni pretok,10.7
4706,2025-04-25 13:30,2025-04-25 12:30,44,0.834,19.0,35.0,54.0,običajni pretok,10.7
4706,2025-04-25 14:30,2025-04-25 13:30,45,0.944,19.0,35.0,54.0,običajni pretok,10.7
4706,2025-04-25 15:30,2025-04-25 14:30,47,1.19,19.0,35.0,54.0,običajni pretok,10.7
4706,2025-04-25 16:30,2025-04-25 15:30,57,2.85,19.0,35.0,54.0,veliki pretok,10.8
4706,2025-04-25 17:30,2025-04-25 16:30,59,3.22,19.0,35.0,54.0,veliki pretok,10.8
4706,2025-04-25 18:30,2025-04-25 17:30,59,3.22,19.0,35.0,54.0,veliki pretok,10.7
4706,2025-04-25 19:30,2025-04-25 18:30,58,3.03,19.0,35.0,54.0,veliki pretok,10.5
4706,2025-04-25 20:30,2025-04-25 19:30,55,2.5,19.0,35.0,54.0,veliki pretok,10.4
4706,2025-04-25 21:30,2025-04-25 20:30,53,2.14,19.0,35.0,54.0,veliki pretok,10.4
4706,2025-04-25 22:30,2025-04-25 21:30,52,1.96,19.0,35.0,54.0,običajni pretok,10.3
4706,2025-04-25 23:30,2025-04-25 22:30,51,1.79,19.0,35.0,54.0,običajni pretok,10.2
4706,2025-04-26 00:30,2025-04-25 23:30,51,1.79,19.0,35.0,54.0,običajni pretok,10.1
4706,2025-04-26 02:00,2025-04-26 01:00,53,2.14,19.0,35.0,54.0,veliki pretok,10.0
4706,2025-04-26 03:30,2025-04-26 02:30,58,3.03,19.0,35.0,54.0,veliki pretok,10.0
4706,2025-04-26 04:30,2025-04-26 03:30,60,3.4,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 05:30,2025-04-26 04:30,62,3.78,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 06:30,2025-04-26 05:30,63,3.98,19.0,35.0,54.0,veliki pretok,9.8
4706,2025-04-26 07:30,2025-04-26 06:30,66,4.58,19.0,35.0,54.0,veliki pretok,9.8
4706,2025-04-26 08:30,2025-04-26 07:30,81,7.86,19.0,35.0,54.0,veliki pretok,9.8
4706,2025-04-26 09:30,2025-04-26 08:30,81,7.86,19.0,35.0,54.0,veliki pretok,9.8
4706,2025-04-26 10:30,2025-04-26 09:30,78,7.17,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 11:30,2025-04-26 10:30,76,6.72,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 12:30,2025-04-26 11:30,76,6.72,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 13:30,2025-04-26 12:30,76,6.72,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 14:30,2025-04-26 13:30,75,6.49,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 15:30,2025-04-26 14:30,73,6.05,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 16:30,2025-04-26 15:30,72,5.84,19.0,35.0,54.0,veliki pretok,10.0
4706,2025-04-26 17:30,2025-04-26 16:30,70,5.41,19.0,35.0,54.0,veliki pretok,10.0
4706,2025-04-26 18:30,2025-04-26 17:30,68,4.99,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 19:30,2025-04-26 18:30,67,4.78,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 20:30,2025-04-26 19:30,65,4.38,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 21:30,2025-04-26 20:30,64,4.18,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 22:30,2025-04-26 21:30,63,3.98,19.0,35.0,54.0,veliki pretok,9.9
4706,2025-04-26 23:30,2025-04-26 22:30,61,3.59,19.0,35.0,54.0,veliki pretok,9.9
