sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4710,2025-04-19 22:30,2025-04-19 21:30,41,0.268,22.0,44.0,77.0,običajni pretok,12.2
4710,2025-04-22 07:30,2025-04-22 06:30,40,0.24,22.0,44.0,77.0,običajni pretok,13.2
4710,2025-04-22 10:30,2025-04-22 09:30,40,0.24,22.0,44.0,77.0,običajni pretok,13.6
4710,2025-04-22 11:00,2025-04-22 10:00,40,0.24,22.0,44.0,77.0,običajni pretok,13.8
4710,2025-04-22 11:30,2025-04-22 10:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.0
4710,2025-04-22 12:30,2025-04-22 11:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.9
4710,2025-04-22 13:30,2025-04-22 12:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.5
4710,2025-04-22 14:30,2025-04-22 13:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.7
4710,2025-04-22 15:30,2025-04-22 14:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.8
4710,2025-04-22 16:30,2025-04-22 15:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.9
4710,2025-04-22 17:30,2025-04-22 16:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.8
4710,2025-04-22 18:30,2025-04-22 17:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.5
4710,2025-04-22 19:30,2025-04-22 18:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.2
4710,2025-04-22 20:30,2025-04-22 19:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.9
4710,2025-04-22 21:30,2025-04-22 20:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.8
4710,2025-04-22 22:30,2025-04-22 21:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.7
4710,2025-04-22 23:30,2025-04-22 22:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.7
4710,2025-04-23 00:30,2025-04-22 23:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.6
4710,2025-04-23 02:00,2025-04-23 01:00,40,0.24,22.0,44.0,77.0,običajni pretok,14.3
4710,2025-04-23 03:30,2025-04-23 02:30,40,0.24,22.0,44.0,77.0,običajni pretok,13.9
4710,2025-04-23 04:30,2025-04-23 03:30,40,0.24,22.0,44.0,77.0,običajni pretok,13.6
4710,2025-04-23 05:30,2025-04-23 04:30,40,0.24,22.0,44.0,77.0,običajni pretok,13.4
4710,2025-04-23 06:30,2025-04-23 05:30,40,0.24,22.0,44.0,77.0,običajni pretok,13.2
4710,2025-04-23 07:30,2025-04-23 06:30,40,0.24,22.0,44.0,77.0,običajni pretok,13.2
4710,2025-04-23 08:30,2025-04-23 07:30,40,0.24,22.0,44.0,77.0,običajni pretok,13.3
4710,2025-04-23 09:30,2025-04-23 08:30,39,0.214,22.0,44.0,77.0,običajni pretok,13.7
4710,2025-04-23 10:30,2025-04-23 09:30,39,0.214,22.0,44.0,77.0,običajni pretok,13.7
4710,2025-04-23 11:30,2025-04-23 10:30,39,0.214,22.0,44.0,77.0,običajni pretok,14.5
4710,2025-04-23 12:30,2025-04-23 11:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.9
4710,2025-04-23 13:30,2025-04-23 12:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.2
4710,2025-04-23 14:30,2025-04-23 13:30,40,0.24,22.0,44.0,77.0,običajni pretok,15.0
4710,2025-04-23 15:30,2025-04-23 14:30,40,0.24,22.0,44.0,77.0,običajni pretok,14.9
