sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4820,2025-04-19 22:30,2025-04-19 21:30,106,28.5,360.0,440.0,610.0,običajni pretok,8.6
4820,2025-04-22 07:30,2025-04-22 06:30,91,18.1,360.0,440.0,610.0,običajni pretok,8.4
4820,2025-04-22 10:30,2025-04-22 09:30,91,18.1,360.0,440.0,610.0,običajni pretok,8.6
4820,2025-04-22 11:00,2025-04-22 10:00,90,17.5,360.0,440.0,610.0,običajni pretok,8.8
4820,2025-04-22 11:30,2025-04-22 10:30,90,17.5,360.0,440.0,610.0,običajni pretok,9.0
4820,2025-04-22 12:30,2025-04-22 11:30,90,17.5,360.0,440.0,610.0,običajni pretok,9.3
4820,2025-04-22 13:30,2025-04-22 12:30,89,16.9,360.0,440.0,610.0,običajni pretok,9.6
4820,2025-04-22 14:30,2025-04-22 13:30,89,16.9,360.0,440.0,610.0,običajni pretok,10.1
4820,2025-04-22 15:30,2025-04-22 14:30,89,16.9,360.0,440.0,610.0,običajni pretok,10.2
4820,2025-04-22 16:30,2025-04-22 15:30,88,16.2,360.0,440.0,610.0,običajni pretok,10.7
4820,2025-04-22 17:30,2025-04-22 16:30,88,16.2,360.0,440.0,610.0,običajni pretok,11.0
4820,2025-04-22 18:30,2025-04-22 17:30,88,16.2,360.0,440.0,610.0,običajni pretok,11.1
4820,2025-04-22 19:30,2025-04-22 18:30,88,16.2,360.0,440.0,610.0,običajni pretok,10.8
4820,2025-04-22 20:30,2025-04-22 19:30,88,16.2,360.0,440.0,610.0,običajni pretok,10.7
4820,2025-04-22 21:30,2025-04-22 20:30,88,16.2,360.0,440.0,610.0,običajni pretok,10.6
4820,2025-04-22 22:30,2025-04-22 21:30,87,15.6,360.0,440.0,610.0,običajni pretok,10.7
4820,2025-04-22 23:30,2025-04-22 22:30,87,15.6,360.0,440.0,610.0,običajni pretok,10.8
4820,2025-04-23 00:30,2025-04-22 23:30,87,15.6,360.0,440.0,610.0,običajni pretok,10.7
4820,2025-04-23 02:00,2025-04-23 01:00,86,15.0,360.0,440.0,610.0,običajni pretok,10.2
4820,2025-04-23 03:30,2025-04-23 02:30,86,15.0,360.0,440.0,610.0,običajni pretok,9.7
4820,2025-04-23 04:30,2025-04-23 03:30,86,15.0,360.0,440.0,610.0,običajni pretok,9.4
4820,2025-04-23 05:30,2025-04-23 04:30,86,15.0,360.0,440.0,610.0,običajni pretok,9.1
4820,2025-04-23 06:30,2025-04-23 05:30,86,15.0,360.0,440.0,610.0,običajni pretok,8.9
4820,2025-04-23 07:30,2025-04-23 06:30,86,15.0,360.0,440.0,610.0,običajni pretok,8.8
4820,2025-04-23 08:30,2025-04-23 07:30,86,15.0,360.0,440.0,610.0,običajni pretok,8.7
4820,2025-04-23 09:30,2025-04-23 08:30,86,15.0,360.0,440.0,610.0,običajni pretok,8.7
4820,2025-04-23 10:30,2025-04-23 09:30,86,15.0,360.0,440.0,610.0,običajni pretok,8.8
4820,2025-04-23 11:30,2025-04-23 10:30,86,15.0,360.0,440.0,610.0,običajni pretok,8.9
4820,2025-04-23 12:30,2025-04-23 11:30,86,15.0,360.0,440.0,610.0,običajni pretok,9.2
4820,2025-04-23 13:30,2025-04-23 12:30,85,14.4,360.0,440.0,610.0,običajni pretok,9.5
4820,2025-04-23 14:30,2025-04-23 13:30,85,14.4,360.0,440.0,610.0,običajni pretok,9.7
4820,2025-04-23 15:30,2025-04-23 14:30,85,14.4,360.0,440.0,610.0,običajni pretok,10.2
4820,2025-04-23 16:30,2025-04-23 15:30,84,13.8,360.0,440.0,610.0,običajni pretok,10.6
4820,2025-04-23 17:30,2025-04-23 16:30,84,13.8,360.0,440.0,610.0,običajni pretok,11.0
4820,2025-04-23 18:30,2025-04-23 17:30,84,13.8,360.0,440.0,610.0,običajni pretok,11.0
4820,2025-04-23 19:30,2025-04-23 18:30,84,13.8,360.0,440.0,610.0,običajni pretok,10.8
4820,2025-04-23 20:30,2025-04-23 19:30,84,13.8,360.0,440.0,610.0,običajni pretok,10.8
4820,2025-04-23 21:30,2025-04-23 20:30,84,13.8,360.0,440.0,610.0,običajni pretok,10.7
4820,2025-04-23 22:30,2025-04-23 21:30,84,13.8,360.0,440.0,610.0,običajni pretok,10.6
4820,2025-04-23 23:30,2025-04-23 22:30,83,13.2,360.0,440.0,610.0,običajni pretok,10.6
4820,2025-04-24 00:30,2025-04-23 23:30,83,13.2,360.0,440.0,610.0,običajni pretok,10.6
4820,2025-04-24 02:00,2025-04-24 01:00,83,13.2,360.0,440.0,610.0,običajni pretok,10.4
4820,2025-04-24 03:30,2025-04-24 02:30,82,12.7,360.0,440.0,610.0,običajni pretok,10.1
4820,2025-04-24 04:30,2025-04-24 03:30,82,12.7,360.0,440.0,610.0,običajni pretok,9.9
4820,2025-04-24 05:30,2025-04-24 04:30,82,12.7,360.0,440.0,610.0,običajni pretok,9.6
4820,2025-04-24 06:30,2025-04-24 05:30,82,12.7,360.0,440.0,610.0,običajni pretok,9.4
4820,2025-04-24 07:30,2025-04-24 06:30,81,12.1,360.0,440.0,610.0,običajni pretok,9.1
