sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
4960,2025-04-19 22:30,2025-04-19 21:30,102,0.371,25.0,38.0,52.0,običajni pretok,11.1
4960,2025-04-22 07:30,2025-04-22 06:30,86,0.069,25.0,38.0,52.0,mali pretok,10.4
4960,2025-04-22 10:30,2025-04-22 09:30,87,0.082,25.0,38.0,52.0,mali pretok,11.8
4960,2025-04-22 11:00,2025-04-22 10:00,87,0.082,25.0,38.0,52.0,mali pretok,12.0
4960,2025-04-22 11:30,2025-04-22 10:30,87,0.082,25.0,38.0,52.0,mali pretok,12.1
4960,2025-04-22 12:30,2025-04-22 11:30,88,0.094,25.0,38.0,52.0,mali pretok,12.4
4960,2025-04-22 13:30,2025-04-22 12:30,88,0.094,25.0,38.0,52.0,mali pretok,12.9
4960,2025-04-22 14:30,2025-04-22 13:30,89,0.106,25.0,38.0,52.0,mali pretok,13.8
4960,2025-04-22 15:30,2025-04-22 14:30,89,0.106,25.0,38.0,52.0,mali pretok,14.2
4960,2025-04-22 16:30,2025-04-22 15:30,89,0.106,25.0,38.0,52.0,mali pretok,13.9
4960,2025-04-22 17:30,2025-04-22 16:30,88,0.094,25.0,38.0,52.0,mali pretok,13.5
4960,2025-04-22 18:30,2025-04-22 17:30,88,0.094,25.0,38.0,52.0,mali pretok,12.8
4960,2025-04-22 19:30,2025-04-22 18:30,87,0.082,25.0,38.0,52.0,mali pretok,12.4
4960,2025-04-22 20:30,2025-04-22 19:30,87,0.082,25.0,38.0,52.0,mali pretok,12.1
4960,2025-04-22 21:30,2025-04-22 20:30,87,0.082,25.0,38.0,52.0,mali pretok,11.8
4960,2025-04-22 22:30,2025-04-22 21:30,87,0.082,25.0,38.0,52.0,mali pretok,11.7
4960,2025-04-22 23:30,2025-04-22 22:30,87,0.082,25.0,38.0,52.0,mali pretok,11.5
4960,2025-04-23 00:30,2025-04-22 23:30,86,0.069,25.0,38.0,52.0,mali pretok,11.3
4960,2025-04-23 02:00,2025-04-23 01:00,86,0.069,25.0,38.0,52.0,mali pretok,11.1
4960,2025-04-23 03:30,2025-04-23 02:30,86,0.069,25.0,38.0,52.0,mali pretok,10.8
4960,2025-04-23 04:30,2025-04-23 03:30,86,0.069,25.0,38.0,52.0,mali pretok,10.7
4960,2025-04-23 05:30,2025-04-23 04:30,86,0.069,25.0,38.0,52.0,mali pretok,10.7
4960,2025-04-23 06:30,2025-04-23 05:30,86,0.069,25.0,38.0,52.0,mali pretok,10.6
4960,2025-04-23 07:30,2025-04-23 06:30,86,0.069,25.0,38.0,52.0,mali pretok,10.6
4960,2025-04-23 08:30,2025-04-23 07:30,86,0.069,25.0,38.0,52.0,mali pretok,10.8
4960,2025-04-23 09:30,2025-04-23 08:30,86,0.069,25.0,38.0,52.0,mali pretok,10.8
4960,2025-04-23 10:30,2025-04-23 09:30,86,0.069,25.0,38.0,52.0,mali pretok,11.1
4960,2025-04-23 11:30,2025-04-23 10:30,86,0.069,25.0,38.0,52.0,mali pretok,11.6
4960,2025-04-23 12:30,2025-04-23 11:30,87,0.082,25.0,38.0,52.0,mali pretok,12.3
4960,2025-04-23 13:30,2025-04-23 12:30,81,0.017,25.0,38.0,52.0,mali pretok,15.7
4960,2025-04-23 14:30,2025-04-23 13:30,83,0.035,25.0,38.0,52.0,mali pretok,12.9
4960,2025-04-23 15:30,2025-04-23 14:30,83,0.035,25.0,38.0,52.0,mali pretok,13.1
4960,2025-04-23 16:30,2025-04-23 15:30,83,0.035,25.0,38.0,52.0,mali pretok,13.1
4960,2025-04-23 17:30,2025-04-23 16:30,83,0.035,25.0,38.0,52.0,mali pretok,12.9
4960,2025-04-23 18:30,2025-04-23 17:30,83,0.035,25.0,38.0,52.0,mali pretok,12.4
4960,2025-04-23 19:30,2025-04-23 18:30,83,0.035,25.0,38.0,52.0,mali pretok,11.9
4960,2025-04-23 20:30,2025-04-23 19:30,83,0.035,25.0,38.0,52.0,mali pretok,11.5
4960,2025-04-23 21:30,2025-04-23 20:30,83,0.035,25.0,38.0,52.0,mali pretok,11.3
4960,2025-04-23 22:30,2025-04-23 21:30,83,0.035,25.0,38.0,52.0,mali pretok,11
