sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5030,2025-04-19 22:30,2025-04-19 21:30,158,33.8,93.0,100.0,120.0,običajni pretok,10.9
5030,2025-04-22 07:30,2025-04-22 06:30,132,23.6,93.0,100.0,120.0,običajni pretok,11.0
5030,2025-04-22 10:30,2025-04-22 09:30,131,23.2,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-22 11:00,2025-04-22 10:00,131,23.2,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-22 11:30,2025-04-22 10:30,131,23.2,93.0,100.0,120.0,običajni pretok,11.2
5030,2025-04-22 12:30,2025-04-22 11:30,131,23.2,93.0,100.0,120.0,običajni pretok,11.3
5030,2025-04-22 13:30,2025-04-22 12:30,131,23.2,93.0,100.0,120.0,običajni pretok,11.3
5030,2025-04-22 14:30,2025-04-22 13:30,130,22.8,93.0,100.0,120.0,običajni pretok,11.3
5030,2025-04-22 15:30,2025-04-22 14:30,130,22.8,93.0,100.0,120.0,običajni pretok,11.3
5030,2025-04-22 16:30,2025-04-22 15:30,130,22.8,93.0,100.0,120.0,običajni pretok,11.2
5030,2025-04-22 17:30,2025-04-22 16:30,129,22.4,93.0,100.0,120.0,običajni pretok,11.2
5030,2025-04-22 18:30,2025-04-22 17:30,129,22.4,93.0,100.0,120.0,običajni pretok,11.2
5030,2025-04-22 19:30,2025-04-22 18:30,129,22.4,93.0,100.0,120.0,običajni pretok,11.2
5030,2025-04-22 20:30,2025-04-22 19:30,129,22.4,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-22 21:30,2025-04-22 20:30,128,22.0,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-22 22:30,2025-04-22 21:30,128,22.0,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-22 23:30,2025-04-22 22:30,128,22.0,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-23 00:30,2025-04-22 23:30,128,22.0,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-23 02:00,2025-04-23 01:00,127,21.6,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-23 03:30,2025-04-23 02:30,127,21.6,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-23 04:30,2025-04-23 03:30,127,21.6,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-23 05:30,2025-04-23 04:30,126,21.2,93.0,100.0,120.0,običajni pretok,11.1
5030,2025-04-23 06:30,2025-04-23 05:30,126,21.2,93.0,100.0,120.0,običajni pretok,11.1
