sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5479,2025-04-19 22:30,2025-04-19 21:30,67,5.65,80.0,130.0,170.0,običajni pretok,12.5
5479,2025-04-22 07:30,2025-04-22 06:30,63,3.87,80.0,130.0,170.0,običajni pretok,11.7
5479,2025-04-22 10:30,2025-04-22 09:30,63,3.87,80.0,130.0,170.0,običajni pretok,11.5
5479,2025-04-22 11:00,2025-04-22 10:00,63,3.87,80.0,130.0,170.0,običajni pretok,11.6
5479,2025-04-22 11:30,2025-04-22 10:30,63,3.87,80.0,130.0,170.0,običajni pretok,11.7
5479,2025-04-22 12:30,2025-04-22 11:30,63,3.87,80.0,130.0,170.0,običajni pretok,12.1
5479,2025-04-22 13:30,2025-04-22 12:30,63,3.87,80.0,130.0,170.0,običajni pretok,12.6
5479,2025-04-22 14:30,2025-04-22 13:30,63,3.87,80.0,130.0,170.0,običajni pretok,13.2
5479,2025-04-22 15:30,2025-04-22 14:30,63,3.87,80.0,130.0,170.0,običajni pretok,13.3
5479,2025-04-22 16:30,2025-04-22 15:30,63,3.87,80.0,130.0,170.0,običajni pretok,13.4
