sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5500,2025-04-19 22:30,2025-04-19 21:30,95,2.09,40.0,46.0,60.0,običajni pretok,10.0
5500,2025-04-22 07:30,2025-04-22 06:30,91,1.67,40.0,46.0,60.0,običajni pretok,9.6
5500,2025-04-22 10:30,2025-04-22 09:30,91,1.67,40.0,46.0,60.0,običajni pretok,10.4
5500,2025-04-22 11:00,2025-04-22 10:00,91,1.67,40.0,46.0,60.0,običajni pretok,10.9
5500,2025-04-22 11:30,2025-04-22 10:30,91,1.67,40.0,46.0,60.0,običajni pretok,11.3
5500,2025-04-22 12:30,2025-04-22 11:30,91,1.67,40.0,46.0,60.0,običajni pretok,12.3
5500,2025-04-22 13:30,2025-04-22 12:30,90,1.57,40.0,46.0,60.0,običajni pretok,13.2
5500,2025-04-22 14:30,2025-04-22 13:30,90,1.57,40.0,46.0,60.0,običajni pretok,13.8
5500,2025-04-22 15:30,2025-04-22 14:30,90,1.57,40.0,46.0,60.0,običajni pretok,13.7
5500,2025-04-22 16:30,2025-04-22 15:30,90,1.57,40.0,46.0,60.0,običajni pretok,13.6
5500,2025-04-22 17:30,2025-04-22 16:30,90,1.57,40.0,46.0,60.0,običajni pretok,13.6
5500,2025-04-22 18:30,2025-04-22 17:30,90,1.57,40.0,46.0,60.0,običajni pretok,13.5
5500,2025-04-22 19:30,2025-04-22 18:30,90,1.57,40.0,46.0,60.0,običajni pretok,13.1
