sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5540,2025-04-19 22:30,2025-04-19 21:30,48,1.47,25.0,50.0,61.0,običajni pretok,12.5
5540,2025-04-22 07:30,2025-04-22 06:30,42,0.991,25.0,50.0,61.0,običajni pretok,12.6
5540,2025-04-22 10:30,2025-04-22 09:30,42,0.991,25.0,50.0,61.0,običajni pretok,12.4
5540,2025-04-22 11:00,2025-04-22 10:00,42,0.991,25.0,50.0,61.0,običajni pretok,12.5
5540,2025-04-22 11:30,2025-04-22 10:30,42,0.991,25.0,50.0,61.0,običajni pretok,12.5
5540,2025-04-22 12:30,2025-04-22 11:30,42,0.991,25.0,50.0,61.0,običajni pretok,12.7
5540,2025-04-22 13:30,2025-04-22 12:30,42,0.991,25.0,50.0,61.0,običajni pretok,13.0
5540,2025-04-22 14:30,2025-04-22 13:30,41,0.918,25.0,50.0,61.0,običajni pretok,13.3
5540,2025-04-22 15:30,2025-04-22 14:30,41,0.918,25.0,50.0,61.0,običajni pretok,13.5
5540,2025-04-22 16:30,2025-04-22 15:30,41,0.918,25.0,50.0,61.0,običajni pretok,13.7
5540,2025-04-22 17:30,2025-04-22 16:30,41,0.918,25.0,50.0,61.0,običajni pretok,13.9
5540,2025-04-22 18:30,2025-04-22 17:30,41,0.918,25.0,50.0,61.0,običajni pretok,14.1
5540,2025-04-22 19:30,2025-04-22 18:30,41,0.918,25.0,50.0,61.0,običajni pretok,14.1
5540,2025-04-22 20:30,2025-04-22 19:30,40,0.847,25.0,50.0,61.0,običajni pretok,14.1
5540,2025-04-22 21:30,2025-04-22 20:30,40,0.847,25.0,50.0,61.0,običajni pretok,14.1
5540,2025-04-22 22:30,2025-04-22 21:30,40,0.847,25.0,50.0,61.0,običajni pretok,13.9
5540,2025-04-22 23:30,2025-04-22 22:30,41,0.918,25.0,50.0,61.0,običajni pretok,13.8
5540,2025-04-23 00:30,2025-04-22 23:30,40,0.847,25.0,50.0,61.0,običajni pretok,13.7
5540,2025-04-23 02:00,2025-04-23 01:00,40,0.847,25.0,50.0,61.0,običajni pretok,13.5
5540,2025-04-23 03:30,2025-04-23 02:30,40,0.847,25.0,50.0,61.0,običajni pretok,13.3
5540,2025-04-23 04:30,2025-04-23 03:30,40,0.847,25.0,50.0,61.0,običajni pretok,13.1
5540,2025-04-23 05:30,2025-04-23 04:30,41,0.918,25.0,50.0,61.0,običajni pretok,13.0
5540,2025-04-23 06:30,2025-04-23 05:30,41,0.918,25.0,50.0,61.0,običajni pretok,12.9
5540,2025-04-23 07:30,2025-04-23 06:30,41,0.918,25.0,50.0,61.0,običajni pretok,12.8
5540,2025-04-23 08:30,2025-04-23 07:30,41,0.918,25.0,50.0,61.0,običajni pretok,12.7
5540,2025-04-23 09:30,2025-04-23 08:30,41,0.918,25.0,50.0,61.0,običajni pretok,12.7
5540,2025-04-23 10:30,2025-04-23 09:30,41,0.918,25.0,50.0,61.0,običajni pretok,12.7
5540,2025-04-23 11:30,2025-04-23 10:30,41,0.918,25.0,50.0,61.0,običajni pretok,12.7
5540,2025-04-23 12:30,2025-04-23 11:30,41,0.918,25.0,50.0,61.0,običajni pretok,12.7
5540,2025-04-23 13:30,2025-04-23 12:30,41,0.918,25.0,50.0,61.0,običajni pretok,12.9
