sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5680,2025-04-19 22:30,2025-04-19 21:30,328,,,,,,13.9
5680,2025-04-22 07:30,2025-04-22 06:30,321,,,,,,15.1
5680,2025-04-22 10:30,2025-04-22 09:30,319,,,,,,15.1
5680,2025-04-22 11:00,2025-04-22 10:00,320,,,,,,15.2
5680,2025-04-22 11:30,2025-04-22 10:30,320,,,,,,15.2
5680,2025-04-22 12:30,2025-04-22 11:30,320,,,,,,15.2
5680,2025-04-22 13:30,2025-04-22 12:30,320,,,,,,15.5
5680,2025-04-22 14:30,2025-04-22 13:30,320,,,,,,15.5
5680,2025-04-22 15:30,2025-04-22 14:30,319,,,,,,16.1
5680,2025-04-22 16:30,2025-04-22 15:30,318,,,,,,15.9
5680,2025-04-22 17:30,2025-04-22 16:30,319,,,,,,15.8
5680,2025-04-22 18:30,2025-04-22 17:30,319,,,,,,15.8
5680,2025-04-22 19:30,2025-04-22 18:30,319,,,,,,16.0
5680,2025-04-22 20:30,2025-04-22 19:30,319,,,,,,15.8
5680,2025-04-22 21:30,2025-04-22 20:30,319,,,,,,15.8
5680,2025-04-22 22:30,2025-04-22 21:30,319,,,,,,15.7
5680,2025-04-22 23:30,2025-04-22 22:30,318,,,,,,15.6
5680,2025-04-23 00:30,2025-04-22 23:30,318,,,,,,15.6
5680,2025-04-23 02:00,2025-04-23 01:00,318,,,,,,15.5
5680,2025-04-23 03:30,2025-04-23 02:30,317,,,,,,15.4
5680,2025-04-23 04:30,2025-04-23 03:30,317,,,,,,15.3
5680,2025-04-23 05:30,2025-04-23 04:30,317,,,,,,15.2
5680,2025-04-23 06:30,2025-04-23 05:30,317,,,,,,15.1
5680,2025-04-23 07:30,2025-04-23 06:30,317,,,,,,15.1
5680,2025-04-23 08:30,2025-04-23 07:30,317,,,,,,15.1
5680,2025-04-23 09:30,2025-04-23 08:30,317,,,,,,15.2
5680,2025-04-23 10:30,2025-04-23 09:30,316,,,,,,15.2
5680,2025-04-23 11:30,2025-04-23 10:30,316,,,,,,15.1
5680,2025-04-23 12:30,2025-04-23 11:30,317,,,,,,15.4
5680,2025-04-23 13:30,2025-04-23 12:30,316,,,,,,15.7
5680,2025-04-23 14:30,2025-04-23 13:30,315,,,,,,15.9
