sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5840,2025-04-19 22:30,2025-04-19 21:30,118,2.19,18.3,20.8,22.6,običajni pretok,11.7
5840,2025-04-22 07:30,2025-04-22 06:30,105,0.934,18.3,20.8,22.6,običajni pretok,11.3
5840,2025-04-22 10:30,2025-04-22 09:30,105,0.934,18.3,20.8,22.6,običajni pretok,11.5
5840,2025-04-22 11:00,2025-04-22 10:00,105,0.934,18.3,20.8,22.6,običajni pretok,11.6
5840,2025-04-22 11:30,2025-04-22 10:30,105,0.934,18.3,20.8,22.6,običajni pretok,11.7
5840,2025-04-22 12:30,2025-04-22 11:30,104,0.855,18.3,20.8,22.6,običajni pretok,12.0
5840,2025-04-22 13:30,2025-04-22 12:30,104,0.855,18.3,20.8,22.6,običajni pretok,12.3
5840,2025-04-22 14:30,2025-04-22 13:30,104,0.855,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-22 15:30,2025-04-22 14:30,104,0.855,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-22 16:30,2025-04-22 15:30,104,0.855,18.3,20.8,22.6,običajni pretok,12.7
5840,2025-04-22 17:30,2025-04-22 16:30,104,0.855,18.3,20.8,22.6,običajni pretok,12.8
5840,2025-04-22 18:30,2025-04-22 17:30,104,0.855,18.3,20.8,22.6,običajni pretok,13.0
5840,2025-04-22 19:30,2025-04-22 18:30,104,0.855,18.3,20.8,22.6,običajni pretok,13.1
5840,2025-04-22 20:30,2025-04-22 19:30,104,0.855,18.3,20.8,22.6,običajni pretok,13.2
5840,2025-04-22 21:30,2025-04-22 20:30,103,0.778,18.3,20.8,22.6,običajni pretok,13.2
5840,2025-04-22 22:30,2025-04-22 21:30,103,0.778,18.3,20.8,22.6,običajni pretok,13.1
5840,2025-04-22 23:30,2025-04-22 22:30,103,0.778,18.3,20.8,22.6,običajni pretok,13.0
5840,2025-04-23 00:30,2025-04-22 23:30,103,0.778,18.3,20.8,22.6,običajni pretok,12.9
5840,2025-04-23 02:00,2025-04-23 01:00,103,0.778,18.3,20.8,22.6,običajni pretok,12.7
5840,2025-04-23 03:30,2025-04-23 02:30,103,0.778,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-23 04:30,2025-04-23 03:30,103,0.778,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-23 05:30,2025-04-23 04:30,103,0.778,18.3,20.8,22.6,običajni pretok,12.4
5840,2025-04-23 06:30,2025-04-23 05:30,103,0.778,18.3,20.8,22.6,običajni pretok,12.3
5840,2025-04-23 07:30,2025-04-23 06:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.2
5840,2025-04-23 08:30,2025-04-23 07:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.2
5840,2025-04-23 09:30,2025-04-23 08:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.2
5840,2025-04-23 10:30,2025-04-23 09:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.3
5840,2025-04-23 11:30,2025-04-23 10:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.3
5840,2025-04-23 12:30,2025-04-23 11:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.4
5840,2025-04-23 13:30,2025-04-23 12:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-23 14:30,2025-04-23 13:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.7
5840,2025-04-23 15:30,2025-04-23 14:30,102,0.704,18.3,20.8,22.6,običajni pretok,12.9
5840,2025-04-23 16:30,2025-04-23 15:30,102,0.704,18.3,20.8,22.6,običajni pretok,13.1
5840,2025-04-23 17:30,2025-04-23 16:30,102,0.704,18.3,20.8,22.6,običajni pretok,13.2
5840,2025-04-23 18:30,2025-04-23 17:30,102,0.704,18.3,20.8,22.6,običajni pretok,13.2
5840,2025-04-23 19:30,2025-04-23 18:30,102,0.704,18.3,20.8,22.6,običajni pretok,13.3
5840,2025-04-23 20:30,2025-04-23 19:30,102,0.704,18.3,20.8,22.6,običajni pretok,13.3
5840,2025-04-23 21:30,2025-04-23 20:30,102,0.704,18.3,20.8,22.6,običajni pretok,13.4
5840,2025-04-23 22:30,2025-04-23 21:30,101,0.633,18.3,20.8,22.6,običajni pretok,13.4
5840,2025-04-23 23:30,2025-04-23 22:30,101,0.633,18.3,20.8,22.6,običajni pretok,13.3
5840,2025-04-24 00:30,2025-04-23 23:30,101,0.633,18.3,20.8,22.6,običajni pretok,13.2
5840,2025-04-24 02:00,2025-04-24 01:00,101,0.633,18.3,20.8,22.6,običajni pretok,13.0
5840,2025-04-24 03:30,2025-04-24 02:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.7
5840,2025-04-24 04:30,2025-04-24 03:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-24 05:30,2025-04-24 04:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.4
5840,2025-04-24 06:30,2025-04-24 05:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.2
5840,2025-04-24 07:30,2025-04-24 06:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.1
5840,2025-04-24 08:30,2025-04-24 07:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.0
5840,2025-04-24 09:30,2025-04-24 08:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.0
5840,2025-04-24 10:30,2025-04-24 09:30,100,0.565,18.3,20.8,22.6,običajni pretok,11.9
5840,2025-04-24 11:30,2025-04-24 10:30,100,0.565,18.3,20.8,22.6,običajni pretok,11.9
5840,2025-04-24 12:30,2025-04-24 11:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.0
5840,2025-04-24 13:30,2025-04-24 12:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.1
5840,2025-04-24 14:30,2025-04-24 13:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-24 15:30,2025-04-24 14:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.7
5840,2025-04-24 16:30,2025-04-24 15:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.8
5840,2025-04-24 17:30,2025-04-24 16:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.0
5840,2025-04-24 18:30,2025-04-24 17:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.0
5840,2025-04-24 19:30,2025-04-24 18:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.1
5840,2025-04-24 20:30,2025-04-24 19:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.1
5840,2025-04-24 21:30,2025-04-24 20:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.2
5840,2025-04-24 22:30,2025-04-24 21:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.2
5840,2025-04-24 23:30,2025-04-24 22:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.3
5840,2025-04-25 00:30,2025-04-24 23:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.3
5840,2025-04-25 02:00,2025-04-25 01:00,100,0.565,18.3,20.8,22.6,običajni pretok,13.3
5840,2025-04-25 03:30,2025-04-25 02:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.1
5840,2025-04-25 04:30,2025-04-25 03:30,100,0.565,18.3,20.8,22.6,običajni pretok,13.0
5840,2025-04-25 05:30,2025-04-25 04:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.9
5840,2025-04-25 06:30,2025-04-25 05:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.8
5840,2025-04-25 07:30,2025-04-25 06:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.7
5840,2025-04-25 08:30,2025-04-25 07:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-25 09:30,2025-04-25 08:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-25 10:30,2025-04-25 09:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-25 11:30,2025-04-25 10:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-25 12:30,2025-04-25 11:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.4
5840,2025-04-25 13:30,2025-04-25 12:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.4
5840,2025-04-25 14:30,2025-04-25 13:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-25 15:30,2025-04-25 14:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-25 16:30,2025-04-25 15:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-25 17:30,2025-04-25 16:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-25 18:30,2025-04-25 17:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-25 19:30,2025-04-25 18:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-25 20:30,2025-04-25 19:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-25 21:30,2025-04-25 20:30,101,0.633,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-25 22:30,2025-04-25 21:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-25 23:30,2025-04-25 22:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-26 00:30,2025-04-25 23:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.6
5840,2025-04-26 02:00,2025-04-26 01:00,100,0.565,18.3,20.8,22.6,običajni pretok,12.5
5840,2025-04-26 03:30,2025-04-26 02:30,100,0.565,18.3,20.8,22.6,običajni pretok,12.4
