sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
5910,2025-04-19 22:30,2025-04-19 21:30,185,8.48,10.5,10.9,12.0,običajni pretok,12.3
5910,2025-04-22 07:30,2025-04-22 06:30,164,8.16,10.5,10.9,12.0,običajni pretok,12.1
5910,2025-04-22 10:30,2025-04-22 09:30,163,8.14,10.5,10.9,12.0,običajni pretok,12.2
5910,2025-04-22 11:00,2025-04-22 10:00,164,8.16,10.5,10.9,12.0,običajni pretok,12.3
5910,2025-04-22 11:30,2025-04-22 10:30,164,8.16,10.5,10.9,12.0,običajni pretok,12.3
5910,2025-04-22 12:30,2025-04-22 11:30,164,8.16,10.5,10.9,12.0,običajni pretok,12.3
5910,2025-04-22 13:30,2025-04-22 12:30,163,8.14,10.5,10.9,12.0,običajni pretok,12.4
5910,2025-04-22 14:30,2025-04-22 13:30,163,8.14,10.5,10.9,12.0,običajni pretok,12.4
5910,2025-04-22 15:30,2025-04-22 14:30,163,8.14,10.5,10.9,12.0,običajni pretok,12.4
5910,2025-04-22 16:30,2025-04-22 15:30,162,8.13,10.5,10.9,12.0,običajni pretok,12.4
5910,2025-04-22 17:30,2025-04-22 16:30,162,8.13,10.5,10.9,12.0,običajni pretok,12.4
