sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6120,2025-04-19 22:30,2025-04-19 21:30,165.0,,,,,,12.9
6120,2025-04-22 07:30,2025-04-22 06:30,159.0,,,,,,13.5
6120,2025-04-22 10:30,2025-04-22 09:30,159.0,,,,,,13.5
6120,2025-04-22 11:00,2025-04-22 10:00,159.0,,,,,,13.6
6120,2025-04-22 11:30,2025-04-22 10:30,159.0,,,,,,13.9
6120,2025-04-22 12:30,2025-04-22 11:30,158.0,,,,,,14.0
6120,2025-04-22 13:30,2025-04-22 12:30,158.0,,,,,,14.0
6120,2025-04-22 14:30,2025-04-22 13:30,158.0,,,,,,14.5
6120,2025-04-22 15:30,2025-04-22 14:30,158.0,,,,,,14.3
6120,2025-04-22 16:30,2025-04-22 15:30,157.0,,,,,,14.6
6120,2025-04-22 17:30,2025-04-22 16:30,156.0,,,,,,15.0
6120,2025-04-22 18:30,2025-04-22 17:30,158.0,,,,,,14.9
6120,2025-04-22 19:30,2025-04-22 18:30,157.0,,,,,,14.8
6120,2025-04-22 20:30,2025-04-22 19:30,156.0,,,,,,14.6
6120,2025-04-22 21:30,2025-04-22 20:30,156.0,,,,,,14.6
6120,2025-04-22 22:30,2025-04-22 21:30,156.0,,,,,,14.6
6120,2025-04-22 23:30,2025-04-22 22:30,155.0,,,,,,14.5
6120,2025-04-23 00:30,2025-04-22 23:30,155.0,,,,,,14.5
6120,2025-04-23 02:00,2025-04-23 01:00,155.0,,,,,,14.5
6120,2025-04-23 03:30,2025-04-23 02:30,154.0,,,,,,14.4
6120,2025-04-23 04:30,2025-04-23 03:30,154.0,,,,,,14.3
6120,2025-04-23 05:30,2025-04-23 04:30,154.0,,,,,,14.1
6120,2025-04-23 06:30,2025-04-23 05:30,154.0,,,,,,14.0
6120,2025-04-23 07:30,2025-04-23 06:30,154.0,,,,,,13.8
6120,2025-04-23 08:30,2025-04-23 07:30,154.0,,,,,,13.7
6120,2025-04-23 09:30,2025-04-23 08:30,,,,,,,
6120,2025-04-23 10:30,2025-04-23 09:30,152.0,,,,,,14.0
6120,2025-04-23 11:30,2025-04-23 10:30,154.0,,,,,,14.0
6120,2025-04-23 12:30,2025-04-23 11:30,154.0,,,,,,14.2
6120,2025-04-23 13:30,2025-04-23 12:30,154.0,,,,,,14.5
6120,2025-04-23 14:30,2025-04-23 13:30,154.0,,,,,,14.5
6120,2025-04-23 15:30,2025-04-23 14:30,154.0,,,,,,14.6
6120,2025-04-23 16:30,2025-04-23 15:30,154.0,,,,,,15.0
6120,2025-04-23 17:30,2025-04-23 16:30,154.0,,,,,,15.2
6120,2025-04-23 18:30,2025-04-23 17:30,154.0,,,,,,15.0
6120,2025-04-23 19:30,2025-04-23 18:30,154.0,,,,,,14.8
6120,2025-04-23 20:30,2025-04-23 19:30,154.0,,,,,,14.6
6120,2025-04-23 21:30,2025-04-23 20:30,154.0,,,,,,14.3
6120,2025-04-23 22:30,2025-04-23 21:30,154.0,,,,,,14.2
6120,2025-04-23 23:30,2025-04-23 22:30,154.0,,,,,,14.0
6120,2025-04-24 00:30,2025-04-23 23:30,154.0,,,,,,13.9
6120,2025-04-24 02:00,2025-04-24 01:00,153.0,,,,,,13.5
6120,2025-04-24 03:30,2025-04-24 02:30,154.0,,,,,,13.2
6120,2025-04-24 04:30,2025-04-24 03:30,154.0,,,,,,12.9
6120,2025-04-24 05:30,2025-04-24 04:30,154.0,,,,,,12.7
6120,2025-04-24 06:30,2025-04-24 05:30,153.0,,,,,,12.4
6120,2025-04-24 07:30,2025-04-24 06:30,153.0,,,,,,12.2
6120,2025-04-24 08:30,2025-04-24 07:30,153.0,,,,,,12.2
6120,2025-04-24 09:30,2025-04-24 08:30,153.0,,,,,,12.4
6120,2025-04-24 10:30,2025-04-24 09:30,,,,,,,
6120,2025-04-24 11:30,2025-04-24 10:30,153.0,,,,,,13.3
6120,2025-04-24 12:30,2025-04-24 11:30,153.0,,,,,,13.5
6120,2025-04-24 13:30,2025-04-24 12:30,153.0,,,,,,13.7
6120,2025-04-24 14:30,2025-04-24 13:30,154.0,,,,,,13.6
6120,2025-04-24 15:30,2025-04-24 14:30,155.0,,,,,,13.4
6120,2025-04-24 16:30,2025-04-24 15:30,158.0,,,,,,13.4
6120,2025-04-24 17:30,2025-04-24 16:30,167.0,,,,,,13.4
6120,2025-04-24 18:30,2025-04-24 17:30,170.0,,,,,,13.3
6120,2025-04-24 19:30,2025-04-24 18:30,171.0,,,,,,12.9
6120,2025-04-24 20:30,2025-04-24 19:30,174.0,,,,,,12.9
6120,2025-04-24 21:30,2025-04-24 20:30,175.0,,,,,,13.0
6120,2025-04-24 22:30,2025-04-24 21:30,174.0,,,,,,13.1
6120,2025-04-24 23:30,2025-04-24 22:30,173.0,,,,,,13.1
6120,2025-04-25 00:30,2025-04-24 23:30,173.0,,,,,,12.9
6120,2025-04-25 02:00,2025-04-25 01:00,173.0,,,,,,12.7
6120,2025-04-25 03:30,2025-04-25 02:30,172.0,,,,,,12.4
6120,2025-04-25 04:30,2025-04-25 03:30,172.0,,,,,,12.3
6120,2025-04-25 05:30,2025-04-25 04:30,172.0,,,,,,12.2
6120,2025-04-25 06:30,2025-04-25 05:30,172.0,,,,,,12.0
6120,2025-04-25 07:30,2025-04-25 06:30,172.0,,,,,,11.9
6120,2025-04-25 08:30,2025-04-25 07:30,172.0,,,,,,11.8
6120,2025-04-25 09:30,2025-04-25 08:30,173.0,,,,,,11.8
6120,2025-04-25 10:30,2025-04-25 09:30,173.0,,,,,,11.7
6120,2025-04-25 11:30,2025-04-25 10:30,174.0,,,,,,11.7
6120,2025-04-25 12:30,2025-04-25 11:30,,,,,,,
6120,2025-04-25 13:30,2025-04-25 12:30,177.0,,,,,,11.5
6120,2025-04-25 14:30,2025-04-25 13:30,180.0,,,,,,11.4
6120,2025-04-25 15:30,2025-04-25 14:30,186.0,,,,,,11.4
6120,2025-04-25 16:30,2025-04-25 15:30,197.0,,,,,,11.4
6120,2025-04-25 17:30,2025-04-25 16:30,208.0,,,,,,11.2
6120,2025-04-25 18:30,2025-04-25 17:30,217.0,,,,,,11.0
6120,2025-04-25 19:30,2025-04-25 18:30,221.0,,,,,,10.8
6120,2025-04-25 20:30,2025-04-25 19:30,222.0,,,,,,10.8
6120,2025-04-25 21:30,2025-04-25 20:30,222.0,,,,,,10.6
6120,2025-04-25 22:30,2025-04-25 21:30,,,,,,,
6120,2025-04-25 23:30,2025-04-25 22:30,219.0,,,,,,10.3
6120,2025-04-26 00:30,2025-04-25 23:30,217.0,,,,,,10.2
6120,2025-04-26 02:00,2025-04-26 01:00,216.0,,,,,,10.1
