sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6140,2025-04-19 22:30,2025-04-19 21:30,132,32.3,480.0,812.0,1034.0,običajni pretok,12.4
6140,2025-04-22 07:30,2025-04-22 06:30,124,25.6,480.0,812.0,1034.0,običajni pretok,13.3
6140,2025-04-22 10:30,2025-04-22 09:30,125,26.4,480.0,812.0,1034.0,običajni pretok,13.7
6140,2025-04-22 11:00,2025-04-22 10:00,125,26.4,480.0,812.0,1034.0,običajni pretok,13.9
6140,2025-04-22 11:30,2025-04-22 10:30,125,26.4,480.0,812.0,1034.0,običajni pretok,14.1
6140,2025-04-22 12:30,2025-04-22 11:30,125,26.4,480.0,812.0,1034.0,običajni pretok,14.2
6140,2025-04-22 13:30,2025-04-22 12:30,125,26.4,480.0,812.0,1034.0,običajni pretok,14.6
6140,2025-04-22 14:30,2025-04-22 13:30,125,26.4,480.0,812.0,1034.0,običajni pretok,15.2
6140,2025-04-22 15:30,2025-04-22 14:30,125,26.4,480.0,812.0,1034.0,običajni pretok,15.4
6140,2025-04-22 16:30,2025-04-22 15:30,125,26.4,480.0,812.0,1034.0,običajni pretok,15.1
6140,2025-04-22 17:30,2025-04-22 16:30,123,24.8,480.0,812.0,1034.0,običajni pretok,15.2
6140,2025-04-22 18:30,2025-04-22 17:30,125,26.4,480.0,812.0,1034.0,običajni pretok,15.0
6140,2025-04-22 19:30,2025-04-22 18:30,124,25.6,480.0,812.0,1034.0,običajni pretok,14.9
6140,2025-04-22 20:30,2025-04-22 19:30,123,24.8,480.0,812.0,1034.0,običajni pretok,14.7
6140,2025-04-22 21:30,2025-04-22 20:30,123,24.8,480.0,812.0,1034.0,običajni pretok,14.4
6140,2025-04-22 22:30,2025-04-22 21:30,123,24.8,480.0,812.0,1034.0,običajni pretok,14.3
6140,2025-04-22 23:30,2025-04-22 22:30,122,24.1,480.0,812.0,1034.0,običajni pretok,14.2
6140,2025-04-23 00:30,2025-04-22 23:30,122,24.1,480.0,812.0,1034.0,običajni pretok,14.1
6140,2025-04-23 02:00,2025-04-23 01:00,122,24.1,480.0,812.0,1034.0,običajni pretok,14.1
6140,2025-04-23 03:30,2025-04-23 02:30,121,23.3,480.0,812.0,1034.0,običajni pretok,14.0
6140,2025-04-23 04:30,2025-04-23 03:30,121,23.3,480.0,812.0,1034.0,običajni pretok,13.9
6140,2025-04-23 05:30,2025-04-23 04:30,120,22.5,480.0,812.0,1034.0,običajni pretok,13.8
6140,2025-04-23 06:30,2025-04-23 05:30,120,22.5,480.0,812.0,1034.0,običajni pretok,13.7
6140,2025-04-23 07:30,2025-04-23 06:30,120,22.5,480.0,812.0,1034.0,običajni pretok,13.5
6140,2025-04-23 08:30,2025-04-23 07:30,120,22.5,480.0,812.0,1034.0,običajni pretok,13.5
