sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6200,2025-04-19 22:30,2025-04-19 21:30,117.0,34.0,470.0,854.0,1193.0,običajni pretok,12.4
6200,2025-04-22 07:30,2025-04-22 06:30,107.0,26.2,470.0,854.0,1193.0,običajni pretok,13.6
6200,2025-04-22 10:30,2025-04-22 09:30,108.0,26.9,470.0,854.0,1193.0,običajni pretok,14.0
6200,2025-04-22 11:00,2025-04-22 10:00,108.0,26.9,470.0,854.0,1193.0,običajni pretok,14.1
6200,2025-04-22 11:30,2025-04-22 10:30,108.0,26.9,470.0,854.0,1193.0,običajni pretok,14.1
6200,2025-04-22 12:30,2025-04-22 11:30,108.0,26.9,470.0,854.0,1193.0,običajni pretok,14.3
6200,2025-04-22 13:30,2025-04-22 12:30,108.0,26.9,470.0,854.0,1193.0,običajni pretok,14.7
6200,2025-04-22 14:30,2025-04-22 13:30,108.0,26.9,470.0,854.0,1193.0,običajni pretok,15.2
6200,2025-04-22 15:30,2025-04-22 14:30,108.0,26.9,470.0,854.0,1193.0,običajni pretok,15.5
6200,2025-04-22 16:30,2025-04-22 15:30,107.0,26.2,470.0,854.0,1193.0,običajni pretok,15.5
6200,2025-04-22 17:30,2025-04-22 16:30,107.0,26.2,470.0,854.0,1193.0,običajni pretok,15.4
6200,2025-04-22 18:30,2025-04-22 17:30,,,470.0,854.0,1193.0,,
6200,2025-04-22 19:30,2025-04-22 18:30,106.0,25.4,470.0,854.0,1193.0,običajni pretok,15.4
6200,2025-04-22 20:30,2025-04-22 19:30,107.0,26.2,470.0,854.0,1193.0,običajni pretok,15.0
6200,2025-04-22 21:30,2025-04-22 20:30,107.0,26.2,470.0,854.0,1193.0,običajni pretok,14.7
6200,2025-04-22 22:30,2025-04-22 21:30,106.0,25.4,470.0,854.0,1193.0,običajni pretok,14.6
6200,2025-04-22 23:30,2025-04-22 22:30,106.0,25.4,470.0,854.0,1193.0,običajni pretok,14.5
6200,2025-04-23 00:30,2025-04-22 23:30,106.0,25.4,470.0,854.0,1193.0,običajni pretok,14.3
6200,2025-04-23 02:00,2025-04-23 01:00,105.0,24.7,470.0,854.0,1193.0,običajni pretok,14.1
6200,2025-04-23 03:30,2025-04-23 02:30,105.0,24.7,470.0,854.0,1193.0,običajni pretok,14.0
6200,2025-04-23 04:30,2025-04-23 03:30,105.0,24.7,470.0,854.0,1193.0,običajni pretok,13.8
6200,2025-04-23 05:30,2025-04-23 04:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,13.7
6200,2025-04-23 06:30,2025-04-23 05:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,13.7
6200,2025-04-23 07:30,2025-04-23 06:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,13.7
6200,2025-04-23 08:30,2025-04-23 07:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,13.7
6200,2025-04-23 09:30,2025-04-23 08:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,13.9
6200,2025-04-23 10:30,2025-04-23 09:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,14.2
6200,2025-04-23 11:30,2025-04-23 10:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,14.2
6200,2025-04-23 12:30,2025-04-23 11:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,14.6
6200,2025-04-23 13:30,2025-04-23 12:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,15.2
6200,2025-04-23 14:30,2025-04-23 13:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,15.1
6200,2025-04-23 15:30,2025-04-23 14:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,15.5
6200,2025-04-23 16:30,2025-04-23 15:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,15.7
6200,2025-04-23 17:30,2025-04-23 16:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,15.7
6200,2025-04-23 18:30,2025-04-23 17:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,15.8
6200,2025-04-23 19:30,2025-04-23 18:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,15.6
6200,2025-04-23 20:30,2025-04-23 19:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,15.5
6200,2025-04-23 21:30,2025-04-23 20:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,15.2
6200,2025-04-23 22:30,2025-04-23 21:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,15.0
6200,2025-04-23 23:30,2025-04-23 22:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,14.6
6200,2025-04-24 00:30,2025-04-23 23:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,14.3
6200,2025-04-24 02:00,2025-04-24 01:00,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.9
6200,2025-04-24 03:30,2025-04-24 02:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.6
6200,2025-04-24 04:30,2025-04-24 03:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.4
6200,2025-04-24 05:30,2025-04-24 04:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.3
6200,2025-04-24 06:30,2025-04-24 05:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.1
6200,2025-04-24 07:30,2025-04-24 06:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.0
6200,2025-04-24 08:30,2025-04-24 07:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,12.9
6200,2025-04-24 09:30,2025-04-24 08:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.0
6200,2025-04-24 10:30,2025-04-24 09:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.4
6200,2025-04-24 11:30,2025-04-24 10:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.8
6200,2025-04-24 12:30,2025-04-24 11:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.7
6200,2025-04-24 13:30,2025-04-24 12:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.7
6200,2025-04-24 14:30,2025-04-24 13:30,103.0,23.3,470.0,854.0,1193.0,običajni pretok,13.8
6200,2025-04-24 15:30,2025-04-24 14:30,104.0,24.0,470.0,854.0,1193.0,običajni pretok,13.9
6200,2025-04-24 16:30,2025-04-24 15:30,109.0,27.7,470.0,854.0,1193.0,običajni pretok,13.9
6200,2025-04-24 17:30,2025-04-24 16:30,113.0,30.8,470.0,854.0,1193.0,običajni pretok,13.7
6200,2025-04-24 18:30,2025-04-24 17:30,116.0,33.2,470.0,854.0,1193.0,običajni pretok,13.8
6200,2025-04-24 19:30,2025-04-24 18:30,120.0,36.6,470.0,854.0,1193.0,običajni pretok,13.7
6200,2025-04-24 20:30,2025-04-24 19:30,124.0,40.2,470.0,854.0,1193.0,običajni pretok,13.6
6200,2025-04-24 21:30,2025-04-24 20:30,125.0,41.1,470.0,854.0,1193.0,običajni pretok,13.4
6200,2025-04-24 22:30,2025-04-24 21:30,127.0,42.9,470.0,854.0,1193.0,običajni pretok,13.2
6200,2025-04-24 23:30,2025-04-24 22:30,128.0,43.9,470.0,854.0,1193.0,običajni pretok,12.9
6200,2025-04-25 00:30,2025-04-24 23:30,128.0,43.9,470.0,854.0,1193.0,običajni pretok,12.7
6200,2025-04-25 02:00,2025-04-25 01:00,127.0,42.9,470.0,854.0,1193.0,običajni pretok,12.7
6200,2025-04-25 03:30,2025-04-25 02:30,126.0,42.0,470.0,854.0,1193.0,običajni pretok,12.7
6200,2025-04-25 04:30,2025-04-25 03:30,125.0,41.1,470.0,854.0,1193.0,običajni pretok,12.6
6200,2025-04-25 05:30,2025-04-25 04:30,124.0,40.2,470.0,854.0,1193.0,običajni pretok,12.4
6200,2025-04-25 06:30,2025-04-25 05:30,,,470.0,854.0,1193.0,,
6200,2025-04-25 07:30,2025-04-25 06:30,124.0,40.2,470.0,854.0,1193.0,običajni pretok,12.1
6200,2025-04-25 08:30,2025-04-25 07:30,123.0,39.3,470.0,854.0,1193.0,običajni pretok,12.0
6200,2025-04-25 09:30,2025-04-25 08:30,123.0,39.3,470.0,854.0,1193.0,običajni pretok,11.9
6200,2025-04-25 10:30,2025-04-25 09:30,124.0,40.2,470.0,854.0,1193.0,običajni pretok,11.9
6200,2025-04-25 11:30,2025-04-25 10:30,124.0,40.2,470.0,854.0,1193.0,običajni pretok,11.9
6200,2025-04-25 12:30,2025-04-25 11:30,124.0,40.2,470.0,854.0,1193.0,običajni pretok,11.8
6200,2025-04-25 13:30,2025-04-25 12:30,126.0,42.0,470.0,854.0,1193.0,običajni pretok,11.8
6200,2025-04-25 14:30,2025-04-25 13:30,127.0,42.9,470.0,854.0,1193.0,običajni pretok,11.7
6200,2025-04-25 15:30,2025-04-25 14:30,131.0,46.7,470.0,854.0,1193.0,običajni pretok,11.8
6200,2025-04-25 16:30,2025-04-25 15:30,135.0,50.7,470.0,854.0,1193.0,običajni pretok,11.7
6200,2025-04-25 17:30,2025-04-25 16:30,141.0,57.0,470.0,854.0,1193.0,običajni pretok,11.7
6200,2025-04-25 18:30,2025-04-25 17:30,154.0,72.4,470.0,854.0,1193.0,običajni pretok,11.7
6200,2025-04-25 19:30,2025-04-25 18:30,166.0,88.3,470.0,854.0,1193.0,običajni pretok,11.5
6200,2025-04-25 20:30,2025-04-25 19:30,173.0,98.4,470.0,854.0,1193.0,običajni pretok,11.2
6200,2025-04-25 21:30,2025-04-25 20:30,177.0,104.0,470.0,854.0,1193.0,običajni pretok,10.9
6200,2025-04-25 22:30,2025-04-25 21:30,179.0,107.0,470.0,854.0,1193.0,običajni pretok,10.7
6200,2025-04-25 23:30,2025-04-25 22:30,178.0,106.0,470.0,854.0,1193.0,običajni pretok,10.6
6200,2025-04-26 00:30,2025-04-25 23:30,176.0,103.0,470.0,854.0,1193.0,običajni pretok,10.4
6200,2025-04-26 02:00,2025-04-26 01:00,174.0,99.8,470.0,854.0,1193.0,običajni pretok,10.2
6200,2025-04-26 03:30,2025-04-26 02:30,172.0,96.9,470.0,854.0,1193.0,običajni pretok,10.0
6200,2025-04-26 04:30,2025-04-26 03:30,172.0,96.9,470.0,854.0,1193.0,običajni pretok,9.9
6200,2025-04-26 05:30,2025-04-26 04:30,,,470.0,854.0,1193.0,,
6200,2025-04-26 06:30,2025-04-26 05:30,171,95.4,470.0,854.0,1193.0,običajni pretok,9.8
