sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6210,2025-04-19 22:30,2025-04-19 21:30,211,39.9,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 07:30,2025-04-22 06:30,198,29.3,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 10:30,2025-04-22 09:30,198,29.3,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 11:00,2025-04-22 10:00,199,30.0,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 11:30,2025-04-22 10:30,199,30.0,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 12:30,2025-04-22 11:30,200,30.8,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 13:30,2025-04-22 12:30,199,30.0,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 14:30,2025-04-22 13:30,200,30.8,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 15:30,2025-04-22 14:30,200,30.8,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 16:30,2025-04-22 15:30,200,30.8,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 17:30,2025-04-22 16:30,200,30.8,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 18:30,2025-04-22 17:30,199,30.0,560.0,907.0,1284.0,običajni pretok,
6210,2025-04-22 19:30,2025-04-22 18:30,199,30,560.0,907.0,1284.0,običajni pretok,
