sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6240,2025-04-19 22:30,2025-04-19 21:30,74,2.72,110.0,150.0,225.0,običajni pretok,9.8
6240,2025-04-22 07:30,2025-04-22 06:30,70,2.05,110.0,150.0,225.0,običajni pretok,9.0
6240,2025-04-22 10:30,2025-04-22 09:30,70,2.05,110.0,150.0,225.0,običajni pretok,9.8
6240,2025-04-22 11:00,2025-04-22 10:00,70,2.05,110.0,150.0,225.0,običajni pretok,10.1
6240,2025-04-22 11:30,2025-04-22 10:30,70,2.05,110.0,150.0,225.0,običajni pretok,10.6
6240,2025-04-22 12:30,2025-04-22 11:30,70,2.05,110.0,150.0,225.0,običajni pretok,11.2
6240,2025-04-22 13:30,2025-04-22 12:30,70,2.05,110.0,150.0,225.0,običajni pretok,12.2
6240,2025-04-22 14:30,2025-04-22 13:30,70,2.05,110.0,150.0,225.0,običajni pretok,12.9
6240,2025-04-22 15:30,2025-04-22 14:30,70,2.05,110.0,150.0,225.0,običajni pretok,13.5
6240,2025-04-22 16:30,2025-04-22 15:30,70,2.05,110.0,150.0,225.0,običajni pretok,13.9
6240,2025-04-22 17:30,2025-04-22 16:30,70,2.05,110.0,150.0,225.0,običajni pretok,13.6
6240,2025-04-22 18:30,2025-04-22 17:30,69,1.91,110.0,150.0,225.0,običajni pretok,13.0
6240,2025-04-22 19:30,2025-04-22 18:30,70,2.05,110.0,150.0,225.0,običajni pretok,12.5
6240,2025-04-22 20:30,2025-04-22 19:30,69,1.91,110.0,150.0,225.0,običajni pretok,12.0
6240,2025-04-22 21:30,2025-04-22 20:30,69,1.91,110.0,150.0,225.0,običajni pretok,11.5
6240,2025-04-22 22:30,2025-04-22 21:30,69,1.91,110.0,150.0,225.0,običajni pretok,11.2
6240,2025-04-22 23:30,2025-04-22 22:30,69,1.91,110.0,150.0,225.0,običajni pretok,11.0
6240,2025-04-23 00:30,2025-04-22 23:30,69,1.91,110.0,150.0,225.0,običajni pretok,10.7
6240,2025-04-23 02:00,2025-04-23 01:00,69,1.91,110.0,150.0,225.0,običajni pretok,10.4
6240,2025-04-23 03:30,2025-04-23 02:30,69,1.91,110.0,150.0,225.0,običajni pretok,10.1
6240,2025-04-23 04:30,2025-04-23 03:30,69,1.91,110.0,150.0,225.0,običajni pretok,9.9
6240,2025-04-23 05:30,2025-04-23 04:30,69,1.91,110.0,150.0,225.0,običajni pretok,9.7
