sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6300,2025-04-19 22:30,2025-04-19 21:30,167,1.72,45.0,81.0,90.0,običajni pretok,12.8
6300,2025-04-22 07:30,2025-04-22 06:30,165,1.47,45.0,81.0,90.0,običajni pretok,13.1
6300,2025-04-22 10:30,2025-04-22 09:30,165,1.47,45.0,81.0,90.0,običajni pretok,14.2
6300,2025-04-22 11:00,2025-04-22 10:00,165,1.47,45.0,81.0,90.0,običajni pretok,14.8
6300,2025-04-22 11:30,2025-04-22 10:30,165,1.47,45.0,81.0,90.0,običajni pretok,15.2
6300,2025-04-22 12:30,2025-04-22 11:30,165,1.47,45.0,81.0,90.0,običajni pretok,15.7
6300,2025-04-22 13:30,2025-04-22 12:30,165,1.47,45.0,81.0,90.0,običajni pretok,15.8
6300,2025-04-22 14:30,2025-04-22 13:30,165,1.47,45.0,81.0,90.0,običajni pretok,16.4
6300,2025-04-22 15:30,2025-04-22 14:30,165,1.47,45.0,81.0,90.0,običajni pretok,16.7
6300,2025-04-22 16:30,2025-04-22 15:30,165,1.47,45.0,81.0,90.0,običajni pretok,16.8
6300,2025-04-22 17:30,2025-04-22 16:30,165,1.47,45.0,81.0,90.0,običajni pretok,16.8
6300,2025-04-22 18:30,2025-04-22 17:30,165,1.47,45.0,81.0,90.0,običajni pretok,16.5
6300,2025-04-22 19:30,2025-04-22 18:30,165,1.47,45.0,81.0,90.0,običajni pretok,16.1
6300,2025-04-22 20:30,2025-04-22 19:30,165,1.47,45.0,81.0,90.0,običajni pretok,15.8
6300,2025-04-22 21:30,2025-04-22 20:30,164,1.35,45.0,81.0,90.0,običajni pretok,15.6
6300,2025-04-22 22:30,2025-04-22 21:30,165,1.47,45.0,81.0,90.0,običajni pretok,15.3
6300,2025-04-22 23:30,2025-04-22 22:30,165,1.47,45.0,81.0,90.0,običajni pretok,15.2
6300,2025-04-23 00:30,2025-04-22 23:30,164,1.35,45.0,81.0,90.0,običajni pretok,14.9
6300,2025-04-23 02:00,2025-04-23 01:00,165,1.47,45.0,81.0,90.0,običajni pretok,14.6
6300,2025-04-23 03:30,2025-04-23 02:30,165,1.47,45.0,81.0,90.0,običajni pretok,14.3
6300,2025-04-23 04:30,2025-04-23 03:30,165,1.47,45.0,81.0,90.0,običajni pretok,14.2
6300,2025-04-23 05:30,2025-04-23 04:30,165,1.47,45.0,81.0,90.0,običajni pretok,14.1
