sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6415,2025-04-19 22:30,2025-04-19 21:30,126,0.533,16.0,27.0,45.0,običajni pretok,10.5
6415,2025-04-22 07:30,2025-04-22 06:30,123,0.362,16.0,27.0,45.0,običajni pretok,9.7
6415,2025-04-22 10:30,2025-04-22 09:30,124,0.415,16.0,27.0,45.0,običajni pretok,10.6
6415,2025-04-22 11:00,2025-04-22 10:00,124,0.415,16.0,27.0,45.0,običajni pretok,11.1
6415,2025-04-22 11:30,2025-04-22 10:30,124,0.415,16.0,27.0,45.0,običajni pretok,11.5
6415,2025-04-22 12:30,2025-04-22 11:30,124,0.415,16.0,27.0,45.0,običajni pretok,12.6
6415,2025-04-22 13:30,2025-04-22 12:30,124,0.415,16.0,27.0,45.0,običajni pretok,13.5
6415,2025-04-22 14:30,2025-04-22 13:30,124,0.415,16.0,27.0,45.0,običajni pretok,15.1
6415,2025-04-22 15:30,2025-04-22 14:30,124,0.415,16.0,27.0,45.0,običajni pretok,16.0
6415,2025-04-22 16:30,2025-04-22 15:30,124,0.415,16.0,27.0,45.0,običajni pretok,16.4
6415,2025-04-22 17:30,2025-04-22 16:30,124,0.415,16.0,27.0,45.0,običajni pretok,16.2
6415,2025-04-22 18:30,2025-04-22 17:30,123,0.362,16.0,27.0,45.0,običajni pretok,15.4
6415,2025-04-22 19:30,2025-04-22 18:30,123,0.362,16.0,27.0,45.0,običajni pretok,14.7
6415,2025-04-22 20:30,2025-04-22 19:30,123,0.362,16.0,27.0,45.0,običajni pretok,13.9
