sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6630,2025-04-19 22:30,2025-04-19 21:30,59,0.688,50.0,80.0,120.0,običajni pretok,13.2
6630,2025-04-22 07:30,2025-04-22 06:30,56,0.545,50.0,80.0,120.0,običajni pretok,13.6
6630,2025-04-22 10:30,2025-04-22 09:30,56,0.545,50.0,80.0,120.0,običajni pretok,14.9
6630,2025-04-22 11:00,2025-04-22 10:00,56,0.545,50.0,80.0,120.0,običajni pretok,15.2
6630,2025-04-22 11:30,2025-04-22 10:30,56,0.545,50.0,80.0,120.0,običajni pretok,15.7
6630,2025-04-22 12:30,2025-04-22 11:30,56,0.545,50.0,80.0,120.0,običajni pretok,16.2
6630,2025-04-22 13:30,2025-04-22 12:30,56,0.545,50.0,80.0,120.0,običajni pretok,16.6
6630,2025-04-22 14:30,2025-04-22 13:30,56,0.545,50.0,80.0,120.0,običajni pretok,17.2
6630,2025-04-22 15:30,2025-04-22 14:30,56,0.545,50.0,80.0,120.0,običajni pretok,17.3
6630,2025-04-22 16:30,2025-04-22 15:30,56,0.545,50.0,80.0,120.0,običajni pretok,17.8
6630,2025-04-22 17:30,2025-04-22 16:30,55,0.503,50.0,80.0,120.0,običajni pretok,18.0
6630,2025-04-22 18:30,2025-04-22 17:30,56,0.545,50.0,80.0,120.0,običajni pretok,17.6
6630,2025-04-22 19:30,2025-04-22 18:30,55,0.503,50.0,80.0,120.0,običajni pretok,17.3
6630,2025-04-22 20:30,2025-04-22 19:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.8
6630,2025-04-22 21:30,2025-04-22 20:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.4
6630,2025-04-22 22:30,2025-04-22 21:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.1
6630,2025-04-22 23:30,2025-04-22 22:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.0
6630,2025-04-23 00:30,2025-04-22 23:30,55,0.503,50.0,80.0,120.0,običajni pretok,15.7
6630,2025-04-23 02:00,2025-04-23 01:00,55,0.503,50.0,80.0,120.0,običajni pretok,15.2
6630,2025-04-23 03:30,2025-04-23 02:30,55,0.503,50.0,80.0,120.0,običajni pretok,14.8
6630,2025-04-23 04:30,2025-04-23 03:30,55,0.503,50.0,80.0,120.0,običajni pretok,14.4
6630,2025-04-23 05:30,2025-04-23 04:30,55,0.503,50.0,80.0,120.0,običajni pretok,14.1
6630,2025-04-23 06:30,2025-04-23 05:30,55,0.503,50.0,80.0,120.0,običajni pretok,14.0
6630,2025-04-23 07:30,2025-04-23 06:30,55,0.503,50.0,80.0,120.0,običajni pretok,13.9
6630,2025-04-23 08:30,2025-04-23 07:30,55,0.503,50.0,80.0,120.0,običajni pretok,14.1
6630,2025-04-23 09:30,2025-04-23 08:30,55,0.503,50.0,80.0,120.0,običajni pretok,14.7
6630,2025-04-23 10:30,2025-04-23 09:30,55,0.503,50.0,80.0,120.0,običajni pretok,15.5
6630,2025-04-23 11:30,2025-04-23 10:30,55,0.503,50.0,80.0,120.0,običajni pretok,15.7
6630,2025-04-23 12:30,2025-04-23 11:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.1
6630,2025-04-23 13:30,2025-04-23 12:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.8
6630,2025-04-23 14:30,2025-04-23 13:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.6
6630,2025-04-23 15:30,2025-04-23 14:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.9
6630,2025-04-23 16:30,2025-04-23 15:30,55,0.503,50.0,80.0,120.0,običajni pretok,17.5
6630,2025-04-23 17:30,2025-04-23 16:30,55,0.503,50.0,80.0,120.0,običajni pretok,17.5
6630,2025-04-23 18:30,2025-04-23 17:30,55,0.503,50.0,80.0,120.0,običajni pretok,17.5
6630,2025-04-23 19:30,2025-04-23 18:30,55,0.503,50.0,80.0,120.0,običajni pretok,17.3
6630,2025-04-23 20:30,2025-04-23 19:30,55,0.503,50.0,80.0,120.0,običajni pretok,16.8
6630,2025-04-23 21:30,2025-04-23 20:30,54,0.463,50.0,80.0,120.0,mali pretok,16.4
6630,2025-04-23 22:30,2025-04-23 21:30,55,0.503,50.0,80.0,120.0,običajni pretok,15.9
6630,2025-04-23 23:30,2025-04-23 22:30,55,0.503,50.0,80.0,120.0,običajni pretok,15.6
6630,2025-04-24 00:30,2025-04-23 23:30,54,0.463,50.0,80.0,120.0,mali pretok,15.2
6630,2025-04-24 02:00,2025-04-24 01:00,54,0.463,50.0,80.0,120.0,mali pretok,14.7
6630,2025-04-24 03:30,2025-04-24 02:30,54,0.463,50.0,80.0,120.0,mali pretok,14.1
6630,2025-04-24 04:30,2025-04-24 03:30,54,0.463,50.0,80.0,120.0,mali pretok,13.7
6630,2025-04-24 05:30,2025-04-24 04:30,54,0.463,50.0,80.0,120.0,mali pretok,13.3
6630,2025-04-24 06:30,2025-04-24 05:30,54,0.463,50.0,80.0,120.0,mali pretok,13.0
6630,2025-04-24 07:30,2025-04-24 06:30,54,0.463,50.0,80.0,120.0,mali pretok,12.8
6630,2025-04-24 08:30,2025-04-24 07:30,54,0.463,50.0,80.0,120.0,mali pretok,12.9
6630,2025-04-24 09:30,2025-04-24 08:30,54,0.463,50.0,80.0,120.0,mali pretok,13.4
6630,2025-04-24 10:30,2025-04-24 09:30,55,0.503,50.0,80.0,120.0,običajni pretok,14.2
6630,2025-04-24 11:30,2025-04-24 10:30,55,0.503,50.0,80.0,120.0,običajni pretok,15.2
6630,2025-04-24 12:30,2025-04-24 11:30,55,0.503,50.0,80.0,120.0,običajni pretok,15.6
6630,2025-04-24 13:30,2025-04-24 12:30,54,0.463,50.0,80.0,120.0,mali pretok,15.6
6630,2025-04-24 14:30,2025-04-24 13:30,55,0.503,50.0,80.0,120.0,običajni pretok,15.2
6630,2025-04-24 15:30,2025-04-24 14:30,57,0.59,50.0,80.0,120.0,običajni pretok,14.8
6630,2025-04-24 16:30,2025-04-24 15:30,65,1.05,50.0,80.0,120.0,običajni pretok,15.0
6630,2025-04-24 17:30,2025-04-24 16:30,64,0.982,50.0,80.0,120.0,običajni pretok,14.9
6630,2025-04-24 18:30,2025-04-24 17:30,67,1.19,50.0,80.0,120.0,običajni pretok,15.0
6630,2025-04-24 19:30,2025-04-24 18:30,66,1.12,50.0,80.0,120.0,običajni pretok,14.7
6630,2025-04-24 20:30,2025-04-24 19:30,69,1.34,50.0,80.0,120.0,običajni pretok,14.2
6630,2025-04-24 21:30,2025-04-24 20:30,69,1.34,50.0,80.0,120.0,običajni pretok,14.0
6630,2025-04-24 22:30,2025-04-24 21:30,68,1.26,50.0,80.0,120.0,običajni pretok,13.7
6630,2025-04-24 23:30,2025-04-24 22:30,73,1.67,50.0,80.0,120.0,običajni pretok,13.5
6630,2025-04-25 00:30,2025-04-24 23:30,71,1.5,50.0,80.0,120.0,običajni pretok,13.4
6630,2025-04-25 02:00,2025-04-25 01:00,70,1.42,50.0,80.0,120.0,običajni pretok,13.2
6630,2025-04-25 03:30,2025-04-25 02:30,68,1.26,50.0,80.0,120.0,običajni pretok,13.0
6630,2025-04-25 04:30,2025-04-25 03:30,68,1.26,50.0,80.0,120.0,običajni pretok,12.9
6630,2025-04-25 05:30,2025-04-25 04:30,67,1.19,50.0,80.0,120.0,običajni pretok,12.8
6630,2025-04-25 06:30,2025-04-25 05:30,66,1.12,50.0,80.0,120.0,običajni pretok,12.7
6630,2025-04-25 07:30,2025-04-25 06:30,66,1.12,50.0,80.0,120.0,običajni pretok,12.5
6630,2025-04-25 08:30,2025-04-25 07:30,65,1.05,50.0,80.0,120.0,običajni pretok,12.4
6630,2025-04-25 09:30,2025-04-25 08:30,65,1.05,50.0,80.0,120.0,običajni pretok,12.4
6630,2025-04-25 10:30,2025-04-25 09:30,64,0.982,50.0,80.0,120.0,običajni pretok,12.4
6630,2025-04-25 11:30,2025-04-25 10:30,64,0.982,50.0,80.0,120.0,običajni pretok,12.4
6630,2025-04-25 12:30,2025-04-25 11:30,64,0.982,50.0,80.0,120.0,običajni pretok,12.4
6630,2025-04-25 13:30,2025-04-25 12:30,65,1.05,50.0,80.0,120.0,običajni pretok,12.3
6630,2025-04-25 14:30,2025-04-25 13:30,69,1.34,50.0,80.0,120.0,običajni pretok,12.3
6630,2025-04-25 15:30,2025-04-25 14:30,72,1.58,50.0,80.0,120.0,običajni pretok,12.4
6630,2025-04-25 16:30,2025-04-25 15:30,72,1.58,50.0,80.0,120.0,običajni pretok,12.5
6630,2025-04-25 17:30,2025-04-25 16:30,75,1.84,50.0,80.0,120.0,običajni pretok,12.6
6630,2025-04-25 18:30,2025-04-25 17:30,77,2.03,50.0,80.0,120.0,običajni pretok,12.6
6630,2025-04-25 19:30,2025-04-25 18:30,81,2.42,50.0,80.0,120.0,običajni pretok,12.5
6630,2025-04-25 20:30,2025-04-25 19:30,89,3.29,50.0,80.0,120.0,običajni pretok,12.2
6630,2025-04-25 21:30,2025-04-25 20:30,93,3.77,50.0,80.0,120.0,običajni pretok,12.0
6630,2025-04-25 22:30,2025-04-25 21:30,93,3.77,50.0,80.0,120.0,običajni pretok,11.8
6630,2025-04-25 23:30,2025-04-25 22:30,91,3.53,50.0,80.0,120.0,običajni pretok,11.7
6630,2025-04-26 00:30,2025-04-25 23:30,89,3.29,50.0,80.0,120.0,običajni pretok,11.5
6630,2025-04-26 02:00,2025-04-26 01:00,87,3.06,50.0,80.0,120.0,običajni pretok,11.4
6630,2025-04-26 03:30,2025-04-26 02:30,87,3.06,50.0,80.0,120.0,običajni pretok,11.3
6630,2025-04-26 04:30,2025-04-26 03:30,88,3.18,50.0,80.0,120.0,običajni pretok,11.3
6630,2025-04-26 05:30,2025-04-26 04:30,90,3.41,50.0,80.0,120.0,običajni pretok,11.2
6630,2025-04-26 06:30,2025-04-26 05:30,91,3.53,50.0,80.0,120.0,običajni pretok,11.2
6630,2025-04-26 07:30,2025-04-26 06:30,91,3.53,50.0,80.0,120.0,običajni pretok,11.2
6630,2025-04-26 08:30,2025-04-26 07:30,90,3.41,50.0,80.0,120.0,običajni pretok,11.1
6630,2025-04-26 09:30,2025-04-26 08:30,89,3.29,50.0,80.0,120.0,običajni pretok,11.2
6630,2025-04-26 10:30,2025-04-26 09:30,87,3.06,50.0,80.0,120.0,običajni pretok,11.2
6630,2025-04-26 11:30,2025-04-26 10:30,86,2.95,50.0,80.0,120.0,običajni pretok,11.3
6630,2025-04-26 12:30,2025-04-26 11:30,85,2.84,50.0,80.0,120.0,običajni pretok,11.4
6630,2025-04-26 13:30,2025-04-26 12:30,83,2.63,50.0,80.0,120.0,običajni pretok,11.5
6630,2025-04-26 14:30,2025-04-26 13:30,84,2.73,50.0,80.0,120.0,običajni pretok,11.6
6630,2025-04-26 15:30,2025-04-26 14:30,83,2.63,50.0,80.0,120.0,običajni pretok,11.7
6630,2025-04-26 16:30,2025-04-26 15:30,82,2.52,50.0,80.0,120.0,običajni pretok,11.7
6630,2025-04-26 17:30,2025-04-26 16:30,81,2.42,50.0,80.0,120.0,običajni pretok,11.7
6630,2025-04-26 18:30,2025-04-26 17:30,81,2.42,50.0,80.0,120.0,običajni pretok,11.7
6630,2025-04-26 19:30,2025-04-26 18:30,79,2.22,50.0,80.0,120.0,običajni pretok,11.6
6630,2025-04-26 20:30,2025-04-26 19:30,79,2.22,50.0,80.0,120.0,običajni pretok,11.6
6630,2025-04-26 21:30,2025-04-26 20:30,78,2.12,50.0,80.0,120.0,običajni pretok,11.6
6630,2025-04-26 22:30,2025-04-26 21:30,77,2.03,50.0,80.0,120.0,običajni pretok,11.5
6630,2025-04-26 23:30,2025-04-26 22:30,77,2.03,50.0,80.0,120.0,običajni pretok,11.5
6630,2025-04-27 00:30,2025-04-26 23:30,77,2.03,50.0,80.0,120.0,običajni pretok,11.5
6630,2025-04-27 02:00,2025-04-27 01:00,76,1.93,50.0,80.0,120.0,običajni pretok,11.4
6630,2025-04-27 04:00,2025-04-27 03:00,75,1.84,50.0,80.0,120.0,običajni pretok,11.3
6630,2025-04-27 04:30,2025-04-27 03:30,75,1.84,50.0,80.0,120.0,običajni pretok,11.3
6630,2025-04-27 05:30,2025-04-27 04:30,75,1.84,50.0,80.0,120.0,običajni pretok,11.3
6630,2025-04-27 06:30,2025-04-27 05:30,74,1.75,50.0,80.0,120.0,običajni pretok,11.2
6630,2025-04-27 07:30,2025-04-27 06:30,74,1.75,50.0,80.0,120.0,običajni pretok,11.2
6630,2025-04-27 08:30,2025-04-27 07:30,74,1.75,50.0,80.0,120.0,običajni pretok,11.3
6630,2025-04-27 09:30,2025-04-27 08:30,73,1.67,50.0,80.0,120.0,običajni pretok,11.6
6630,2025-04-27 10:30,2025-04-27 09:30,73,1.67,50.0,80.0,120.0,običajni pretok,12.2
6630,2025-04-27 11:30,2025-04-27 10:30,72,1.58,50.0,80.0,120.0,običajni pretok,12.9
6630,2025-04-27 12:30,2025-04-27 11:30,72,1.58,50.0,80.0,120.0,običajni pretok,13.7
6630,2025-04-27 13:30,2025-04-27 12:30,72,1.58,50.0,80.0,120.0,običajni pretok,14.7
6630,2025-04-27 14:30,2025-04-27 13:30,71,1.5,50.0,80.0,120.0,običajni pretok,15.3
6630,2025-04-27 15:30,2025-04-27 14:30,71,1.5,50.0,80.0,120.0,običajni pretok,15.8
