sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6691,2025-04-19 22:30,2025-04-19 21:30,50.0,0.255,44.0,56.0,70.0,mali pretok,11.3
6691,2025-04-22 07:30,2025-04-22 06:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.3
6691,2025-04-22 10:30,2025-04-22 09:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.2
6691,2025-04-22 11:00,2025-04-22 10:00,49.0,0.208,44.0,56.0,70.0,mali pretok,13.2
6691,2025-04-22 11:30,2025-04-22 10:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,13.2
6691,2025-04-22 12:30,2025-04-22 11:30,55.0,0.576,44.0,56.0,70.0,običajni pretok,12.9
6691,2025-04-22 13:30,2025-04-22 12:30,53.0,0.429,44.0,56.0,70.0,običajni pretok,12.8
6691,2025-04-22 14:30,2025-04-22 13:30,52.0,0.365,44.0,56.0,70.0,običajni pretok,13.1
6691,2025-04-22 15:30,2025-04-22 14:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,13.4
6691,2025-04-22 16:30,2025-04-22 15:30,50.0,0.255,44.0,56.0,70.0,mali pretok,13.7
6691,2025-04-22 17:30,2025-04-22 16:30,50.0,0.255,44.0,56.0,70.0,mali pretok,13.9
6691,2025-04-22 18:30,2025-04-22 17:30,50.0,0.255,44.0,56.0,70.0,mali pretok,14.0
6691,2025-04-22 19:30,2025-04-22 18:30,49.0,0.208,44.0,56.0,70.0,mali pretok,14.0
6691,2025-04-22 20:30,2025-04-22 19:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.9
6691,2025-04-22 21:30,2025-04-22 20:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.7
6691,2025-04-22 22:30,2025-04-22 21:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.4
6691,2025-04-22 23:30,2025-04-22 22:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,13.2
6691,2025-04-23 00:30,2025-04-22 23:30,57.0,0.758,44.0,56.0,70.0,običajni pretok,13.0
6691,2025-04-23 02:00,2025-04-23 01:00,57.0,0.758,44.0,56.0,70.0,običajni pretok,13.6
6691,2025-04-23 03:30,2025-04-23 02:30,53.0,0.429,44.0,56.0,70.0,običajni pretok,13.8
6691,2025-04-23 04:30,2025-04-23 03:30,52.0,0.365,44.0,56.0,70.0,običajni pretok,13.3
6691,2025-04-23 05:30,2025-04-23 04:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,12.9
6691,2025-04-23 06:30,2025-04-23 05:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.7
6691,2025-04-23 07:30,2025-04-23 06:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.6
6691,2025-04-23 08:30,2025-04-23 07:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.4
6691,2025-04-23 09:30,2025-04-23 08:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.3
6691,2025-04-23 10:30,2025-04-23 09:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.2
6691,2025-04-23 11:30,2025-04-23 10:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,12.2
6691,2025-04-23 12:30,2025-04-23 11:30,55.0,0.576,44.0,56.0,70.0,običajni pretok,12.3
6691,2025-04-23 13:30,2025-04-23 12:30,53.0,0.429,44.0,56.0,70.0,običajni pretok,12.3
6691,2025-04-23 14:30,2025-04-23 13:30,52.0,0.365,44.0,56.0,70.0,običajni pretok,12.4
6691,2025-04-23 15:30,2025-04-23 14:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.6
6691,2025-04-23 16:30,2025-04-23 15:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.9
6691,2025-04-23 17:30,2025-04-23 16:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.1
6691,2025-04-23 18:30,2025-04-23 17:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.2
6691,2025-04-23 19:30,2025-04-23 18:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.2
6691,2025-04-23 20:30,2025-04-23 19:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.2
6691,2025-04-23 21:30,2025-04-23 20:30,49.0,0.208,44.0,56.0,70.0,mali pretok,13.1
6691,2025-04-23 22:30,2025-04-23 21:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.9
6691,2025-04-23 23:30,2025-04-23 22:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,12.8
6691,2025-04-24 00:30,2025-04-23 23:30,56.0,0.666,44.0,56.0,70.0,običajni pretok,12.5
6691,2025-04-24 02:00,2025-04-24 01:00,54.0,0.5,44.0,56.0,70.0,običajni pretok,13.0
6691,2025-04-24 03:30,2025-04-24 02:30,52.0,0.365,44.0,56.0,70.0,običajni pretok,13.2
6691,2025-04-24 04:30,2025-04-24 03:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,13.1
6691,2025-04-24 05:30,2025-04-24 04:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.8
6691,2025-04-24 06:30,2025-04-24 05:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.5
6691,2025-04-24 07:30,2025-04-24 06:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.3
6691,2025-04-24 08:30,2025-04-24 07:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.1
6691,2025-04-24 09:30,2025-04-24 08:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.0
6691,2025-04-24 10:30,2025-04-24 09:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.1
6691,2025-04-24 11:30,2025-04-24 10:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.2
6691,2025-04-24 12:30,2025-04-24 11:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.5
6691,2025-04-24 13:30,2025-04-24 12:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.5
6691,2025-04-24 14:30,2025-04-24 13:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.4
6691,2025-04-24 15:30,2025-04-24 14:30,49.0,0.208,44.0,56.0,70.0,mali pretok,12.4
6691,2025-04-24 16:30,2025-04-24 15:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.4
6691,2025-04-24 17:30,2025-04-24 16:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.2
6691,2025-04-24 18:30,2025-04-24 17:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.2
6691,2025-04-24 19:30,2025-04-24 18:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,12.2
6691,2025-04-24 20:30,2025-04-24 19:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,12.2
6691,2025-04-24 21:30,2025-04-24 20:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,12.2
6691,2025-04-24 22:30,2025-04-24 21:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,12.2
6691,2025-04-24 23:30,2025-04-24 22:30,55.0,0.576,44.0,56.0,70.0,običajni pretok,12.3
6691,2025-04-25 00:30,2025-04-24 23:30,57.0,0.758,44.0,56.0,70.0,običajni pretok,12.4
6691,2025-04-25 02:00,2025-04-25 01:00,55.0,0.576,44.0,56.0,70.0,običajni pretok,12.6
6691,2025-04-25 03:30,2025-04-25 02:30,52.0,0.365,44.0,56.0,70.0,običajni pretok,12.4
6691,2025-04-25 04:30,2025-04-25 03:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,12.3
6691,2025-04-25 05:30,2025-04-25 04:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.1
6691,2025-04-25 06:30,2025-04-25 05:30,50.0,0.255,44.0,56.0,70.0,mali pretok,12.0
6691,2025-04-25 07:30,2025-04-25 06:30,50.0,0.255,44.0,56.0,70.0,mali pretok,11.9
6691,2025-04-25 08:30,2025-04-25 07:30,50.0,0.255,44.0,56.0,70.0,mali pretok,11.9
6691,2025-04-25 09:30,2025-04-25 08:30,50.0,0.255,44.0,56.0,70.0,mali pretok,11.8
6691,2025-04-25 10:30,2025-04-25 09:30,50.0,0.255,44.0,56.0,70.0,mali pretok,11.7
6691,2025-04-25 11:30,2025-04-25 10:30,50.0,0.255,44.0,56.0,70.0,mali pretok,11.6
6691,2025-04-25 12:30,2025-04-25 11:30,50.0,0.255,44.0,56.0,70.0,mali pretok,11.5
6691,2025-04-25 13:30,2025-04-25 12:30,50.0,0.255,44.0,56.0,70.0,mali pretok,11.5
6691,2025-04-25 14:30,2025-04-25 13:30,51.0,0.307,44.0,56.0,70.0,običajni pretok,11.5
6691,2025-04-25 15:30,2025-04-25 14:30,52.0,0.365,44.0,56.0,70.0,običajni pretok,11.5
6691,2025-04-25 16:30,2025-04-25 15:30,54.0,0.5,44.0,56.0,70.0,običajni pretok,11.5
6691,2025-04-25 17:30,2025-04-25 16:30,58.0,0.853,44.0,56.0,70.0,običajni pretok,11.7
6691,2025-04-25 18:30,2025-04-25 17:30,59.0,0.951,44.0,56.0,70.0,običajni pretok,11.6
6691,2025-04-25 19:30,2025-04-25 18:30,58.0,0.853,44.0,56.0,70.0,običajni pretok,11.5
6691,2025-04-25 20:30,2025-04-25 19:30,57.0,0.758,44.0,56.0,70.0,običajni pretok,11.5
6691,2025-04-25 21:30,2025-04-25 20:30,56.0,0.666,44.0,56.0,70.0,običajni pretok,11.4
6691,2025-04-25 22:30,2025-04-25 21:30,55.0,0.576,44.0,56.0,70.0,običajni pretok,11.4
6691,2025-04-25 23:30,2025-04-25 22:30,59.0,0.951,44.0,56.0,70.0,običajni pretok,11.4
6691,2025-04-26 00:30,2025-04-25 23:30,60.0,1.05,44.0,56.0,70.0,običajni pretok,11.3
6691,2025-04-26 02:00,2025-04-26 01:00,58.0,0.853,44.0,56.0,70.0,običajni pretok,11.1
6691,2025-04-26 03:30,2025-04-26 02:30,58.0,0.853,44.0,56.0,70.0,običajni pretok,11.0
6691,2025-04-26 04:30,2025-04-26 03:30,,,44.0,56.0,70.0,,
6691,2025-04-26 05:30,2025-04-26 04:30,,,44.0,56.0,70.0,,
6691,2025-04-26 06:30,2025-04-26 05:30,,,44.0,56.0,70.0,,
6691,2025-04-26 07:30,2025-04-26 06:30,,,44.0,56.0,70.0,,
6691,2025-04-26 08:30,2025-04-26 07:30,,,44.0,56.0,70.0,,
6691,2025-04-26 09:30,2025-04-26 08:30,,,44.0,56.0,70.0,,
6691,2025-04-26 10:30,2025-04-26 09:30,,,44.0,56.0,70.0,,
6691,2025-04-26 11:30,2025-04-26 10:30,,,44.0,56.0,70.0,,
6691,2025-04-26 12:30,2025-04-26 11:30,,,44.0,56.0,70.0,,
6691,2025-04-26 13:30,2025-04-26 12:30,,,44.0,56.0,70.0,,
6691,2025-04-26 14:30,2025-04-26 13:30,,,44.0,56.0,70.0,,
6691,2025-04-26 15:30,2025-04-26 14:30,,,44.0,56.0,70.0,,
6691,2025-04-26 16:30,2025-04-26 15:30,,,44.0,56.0,70.0,,
6691,2025-04-26 17:30,2025-04-26 16:30,,,44.0,56.0,70.0,,
6691,2025-04-26 18:30,2025-04-26 17:30,,,44.0,56.0,70.0,,
6691,2025-04-26 19:30,2025-04-26 18:30,,,44.0,56.0,70.0,,
6691,2025-04-26 20:30,2025-04-26 19:30,,,44.0,56.0,70.0,,
6691,2025-04-26 21:30,2025-04-26 20:30,,,44.0,56.0,70.0,,
6691,2025-04-26 22:30,2025-04-26 21:30,,,44.0,56.0,70.0,,
6691,2025-04-26 23:30,2025-04-26 22:30,,,44.0,56.0,70.0,,
6691,2025-04-27 00:30,2025-04-26 23:30,,,44.0,56.0,70.0,,
6691,2025-04-27 02:00,2025-04-27 01:00,,,44.0,56.0,70.0,,
6691,2025-04-27 04:00,2025-04-27 03:00,,,44.0,56.0,70.0,,
6691,2025-04-27 04:30,2025-04-27 03:30,,,44.0,56.0,70.0,,
6691,2025-04-27 05:30,2025-04-27 04:30,,,44.0,56.0,70.0,,
6691,2025-04-27 06:30,2025-04-27 05:30,,,44.0,56.0,70.0,,
6691,2025-04-27 07:30,2025-04-27 06:30,,,44.0,56.0,70.0,,
6691,2025-04-27 08:30,2025-04-27 07:30,,,44.0,56.0,70.0,,
