sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6720,2025-04-19 22:30,2025-04-19 21:30,108,1.15,66.0,97.0,132.0,običajni pretok,12.4
6720,2025-04-22 07:30,2025-04-22 06:30,109,1.23,66.0,97.0,132.0,običajni pretok,13.7
6720,2025-04-22 10:30,2025-04-22 09:30,106,0.997,66.0,97.0,132.0,običajni pretok,15.5
6720,2025-04-22 11:00,2025-04-22 10:00,107,1.07,66.0,97.0,132.0,običajni pretok,16.0
6720,2025-04-22 11:30,2025-04-22 10:30,106,0.997,66.0,97.0,132.0,običajni pretok,16.5
6720,2025-04-22 12:30,2025-04-22 11:30,105,0.925,66.0,97.0,132.0,običajni pretok,17.0
6720,2025-04-22 13:30,2025-04-22 12:30,105,0.925,66.0,97.0,132.0,običajni pretok,17.2
6720,2025-04-22 14:30,2025-04-22 13:30,106,0.997,66.0,97.0,132.0,običajni pretok,18.3
6720,2025-04-22 15:30,2025-04-22 14:30,105,0.925,66.0,97.0,132.0,običajni pretok,18.7
6720,2025-04-22 16:30,2025-04-22 15:30,105,0.925,66.0,97.0,132.0,običajni pretok,18.6
6720,2025-04-22 17:30,2025-04-22 16:30,106,0.997,66.0,97.0,132.0,običajni pretok,18.5
6720,2025-04-22 18:30,2025-04-22 17:30,108,1.15,66.0,97.0,132.0,običajni pretok,17.5
6720,2025-04-22 19:30,2025-04-22 18:30,107,1.07,66.0,97.0,132.0,običajni pretok,16.8
6720,2025-04-22 20:30,2025-04-22 19:30,107,1.07,66.0,97.0,132.0,običajni pretok,16.2
6720,2025-04-22 21:30,2025-04-22 20:30,105,0.925,66.0,97.0,132.0,običajni pretok,15.7
6720,2025-04-22 22:30,2025-04-22 21:30,105,0.925,66.0,97.0,132.0,običajni pretok,15.4
6720,2025-04-22 23:30,2025-04-22 22:30,104,0.856,66.0,97.0,132.0,mali pretok,15.2
6720,2025-04-23 00:30,2025-04-22 23:30,103,0.79,66.0,97.0,132.0,mali pretok,15.0
6720,2025-04-23 02:00,2025-04-23 01:00,103,0.79,66.0,97.0,132.0,mali pretok,14.7
6720,2025-04-23 03:30,2025-04-23 02:30,103,0.79,66.0,97.0,132.0,mali pretok,14.6
6720,2025-04-23 04:30,2025-04-23 03:30,103,0.79,66.0,97.0,132.0,mali pretok,14.4
6720,2025-04-23 05:30,2025-04-23 04:30,104,0.856,66.0,97.0,132.0,mali pretok,14.1
6720,2025-04-23 06:30,2025-04-23 05:30,108,1.15,66.0,97.0,132.0,običajni pretok,14.1
6720,2025-04-23 07:30,2025-04-23 06:30,109,1.23,66.0,97.0,132.0,običajni pretok,14.1
