sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
6835,2025-04-19 22:30,2025-04-19 21:30,136,1.07,48.0,84.0,108.0,običajni pretok,11.2
6835,2025-04-22 07:30,2025-04-22 06:30,134,0.877,48.0,84.0,108.0,običajni pretok,11.6
6835,2025-04-22 10:30,2025-04-22 09:30,134,0.877,48.0,84.0,108.0,običajni pretok,12.1
6835,2025-04-22 11:00,2025-04-22 10:00,134,0.877,48.0,84.0,108.0,običajni pretok,12.3
6835,2025-04-22 11:30,2025-04-22 10:30,134,0.877,48.0,84.0,108.0,običajni pretok,12.5
6835,2025-04-22 12:30,2025-04-22 11:30,134,0.877,48.0,84.0,108.0,običajni pretok,12.9
6835,2025-04-22 13:30,2025-04-22 12:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.5
6835,2025-04-22 14:30,2025-04-22 13:30,134,0.877,48.0,84.0,108.0,običajni pretok,14.2
6835,2025-04-22 15:30,2025-04-22 14:30,133,0.789,48.0,84.0,108.0,običajni pretok,14.6
6835,2025-04-22 16:30,2025-04-22 15:30,134,0.877,48.0,84.0,108.0,običajni pretok,14.8
6835,2025-04-22 17:30,2025-04-22 16:30,133,0.789,48.0,84.0,108.0,običajni pretok,14.8
6835,2025-04-22 18:30,2025-04-22 17:30,133,0.789,48.0,84.0,108.0,običajni pretok,14.6
6835,2025-04-22 19:30,2025-04-22 18:30,134,0.877,48.0,84.0,108.0,običajni pretok,14.2
6835,2025-04-22 20:30,2025-04-22 19:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.9
6835,2025-04-22 21:30,2025-04-22 20:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.7
6835,2025-04-22 22:30,2025-04-22 21:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.4
6835,2025-04-22 23:30,2025-04-22 22:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.3
6835,2025-04-23 00:30,2025-04-22 23:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.2
6835,2025-04-23 02:00,2025-04-23 01:00,134,0.877,48.0,84.0,108.0,običajni pretok,12.9
6835,2025-04-23 03:30,2025-04-23 02:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.6
6835,2025-04-23 04:30,2025-04-23 03:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.3
6835,2025-04-23 05:30,2025-04-23 04:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.0
6835,2025-04-23 06:30,2025-04-23 05:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.8
6835,2025-04-23 07:30,2025-04-23 06:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.7
6835,2025-04-23 08:30,2025-04-23 07:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.6
6835,2025-04-23 09:30,2025-04-23 08:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.8
6835,2025-04-23 10:30,2025-04-23 09:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.0
6835,2025-04-23 11:30,2025-04-23 10:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.3
6835,2025-04-23 12:30,2025-04-23 11:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.5
6835,2025-04-23 13:30,2025-04-23 12:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.0
6835,2025-04-23 14:30,2025-04-23 13:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.3
6835,2025-04-23 15:30,2025-04-23 14:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.7
6835,2025-04-23 16:30,2025-04-23 15:30,133,0.789,48.0,84.0,108.0,običajni pretok,14.1
6835,2025-04-23 17:30,2025-04-23 16:30,133,0.789,48.0,84.0,108.0,običajni pretok,14.4
6835,2025-04-23 18:30,2025-04-23 17:30,133,0.789,48.0,84.0,108.0,običajni pretok,14.3
6835,2025-04-23 19:30,2025-04-23 18:30,133,0.789,48.0,84.0,108.0,običajni pretok,14.1
6835,2025-04-23 20:30,2025-04-23 19:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.9
6835,2025-04-23 21:30,2025-04-23 20:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.6
6835,2025-04-23 22:30,2025-04-23 21:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.3
6835,2025-04-23 23:30,2025-04-23 22:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.2
6835,2025-04-24 00:30,2025-04-23 23:30,133,0.789,48.0,84.0,108.0,običajni pretok,13.0
6835,2025-04-24 02:00,2025-04-24 01:00,133,0.789,48.0,84.0,108.0,običajni pretok,12.6
6835,2025-04-24 03:30,2025-04-24 02:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.1
6835,2025-04-24 04:30,2025-04-24 03:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.8
6835,2025-04-24 05:30,2025-04-24 04:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.6
6835,2025-04-24 06:30,2025-04-24 05:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.4
6835,2025-04-24 07:30,2025-04-24 06:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.2
6835,2025-04-24 08:30,2025-04-24 07:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.1
6835,2025-04-24 09:30,2025-04-24 08:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.2
6835,2025-04-24 10:30,2025-04-24 09:30,133,0.789,48.0,84.0,108.0,običajni pretok,11.6
6835,2025-04-24 11:30,2025-04-24 10:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.2
6835,2025-04-24 12:30,2025-04-24 11:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.7
6835,2025-04-24 13:30,2025-04-24 12:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.7
6835,2025-04-24 14:30,2025-04-24 13:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.5
6835,2025-04-24 15:30,2025-04-24 14:30,133,0.789,48.0,84.0,108.0,običajni pretok,12.4
6835,2025-04-24 16:30,2025-04-24 15:30,134,0.877,48.0,84.0,108.0,običajni pretok,12.4
6835,2025-04-24 17:30,2025-04-24 16:30,139,1.4,48.0,84.0,108.0,običajni pretok,12.3
6835,2025-04-24 18:30,2025-04-24 17:30,141,1.65,48.0,84.0,108.0,običajni pretok,12.2
6835,2025-04-24 19:30,2025-04-24 18:30,142,1.79,48.0,84.0,108.0,običajni pretok,12.1
6835,2025-04-24 20:30,2025-04-24 19:30,147,2.57,48.0,84.0,108.0,običajni pretok,12.0
6835,2025-04-24 21:30,2025-04-24 20:30,146,2.4,48.0,84.0,108.0,običajni pretok,11.9
6835,2025-04-24 22:30,2025-04-24 21:30,143,1.93,48.0,84.0,108.0,običajni pretok,11.8
6835,2025-04-24 23:30,2025-04-24 22:30,143,1.93,48.0,84.0,108.0,običajni pretok,11.6
6835,2025-04-25 00:30,2025-04-24 23:30,142,1.79,48.0,84.0,108.0,običajni pretok,11.4
6835,2025-04-25 02:00,2025-04-25 01:00,142,1.79,48.0,84.0,108.0,običajni pretok,11.3
6835,2025-04-25 03:30,2025-04-25 02:30,142,1.79,48.0,84.0,108.0,običajni pretok,11.1
6835,2025-04-25 04:30,2025-04-25 03:30,141,1.65,48.0,84.0,108.0,običajni pretok,11.1
6835,2025-04-25 05:30,2025-04-25 04:30,140,1.53,48.0,84.0,108.0,običajni pretok,11.0
6835,2025-04-25 06:30,2025-04-25 05:30,140,1.53,48.0,84.0,108.0,običajni pretok,11.0
6835,2025-04-25 07:30,2025-04-25 06:30,139,1.4,48.0,84.0,108.0,običajni pretok,10.9
6835,2025-04-25 08:30,2025-04-25 07:30,138,1.29,48.0,84.0,108.0,običajni pretok,10.9
6835,2025-04-25 09:30,2025-04-25 08:30,137,1.17,48.0,84.0,108.0,običajni pretok,10.9
6835,2025-04-25 10:30,2025-04-25 09:30,138,1.29,48.0,84.0,108.0,običajni pretok,10.8
6835,2025-04-25 11:30,2025-04-25 10:30,137,1.17,48.0,84.0,108.0,običajni pretok,10.8
6835,2025-04-25 12:30,2025-04-25 11:30,138,1.29,48.0,84.0,108.0,običajni pretok,10.8
6835,2025-04-25 13:30,2025-04-25 12:30,140,1.53,48.0,84.0,108.0,običajni pretok,10.7
6835,2025-04-25 14:30,2025-04-25 13:30,142,1.79,48.0,84.0,108.0,običajni pretok,10.7
6835,2025-04-25 15:30,2025-04-25 14:30,149,2.93,48.0,84.0,108.0,običajni pretok,10.8
6835,2025-04-25 16:30,2025-04-25 15:30,170,8.63,48.0,84.0,108.0,veliki pretok,10.8
6835,2025-04-25 17:30,2025-04-25 16:30,176,10.7,48.0,84.0,108.0,veliki pretok,10.6
6835,2025-04-25 18:30,2025-04-25 17:30,176,10.7,48.0,84.0,108.0,veliki pretok,10.5
6835,2025-04-25 19:30,2025-04-25 18:30,171,8.96,48.0,84.0,108.0,veliki pretok,10.5
6835,2025-04-25 20:30,2025-04-25 19:30,168,7.98,48.0,84.0,108.0,veliki pretok,10.5
6835,2025-04-25 21:30,2025-04-25 20:30,163,6.4,48.0,84.0,108.0,običajni pretok,10.4
6835,2025-04-25 22:30,2025-04-25 21:30,160,5.5,48.0,84.0,108.0,običajni pretok,10.3
6835,2025-04-25 23:30,2025-04-25 22:30,157,4.7,48.0,84.0,108.0,običajni pretok,10.2
6835,2025-04-26 00:30,2025-04-25 23:30,156,4.45,48.0,84.0,108.0,običajni pretok,10.2
6835,2025-04-26 02:00,2025-04-26 01:00,159,5.22,48.0,84.0,108.0,običajni pretok,10.1
6835,2025-04-26 03:30,2025-04-26 02:30,168,7.98,48.0,84.0,108.0,veliki pretok,10.0
6835,2025-04-26 04:30,2025-04-26 03:30,176,10.7,48.0,84.0,108.0,veliki pretok,9.9
6835,2025-04-26 05:30,2025-04-26 04:30,177,11.0,48.0,84.0,108.0,veliki pretok,9.9
6835,2025-04-26 06:30,2025-04-26 05:30,177,11.0,48.0,84.0,108.0,veliki pretok,9.9
6835,2025-04-26 07:30,2025-04-26 06:30,178,11.4,48.0,84.0,108.0,veliki pretok,9.9
6835,2025-04-26 08:30,2025-04-26 07:30,180,12.1,48.0,84.0,108.0,veliki pretok,9.9
6835,2025-04-26 09:30,2025-04-26 08:30,184,13.6,48.0,84.0,108.0,veliki pretok,9.9
6835,2025-04-26 10:30,2025-04-26 09:30,185,14.0,48.0,84.0,108.0,veliki pretok,9.9
6835,2025-04-26 11:30,2025-04-26 10:30,182,12.8,48.0,84.0,108.0,veliki pretok,10.0
6835,2025-04-26 12:30,2025-04-26 11:30,181,12.5,48.0,84.0,108.0,veliki pretok,10.0
6835,2025-04-26 13:30,2025-04-26 12:30,182,12.8,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 14:30,2025-04-26 13:30,182,12.8,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 15:30,2025-04-26 14:30,180,12.1,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 16:30,2025-04-26 15:30,178,11.4,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 17:30,2025-04-26 16:30,178,11.4,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 18:30,2025-04-26 17:30,177,11.0,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 19:30,2025-04-26 18:30,174,9.98,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 20:30,2025-04-26 19:30,171,8.96,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 21:30,2025-04-26 20:30,168,7.98,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 22:30,2025-04-26 21:30,166,7.34,48.0,84.0,108.0,veliki pretok,10.1
6835,2025-04-26 23:30,2025-04-26 22:30,164,6.71,48.0,84.0,108.0,običajni pretok,10.1
6835,2025-04-27 00:30,2025-04-26 23:30,162,6.1,48.0,84.0,108.0,običajni pretok,10.1
6835,2025-04-27 02:00,2025-04-27 01:00,161,5.8,48.0,84.0,108.0,običajni pretok,10.0
6835,2025-04-27 04:00,2025-04-27 03:00,159,5.22,48.0,84.0,108.0,običajni pretok,10.0
6835,2025-04-27 04:30,2025-04-27 03:30,158,4.96,48.0,84.0,108.0,običajni pretok,9.9
6835,2025-04-27 05:30,2025-04-27 04:30,158,4.96,48.0,84.0,108.0,običajni pretok,9.9
6835,2025-04-27 06:30,2025-04-27 05:30,157,4.7,48.0,84.0,108.0,običajni pretok,9.9
6835,2025-04-27 07:30,2025-04-27 06:30,156,4.45,48.0,84.0,108.0,običajni pretok,9.8
6835,2025-04-27 08:30,2025-04-27 07:30,155,4.21,48.0,84.0,108.0,običajni pretok,9.8
6835,2025-04-27 09:30,2025-04-27 08:30,154,3.97,48.0,84.0,108.0,običajni pretok,10.0
6835,2025-04-27 10:30,2025-04-27 09:30,153,3.75,48.0,84.0,108.0,običajni pretok,10.4
6835,2025-04-27 11:30,2025-04-27 10:30,153,3.75,48.0,84.0,108.0,običajni pretok,10.9
