sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7029,2025-04-19 22:30,2025-04-19 21:30,43,4.12,40.0,75.0,110.0,običajni pretok,10.6
7029,2025-04-22 07:30,2025-04-22 06:30,46,4.74,40.0,75.0,110.0,običajni pretok,10.8
7029,2025-04-22 10:30,2025-04-22 09:30,47,4.96,40.0,75.0,110.0,običajni pretok,11.2
7029,2025-04-22 11:00,2025-04-22 10:00,47,4.96,40.0,75.0,110.0,običajni pretok,11.4
7029,2025-04-22 11:30,2025-04-22 10:30,43,4.12,40.0,75.0,110.0,običajni pretok,11.4
7029,2025-04-22 12:30,2025-04-22 11:30,47,4.96,40.0,75.0,110.0,običajni pretok,11.7
7029,2025-04-22 13:30,2025-04-22 12:30,42,3.93,40.0,75.0,110.0,mali pretok,12.0
7029,2025-04-22 14:30,2025-04-22 13:30,47,4.96,40.0,75.0,110.0,običajni pretok,12.2
7029,2025-04-22 15:30,2025-04-22 14:30,47,4.96,40.0,75.0,110.0,običajni pretok,12.3
7029,2025-04-22 16:30,2025-04-22 15:30,46,4.74,40.0,75.0,110.0,običajni pretok,12.1
7029,2025-04-22 17:30,2025-04-22 16:30,42,3.93,40.0,75.0,110.0,mali pretok,11.8
7029,2025-04-22 18:30,2025-04-22 17:30,46,4.74,40.0,75.0,110.0,običajni pretok,11.6
7029,2025-04-22 19:30,2025-04-22 18:30,42,3.93,40.0,75.0,110.0,mali pretok,11.4
7029,2025-04-22 20:30,2025-04-22 19:30,45,4.53,40.0,75.0,110.0,običajni pretok,11.2
7029,2025-04-22 21:30,2025-04-22 20:30,46,4.74,40.0,75.0,110.0,običajni pretok,11.1
7029,2025-04-22 22:30,2025-04-22 21:30,38,3.18,40.0,75.0,110.0,mali pretok,11.0
7029,2025-04-22 23:30,2025-04-22 22:30,46,4.74,40.0,75.0,110.0,običajni pretok,11.0
7029,2025-04-23 00:30,2025-04-22 23:30,40,3.55,40.0,75.0,110.0,mali pretok,10.9
7029,2025-04-23 02:00,2025-04-23 01:00,44,4.33,40.0,75.0,110.0,običajni pretok,10.9
7029,2025-04-23 03:30,2025-04-23 02:30,39,3.36,40.0,75.0,110.0,mali pretok,10.8
7029,2025-04-23 04:30,2025-04-23 03:30,37,3.01,40.0,75.0,110.0,mali pretok,10.8
7029,2025-04-23 05:30,2025-04-23 04:30,45,4.53,40.0,75.0,110.0,običajni pretok,10.8
7029,2025-04-23 06:30,2025-04-23 05:30,42,3.93,40.0,75.0,110.0,mali pretok,10.8
