sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7060,2025-04-19 22:30,2025-04-19 21:30,160,23.5,120.0,160.0,220.0,običajni pretok,11.1
7060,2025-04-22 07:30,2025-04-22 06:30,147,17.6,120.0,160.0,220.0,običajni pretok,11.2
7060,2025-04-22 10:30,2025-04-22 09:30,147,17.6,120.0,160.0,220.0,običajni pretok,11.6
7060,2025-04-22 11:00,2025-04-22 10:00,147,17.6,120.0,160.0,220.0,običajni pretok,11.6
7060,2025-04-22 11:30,2025-04-22 10:30,146,17.1,120.0,160.0,220.0,običajni pretok,11.8
7060,2025-04-22 12:30,2025-04-22 11:30,146,17.1,120.0,160.0,220.0,običajni pretok,12.0
7060,2025-04-22 13:30,2025-04-22 12:30,146,17.1,120.0,160.0,220.0,običajni pretok,12.0
7060,2025-04-22 14:30,2025-04-22 13:30,146,17.1,120.0,160.0,220.0,običajni pretok,12.3
7060,2025-04-22 15:30,2025-04-22 14:30,145,16.7,120.0,160.0,220.0,običajni pretok,12.5
7060,2025-04-22 16:30,2025-04-22 15:30,145,16.7,120.0,160.0,220.0,običajni pretok,12.6
7060,2025-04-22 17:30,2025-04-22 16:30,144,16.3,120.0,160.0,220.0,običajni pretok,12.6
7060,2025-04-22 18:30,2025-04-22 17:30,145,16.7,120.0,160.0,220.0,običajni pretok,12.6
7060,2025-04-22 19:30,2025-04-22 18:30,146,17.1,120.0,160.0,220.0,običajni pretok,12.7
7060,2025-04-22 20:30,2025-04-22 19:30,145,16.7,120.0,160.0,220.0,običajni pretok,12.8
7060,2025-04-22 21:30,2025-04-22 20:30,144,16.3,120.0,160.0,220.0,običajni pretok,12.8
7060,2025-04-22 22:30,2025-04-22 21:30,144,16.3,120.0,160.0,220.0,običajni pretok,12.7
7060,2025-04-22 23:30,2025-04-22 22:30,144,16.3,120.0,160.0,220.0,običajni pretok,12.5
7060,2025-04-23 00:30,2025-04-22 23:30,144,16.3,120.0,160.0,220.0,običajni pretok,12.3
7060,2025-04-23 02:00,2025-04-23 01:00,144,16.3,120.0,160.0,220.0,običajni pretok,12
