sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7110,2025-04-19 22:30,2025-04-19 21:30,100,38.5,180.0,250.0,350.0,običajni pretok,12.2
7110,2025-04-22 07:30,2025-04-22 06:30,82,29.7,180.0,250.0,350.0,običajni pretok,12.5
7110,2025-04-22 10:30,2025-04-22 09:30,80,28.7,180.0,250.0,350.0,običajni pretok,12.7
7110,2025-04-22 11:00,2025-04-22 10:00,80,28.7,180.0,250.0,350.0,običajni pretok,12.8
7110,2025-04-22 11:30,2025-04-22 10:30,80,28.7,180.0,250.0,350.0,običajni pretok,12.9
7110,2025-04-22 12:30,2025-04-22 11:30,80,28.7,180.0,250.0,350.0,običajni pretok,13.3
7110,2025-04-22 13:30,2025-04-22 12:30,80,28.7,180.0,250.0,350.0,običajni pretok,13.7
7110,2025-04-22 14:30,2025-04-22 13:30,79,28.2,180.0,250.0,350.0,običajni pretok,14.0
7110,2025-04-22 15:30,2025-04-22 14:30,79,28.2,180.0,250.0,350.0,običajni pretok,14.4
7110,2025-04-22 16:30,2025-04-22 15:30,78,27.7,180.0,250.0,350.0,običajni pretok,14.7
7110,2025-04-22 17:30,2025-04-22 16:30,78,27.7,180.0,250.0,350.0,običajni pretok,14.9
7110,2025-04-22 18:30,2025-04-22 17:30,78,27.7,180.0,250.0,350.0,običajni pretok,15.1
7110,2025-04-22 19:30,2025-04-22 18:30,78,27.7,180.0,250.0,350.0,običajni pretok,15.1
7110,2025-04-22 20:30,2025-04-22 19:30,77,27.2,180.0,250.0,350.0,običajni pretok,14.9
7110,2025-04-22 21:30,2025-04-22 20:30,76,26.7,180.0,250.0,350.0,običajni pretok,14.9
7110,2025-04-22 22:30,2025-04-22 21:30,76,26.7,180.0,250.0,350.0,običajni pretok,14.7
7110,2025-04-22 23:30,2025-04-22 22:30,76,26.7,180.0,250.0,350.0,običajni pretok,14.6
7110,2025-04-23 00:30,2025-04-22 23:30,76,26.7,180.0,250.0,350.0,običajni pretok,14.4
7110,2025-04-23 02:00,2025-04-23 01:00,76,26.7,180.0,250.0,350.0,običajni pretok,14.0
7110,2025-04-23 03:30,2025-04-23 02:30,76,26.7,180.0,250.0,350.0,običajni pretok,13.6
7110,2025-04-23 04:30,2025-04-23 03:30,74,25.7,180.0,250.0,350.0,običajni pretok,13.4
7110,2025-04-23 05:30,2025-04-23 04:30,74,25.7,180.0,250.0,350.0,običajni pretok,13.2
7110,2025-04-23 06:30,2025-04-23 05:30,74,25.7,180.0,250.0,350.0,običajni pretok,13.1
7110,2025-04-23 07:30,2025-04-23 06:30,74,25.7,180.0,250.0,350.0,običajni pretok,13.0
7110,2025-04-23 08:30,2025-04-23 07:30,74,25.7,180.0,250.0,350.0,običajni pretok,13.0
7110,2025-04-23 09:30,2025-04-23 08:30,74,25.7,180.0,250.0,350.0,običajni pretok,13.0
7110,2025-04-23 10:30,2025-04-23 09:30,74,25.7,180.0,250.0,350.0,običajni pretok,13.0
