sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7160,2025-04-19 22:30,2025-04-19 21:30,96,42.9,200.0,300.0,380.0,običajni pretok,12.7
7160,2025-04-22 07:30,2025-04-22 06:30,89,33.7,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-22 10:30,2025-04-22 09:30,89,33.7,200.0,300.0,380.0,običajni pretok,14.1
7160,2025-04-22 11:00,2025-04-22 10:00,89,33.7,200.0,300.0,380.0,običajni pretok,14.3
7160,2025-04-22 11:30,2025-04-22 10:30,89,33.7,200.0,300.0,380.0,običajni pretok,14.6
7160,2025-04-22 12:30,2025-04-22 11:30,89,33.7,200.0,300.0,380.0,običajni pretok,14.9
7160,2025-04-22 13:30,2025-04-22 12:30,89,33.7,200.0,300.0,380.0,običajni pretok,15.2
7160,2025-04-22 14:30,2025-04-22 13:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.5
7160,2025-04-22 15:30,2025-04-22 14:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.7
7160,2025-04-22 16:30,2025-04-22 15:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.9
7160,2025-04-22 17:30,2025-04-22 16:30,89,33.7,200.0,300.0,380.0,običajni pretok,15.9
7160,2025-04-22 18:30,2025-04-22 17:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.9
7160,2025-04-22 19:30,2025-04-22 18:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.8
7160,2025-04-22 20:30,2025-04-22 19:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.7
7160,2025-04-22 21:30,2025-04-22 20:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.5
7160,2025-04-22 22:30,2025-04-22 21:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.3
7160,2025-04-22 23:30,2025-04-22 22:30,88,32.4,200.0,300.0,380.0,običajni pretok,15.1
7160,2025-04-23 00:30,2025-04-22 23:30,88,32.4,200.0,300.0,380.0,običajni pretok,14.9
7160,2025-04-23 02:00,2025-04-23 01:00,88,32.4,200.0,300.0,380.0,običajni pretok,14.7
7160,2025-04-23 03:30,2025-04-23 02:30,88,32.4,200.0,300.0,380.0,običajni pretok,14.3
7160,2025-04-23 04:30,2025-04-23 03:30,87,31.1,200.0,300.0,380.0,običajni pretok,14.2
7160,2025-04-23 05:30,2025-04-23 04:30,87,31.1,200.0,300.0,380.0,običajni pretok,14.2
7160,2025-04-23 06:30,2025-04-23 05:30,87,31.1,200.0,300.0,380.0,običajni pretok,14.1
7160,2025-04-23 07:30,2025-04-23 06:30,87,31.1,200.0,300.0,380.0,običajni pretok,14.1
7160,2025-04-23 08:30,2025-04-23 07:30,87,31.1,200.0,300.0,380.0,običajni pretok,14.2
7160,2025-04-23 09:30,2025-04-23 08:30,87,31.1,200.0,300.0,380.0,običajni pretok,14.3
7160,2025-04-23 10:30,2025-04-23 09:30,86,29.9,200.0,300.0,380.0,običajni pretok,14.4
7160,2025-04-23 11:30,2025-04-23 10:30,86,29.9,200.0,300.0,380.0,običajni pretok,14.7
7160,2025-04-23 12:30,2025-04-23 11:30,87,31.1,200.0,300.0,380.0,običajni pretok,14.9
7160,2025-04-23 13:30,2025-04-23 12:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.0
7160,2025-04-23 14:30,2025-04-23 13:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.4
7160,2025-04-23 15:30,2025-04-23 14:30,87,31.1,200.0,300.0,380.0,običajni pretok,15.5
7160,2025-04-23 16:30,2025-04-23 15:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.7
7160,2025-04-23 17:30,2025-04-23 16:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.8
7160,2025-04-23 18:30,2025-04-23 17:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.7
7160,2025-04-23 19:30,2025-04-23 18:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.7
7160,2025-04-23 20:30,2025-04-23 19:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.7
7160,2025-04-23 21:30,2025-04-23 20:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.6
7160,2025-04-23 22:30,2025-04-23 21:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.5
7160,2025-04-23 23:30,2025-04-23 22:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.4
7160,2025-04-24 00:30,2025-04-23 23:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.3
7160,2025-04-24 02:00,2025-04-24 01:00,85,28.6,200.0,300.0,380.0,običajni pretok,15.1
7160,2025-04-24 03:30,2025-04-24 02:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.8
7160,2025-04-24 04:30,2025-04-24 03:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.5
7160,2025-04-24 05:30,2025-04-24 04:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.3
7160,2025-04-24 06:30,2025-04-24 05:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.2
7160,2025-04-24 07:30,2025-04-24 06:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.1
7160,2025-04-24 08:30,2025-04-24 07:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.2
7160,2025-04-24 09:30,2025-04-24 08:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.2
7160,2025-04-24 10:30,2025-04-24 09:30,84,27.4,200.0,300.0,380.0,običajni pretok,14.3
7160,2025-04-24 11:30,2025-04-24 10:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.7
7160,2025-04-24 12:30,2025-04-24 11:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.8
7160,2025-04-24 13:30,2025-04-24 12:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.8
7160,2025-04-24 14:30,2025-04-24 13:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.9
7160,2025-04-24 15:30,2025-04-24 14:30,85,28.6,200.0,300.0,380.0,običajni pretok,14.9
7160,2025-04-24 16:30,2025-04-24 15:30,85,28.6,200.0,300.0,380.0,običajni pretok,15.0
7160,2025-04-24 17:30,2025-04-24 16:30,85,28.6,200.0,300.0,380.0,običajni pretok,15.1
7160,2025-04-24 18:30,2025-04-24 17:30,85,28.6,200.0,300.0,380.0,običajni pretok,15.1
7160,2025-04-24 19:30,2025-04-24 18:30,85,28.6,200.0,300.0,380.0,običajni pretok,15.2
7160,2025-04-24 20:30,2025-04-24 19:30,85,28.6,200.0,300.0,380.0,običajni pretok,15.2
7160,2025-04-24 21:30,2025-04-24 20:30,85,28.6,200.0,300.0,380.0,običajni pretok,15.1
7160,2025-04-24 22:30,2025-04-24 21:30,85,28.6,200.0,300.0,380.0,običajni pretok,15.1
7160,2025-04-24 23:30,2025-04-24 22:30,86,29.9,200.0,300.0,380.0,običajni pretok,15.0
7160,2025-04-25 00:30,2025-04-24 23:30,86,29.9,200.0,300.0,380.0,običajni pretok,14.9
7160,2025-04-25 02:00,2025-04-25 01:00,88,32.4,200.0,300.0,380.0,običajni pretok,14.8
7160,2025-04-25 03:30,2025-04-25 02:30,89,33.7,200.0,300.0,380.0,običajni pretok,14.6
7160,2025-04-25 04:30,2025-04-25 03:30,90,35.0,200.0,300.0,380.0,običajni pretok,14.4
7160,2025-04-25 05:30,2025-04-25 04:30,91,36.3,200.0,300.0,380.0,običajni pretok,14.2
7160,2025-04-25 06:30,2025-04-25 05:30,91,36.3,200.0,300.0,380.0,običajni pretok,14.0
7160,2025-04-25 07:30,2025-04-25 06:30,91,36.3,200.0,300.0,380.0,običajni pretok,13.8
7160,2025-04-25 08:30,2025-04-25 07:30,92,37.6,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 09:30,2025-04-25 08:30,92,37.6,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 10:30,2025-04-25 09:30,91,36.3,200.0,300.0,380.0,običajni pretok,13.6
7160,2025-04-25 11:30,2025-04-25 10:30,92,37.6,200.0,300.0,380.0,običajni pretok,13.6
7160,2025-04-25 12:30,2025-04-25 11:30,93,38.9,200.0,300.0,380.0,običajni pretok,13.6
7160,2025-04-25 13:30,2025-04-25 12:30,93,38.9,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 14:30,2025-04-25 13:30,93,38.9,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 15:30,2025-04-25 14:30,94,40.2,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 16:30,2025-04-25 15:30,94,40.2,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 17:30,2025-04-25 16:30,96,42.9,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 18:30,2025-04-25 17:30,97,44.2,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 19:30,2025-04-25 18:30,98,45.6,200.0,300.0,380.0,običajni pretok,13.7
7160,2025-04-25 20:30,2025-04-25 19:30,100,48.3,200.0,300.0,380.0,običajni pretok,13.6
7160,2025-04-25 21:30,2025-04-25 20:30,103,52.5,200.0,300.0,380.0,običajni pretok,13.5
7160,2025-04-25 22:30,2025-04-25 21:30,105,55.3,200.0,300.0,380.0,običajni pretok,13.3
7160,2025-04-25 23:30,2025-04-25 22:30,107,58.2,200.0,300.0,380.0,običajni pretok,13.2
7160,2025-04-26 00:30,2025-04-25 23:30,109,61.0,200.0,300.0,380.0,običajni pretok,13.1
7160,2025-04-26 02:00,2025-04-26 01:00,112,65.0,200.0,300.0,380.0,običajni pretok,13.0
7160,2025-04-26 03:30,2025-04-26 02:30,115,68.6,200.0,300.0,380.0,običajni pretok,12.9
7160,2025-04-26 04:30,2025-04-26 03:30,118,72.1,200.0,300.0,380.0,običajni pretok,12.9
7160,2025-04-26 05:30,2025-04-26 04:30,120,74.3,200.0,300.0,380.0,običajni pretok,12.9
7160,2025-04-26 06:30,2025-04-26 05:30,124,78.6,200.0,300.0,380.0,običajni pretok,12.9
7160,2025-04-26 07:30,2025-04-26 06:30,128,82.6,200.0,300.0,380.0,običajni pretok,12.9
7160,2025-04-26 08:30,2025-04-26 07:30,132,86.5,200.0,300.0,380.0,običajni pretok,12.9
7160,2025-04-26 09:30,2025-04-26 08:30,137,91.0,200.0,300.0,380.0,običajni pretok,12.9
7160,2025-04-26 10:30,2025-04-26 09:30,143,96.3,200.0,300.0,380.0,običajni pretok,12.8
7160,2025-04-26 11:30,2025-04-26 10:30,148,101.0,200.0,300.0,380.0,običajni pretok,12.6
