sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7488,2025-04-19 22:30,2025-04-19 21:30,68,2.48,14.0,16.0,18.0,običajni pretok,9.6
7488,2025-04-22 07:30,2025-04-22 06:30,60,1.2,14.0,16.0,18.0,običajni pretok,9.2
7488,2025-04-22 10:30,2025-04-22 09:30,60,1.2,14.0,16.0,18.0,običajni pretok,9.4
7488,2025-04-22 11:00,2025-04-22 10:00,60,1.2,14.0,16.0,18.0,običajni pretok,9.5
7488,2025-04-22 11:30,2025-04-22 10:30,60,1.2,14.0,16.0,18.0,običajni pretok,9.7
7488,2025-04-22 12:30,2025-04-22 11:30,60,1.2,14.0,16.0,18.0,običajni pretok,10.0
7488,2025-04-22 13:30,2025-04-22 12:30,60,1.2,14.0,16.0,18.0,običajni pretok,10.3
7488,2025-04-22 14:30,2025-04-22 13:30,60,1.2,14.0,16.0,18.0,običajni pretok,10.7
7488,2025-04-22 15:30,2025-04-22 14:30,60,1.2,14.0,16.0,18.0,običajni pretok,11.2
7488,2025-04-22 16:30,2025-04-22 15:30,60,1.2,14.0,16.0,18.0,običajni pretok,11.6
7488,2025-04-22 17:30,2025-04-22 16:30,59,1.09,14.0,16.0,18.0,običajni pretok,11.9
7488,2025-04-22 18:30,2025-04-22 17:30,59,1.09,14.0,16.0,18.0,običajni pretok,12.1
7488,2025-04-22 19:30,2025-04-22 18:30,59,1.09,14.0,16.0,18.0,običajni pretok,12.2
7488,2025-04-22 20:30,2025-04-22 19:30,59,1.09,14.0,16.0,18.0,običajni pretok,12.2
7488,2025-04-22 21:30,2025-04-22 20:30,59,1.09,14.0,16.0,18.0,običajni pretok,12.1
7488,2025-04-22 22:30,2025-04-22 21:30,59,1.09,14.0,16.0,18.0,običajni pretok,12.0
7488,2025-04-22 23:30,2025-04-22 22:30,59,1.09,14.0,16.0,18.0,običajni pretok,11.8
7488,2025-04-23 00:30,2025-04-22 23:30,59,1.09,14.0,16.0,18.0,običajni pretok,11.6
7488,2025-04-23 02:00,2025-04-23 01:00,59,1.09,14.0,16.0,18.0,običajni pretok,11.2
7488,2025-04-23 03:30,2025-04-23 02:30,59,1.09,14.0,16.0,18.0,običajni pretok,10.7
7488,2025-04-23 04:30,2025-04-23 03:30,58,0.982,14.0,16.0,18.0,običajni pretok,10.4
7488,2025-04-23 05:30,2025-04-23 04:30,58,0.982,14.0,16.0,18.0,običajni pretok,10.1
