sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
7498,2025-04-19 22:30,2025-04-19 21:30,124,,,,,,8.0
7498,2025-04-22 07:30,2025-04-22 06:30,117,,,,,,8.1
7498,2025-04-22 10:30,2025-04-22 09:30,120,,,,,,8.4
7498,2025-04-22 11:00,2025-04-22 10:00,120,,,,,,8.4
7498,2025-04-22 11:30,2025-04-22 10:30,120,,,,,,8.4
7498,2025-04-22 12:30,2025-04-22 11:30,120,,,,,,8.4
7498,2025-04-22 13:30,2025-04-22 12:30,120,,,,,,8.4
7498,2025-04-22 14:30,2025-04-22 13:30,121,,,,,,8.5
7498,2025-04-22 15:30,2025-04-22 14:30,120,,,,,,8.5
7498,2025-04-22 16:30,2025-04-22 15:30,120,,,,,,8.5
7498,2025-04-22 17:30,2025-04-22 16:30,119,,,,,,8.4
7498,2025-04-22 18:30,2025-04-22 17:30,118,,,,,,8.3
7498,2025-04-22 19:30,2025-04-22 18:30,118,,,,,,8.2
7498,2025-04-22 20:30,2025-04-22 19:30,118,,,,,,8.2
7498,2025-04-22 21:30,2025-04-22 20:30,119,,,,,,8.1
7498,2025-04-22 22:30,2025-04-22 21:30,120,,,,,,8.1
7498,2025-04-22 23:30,2025-04-22 22:30,120,,,,,,8.1
7498,2025-04-23 00:30,2025-04-22 23:30,120,,,,,,8.0
7498,2025-04-23 02:00,2025-04-23 01:00,121,,,,,,8.0
7498,2025-04-23 03:30,2025-04-23 02:30,121,,,,,,8.0
7498,2025-04-23 04:30,2025-04-23 03:30,121,,,,,,8.0
7498,2025-04-23 05:30,2025-04-23 04:30,121,,,,,,8.0
7498,2025-04-23 06:30,2025-04-23 05:30,120,,,,,,8.0
7498,2025-04-23 07:30,2025-04-23 06:30,120,,,,,,8.0
7498,2025-04-23 08:30,2025-04-23 07:30,121,,,,,,8.1
7498,2025-04-23 09:30,2025-04-23 08:30,121,,,,,,8.1
7498,2025-04-23 10:30,2025-04-23 09:30,121,,,,,,8.1
7498,2025-04-23 11:30,2025-04-23 10:30,122,,,,,,8.2
7498,2025-04-23 12:30,2025-04-23 11:30,122,,,,,,8.3
7498,2025-04-23 13:30,2025-04-23 12:30,122,,,,,,8.4
7498,2025-04-23 14:30,2025-04-23 13:30,123,,,,,,8.4
7498,2025-04-23 15:30,2025-04-23 14:30,123,,,,,,8.5
7498,2025-04-23 16:30,2025-04-23 15:30,122,,,,,,8.4
7498,2025-04-23 17:30,2025-04-23 16:30,122,,,,,,8.4
7498,2025-04-23 18:30,2025-04-23 17:30,121,,,,,,8.2
7498,2025-04-23 19:30,2025-04-23 18:30,120,,,,,,8.2
7498,2025-04-23 20:30,2025-04-23 19:30,120,,,,,,8.1
7498,2025-04-23 21:30,2025-04-23 20:30,120,,,,,,8.1
7498,2025-04-23 22:30,2025-04-23 21:30,119,,,,,,8.1
7498,2025-04-23 23:30,2025-04-23 22:30,119,,,,,,8.0
7498,2025-04-24 00:30,2025-04-23 23:30,118,,,,,,8.0
7498,2025-04-24 02:00,2025-04-24 01:00,118,,,,,,8.0
7498,2025-04-24 03:30,2025-04-24 02:30,119,,,,,,8.0
7498,2025-04-24 04:30,2025-04-24 03:30,118,,,,,,8.0
7498,2025-04-24 05:30,2025-04-24 04:30,118,,,,,,8.0
7498,2025-04-24 06:30,2025-04-24 05:30,117,,,,,,8.0
7498,2025-04-24 07:30,2025-04-24 06:30,118,,,,,,8.0
7498,2025-04-24 08:30,2025-04-24 07:30,118,,,,,,8.1
7498,2025-04-24 09:30,2025-04-24 08:30,119,,,,,,8.1
7498,2025-04-24 10:30,2025-04-24 09:30,119,,,,,,8.2
7498,2025-04-24 11:30,2025-04-24 10:30,120,,,,,,8.2
7498,2025-04-24 12:30,2025-04-24 11:30,119,,,,,,8.3
7498,2025-04-24 13:30,2025-04-24 12:30,121,,,,,,8.5
7498,2025-04-24 14:30,2025-04-24 13:30,122,,,,,,8.6
7498,2025-04-24 15:30,2025-04-24 14:30,121,,,,,,8.5
7498,2025-04-24 16:30,2025-04-24 15:30,120,,,,,,8.3
7498,2025-04-24 17:30,2025-04-24 16:30,120,,,,,,8.2
7498,2025-04-24 18:30,2025-04-24 17:30,120,,,,,,8.2
7498,2025-04-24 19:30,2025-04-24 18:30,121,,,,,,8.2
7498,2025-04-24 20:30,2025-04-24 19:30,122,,,,,,8.1
7498,2025-04-24 21:30,2025-04-24 20:30,122,,,,,,8.1
7498,2025-04-24 22:30,2025-04-24 21:30,123,,,,,,8.1
7498,2025-04-24 23:30,2025-04-24 22:30,123,,,,,,8.1
7498,2025-04-25 00:30,2025-04-24 23:30,123,,,,,,8.1
7498,2025-04-25 02:00,2025-04-25 01:00,123,,,,,,8.1
7498,2025-04-25 03:30,2025-04-25 02:30,124,,,,,,8.0
7498,2025-04-25 04:30,2025-04-25 03:30,124,,,,,,8.0
7498,2025-04-25 05:30,2025-04-25 04:30,124,,,,,,8.0
7498,2025-04-25 06:30,2025-04-25 05:30,123,,,,,,8.1
7498,2025-04-25 07:30,2025-04-25 06:30,124,,,,,,8.1
7498,2025-04-25 08:30,2025-04-25 07:30,129,,,,,,8.0
7498,2025-04-25 09:30,2025-04-25 08:30,140,,,,,,8.1
7498,2025-04-25 10:30,2025-04-25 09:30,151,,,,,,8.1
7498,2025-04-25 11:30,2025-04-25 10:30,158,,,,,,8.1
7498,2025-04-25 12:30,2025-04-25 11:30,163,,,,,,8.1
7498,2025-04-25 13:30,2025-04-25 12:30,166,,,,,,8.1
7498,2025-04-25 14:30,2025-04-25 13:30,169,,,,,,8.1
7498,2025-04-25 15:30,2025-04-25 14:30,170,,,,,,8.1
7498,2025-04-25 16:30,2025-04-25 15:30,171,,,,,,8.1
7498,2025-04-25 17:30,2025-04-25 16:30,172,,,,,,8.1
7498,2025-04-25 18:30,2025-04-25 17:30,174,,,,,,8.1
7498,2025-04-25 19:30,2025-04-25 18:30,181,,,,,,8.1
7498,2025-04-25 20:30,2025-04-25 19:30,193,,,,,,8.1
7498,2025-04-25 21:30,2025-04-25 20:30,206,,,,,,8.1
7498,2025-04-25 22:30,2025-04-25 21:30,219,,,,,,8.1
7498,2025-04-25 23:30,2025-04-25 22:30,231,,,,,,8.1
7498,2025-04-26 00:30,2025-04-25 23:30,239,,,,,,8.1
7498,2025-04-26 02:00,2025-04-26 01:00,246,,,,,,8.1
7498,2025-04-26 03:30,2025-04-26 02:30,247,,,,,,8.1
7498,2025-04-26 04:30,2025-04-26 03:30,246,,,,,,8.1
7498,2025-04-26 05:30,2025-04-26 04:30,245,,,,,,8.1
7498,2025-04-26 06:30,2025-04-26 05:30,245,,,,,,8.1
7498,2025-04-26 07:30,2025-04-26 06:30,245,,,,,,8.1
7498,2025-04-26 08:30,2025-04-26 07:30,246,,,,,,8.1
7498,2025-04-26 09:30,2025-04-26 08:30,249,,,,,,8.1
7498,2025-04-26 10:30,2025-04-26 09:30,251,,,,,,8.1
7498,2025-04-26 11:30,2025-04-26 10:30,253,,,,,,8.1
7498,2025-04-26 12:30,2025-04-26 11:30,255,,,,,,8.1
7498,2025-04-26 13:30,2025-04-26 12:30,257,,,,,,8.1
7498,2025-04-26 14:30,2025-04-26 13:30,258,,,,,,8.1
7498,2025-04-26 15:30,2025-04-26 14:30,259,,,,,,8.1
7498,2025-04-26 16:30,2025-04-26 15:30,260,,,,,,8.1
7498,2025-04-26 17:30,2025-04-26 16:30,260,,,,,,8.0
7498,2025-04-26 18:30,2025-04-26 17:30,261,,,,,,8.0
7498,2025-04-26 19:30,2025-04-26 18:30,262,,,,,,8.0
7498,2025-04-26 20:30,2025-04-26 19:30,262,,,,,,8.0
7498,2025-04-26 21:30,2025-04-26 20:30,262,,,,,,8.0
7498,2025-04-26 22:30,2025-04-26 21:30,262,,,,,,8
