sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8031,2025-04-19 22:30,2025-04-19 21:30,140,26.5,180.0,320.0,440.0,veliki pretok,7.7
8031,2025-04-22 07:30,2025-04-22 06:30,132,21.6,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-22 10:30,2025-04-22 09:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.0
8031,2025-04-22 11:00,2025-04-22 10:00,131,21.0,180.0,320.0,440.0,običajni pretok,8.2
8031,2025-04-22 11:30,2025-04-22 10:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.5
8031,2025-04-22 12:30,2025-04-22 11:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.8
8031,2025-04-22 13:30,2025-04-22 12:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.9
8031,2025-04-22 14:30,2025-04-22 13:30,130,20.4,180.0,320.0,440.0,običajni pretok,9.0
8031,2025-04-22 15:30,2025-04-22 14:30,130,20.4,180.0,320.0,440.0,običajni pretok,9.1
8031,2025-04-22 16:30,2025-04-22 15:30,131,21.0,180.0,320.0,440.0,običajni pretok,9.2
8031,2025-04-22 17:30,2025-04-22 16:30,131,21.0,180.0,320.0,440.0,običajni pretok,9.0
8031,2025-04-22 18:30,2025-04-22 17:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.8
8031,2025-04-22 19:30,2025-04-22 18:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.5
8031,2025-04-22 20:30,2025-04-22 19:30,132,21.6,180.0,320.0,440.0,običajni pretok,8.2
8031,2025-04-22 21:30,2025-04-22 20:30,132,21.6,180.0,320.0,440.0,običajni pretok,8.0
8031,2025-04-22 22:30,2025-04-22 21:30,133,22.2,180.0,320.0,440.0,običajni pretok,7.8
8031,2025-04-22 23:30,2025-04-22 22:30,133,22.2,180.0,320.0,440.0,običajni pretok,7.7
8031,2025-04-23 00:30,2025-04-22 23:30,133,22.2,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-23 02:00,2025-04-23 01:00,133,22.2,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-23 03:30,2025-04-23 02:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-23 04:30,2025-04-23 03:30,132,21.6,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-23 05:30,2025-04-23 04:30,132,21.6,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-23 06:30,2025-04-23 05:30,132,21.6,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-23 07:30,2025-04-23 06:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-23 08:30,2025-04-23 07:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.7
8031,2025-04-23 09:30,2025-04-23 08:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.7
8031,2025-04-23 10:30,2025-04-23 09:30,130,20.4,180.0,320.0,440.0,običajni pretok,7.8
8031,2025-04-23 11:30,2025-04-23 10:30,130,20.4,180.0,320.0,440.0,običajni pretok,7.9
8031,2025-04-23 12:30,2025-04-23 11:30,130,20.4,180.0,320.0,440.0,običajni pretok,8.1
8031,2025-04-23 13:30,2025-04-23 12:30,130,20.4,180.0,320.0,440.0,običajni pretok,8.3
8031,2025-04-23 14:30,2025-04-23 13:30,129,19.8,180.0,320.0,440.0,običajni pretok,8.7
8031,2025-04-23 15:30,2025-04-23 14:30,129,19.8,180.0,320.0,440.0,običajni pretok,8.9
8031,2025-04-23 16:30,2025-04-23 15:30,129,19.8,180.0,320.0,440.0,običajni pretok,8.8
8031,2025-04-23 17:30,2025-04-23 16:30,129,19.8,180.0,320.0,440.0,običajni pretok,8.7
8031,2025-04-23 18:30,2025-04-23 17:30,130,20.4,180.0,320.0,440.0,običajni pretok,8.5
8031,2025-04-23 19:30,2025-04-23 18:30,130,20.4,180.0,320.0,440.0,običajni pretok,8.5
8031,2025-04-23 20:30,2025-04-23 19:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.4
8031,2025-04-23 21:30,2025-04-23 20:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.2
8031,2025-04-23 22:30,2025-04-23 21:30,131,21.0,180.0,320.0,440.0,običajni pretok,8.1
8031,2025-04-23 23:30,2025-04-23 22:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.9
8031,2025-04-24 00:30,2025-04-23 23:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.8
8031,2025-04-24 02:00,2025-04-24 01:00,131,21.0,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-24 03:30,2025-04-24 02:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-24 04:30,2025-04-24 03:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-24 05:30,2025-04-24 04:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-24 06:30,2025-04-24 05:30,131,21.0,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-24 07:30,2025-04-24 06:30,130,20.4,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-24 08:30,2025-04-24 07:30,130,20.4,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-24 09:30,2025-04-24 08:30,129,19.8,180.0,320.0,440.0,običajni pretok,7.7
8031,2025-04-24 10:30,2025-04-24 09:30,129,19.8,180.0,320.0,440.0,običajni pretok,7.9
8031,2025-04-24 11:30,2025-04-24 10:30,128,19.3,180.0,320.0,440.0,običajni pretok,8.1
8031,2025-04-24 12:30,2025-04-24 11:30,128,19.3,180.0,320.0,440.0,običajni pretok,8.2
8031,2025-04-24 13:30,2025-04-24 12:30,128,19.3,180.0,320.0,440.0,običajni pretok,8.6
8031,2025-04-24 14:30,2025-04-24 13:30,127,18.7,180.0,320.0,440.0,običajni pretok,9.1
8031,2025-04-24 15:30,2025-04-24 14:30,127,18.7,180.0,320.0,440.0,običajni pretok,9.0
8031,2025-04-24 16:30,2025-04-24 15:30,128,19.3,180.0,320.0,440.0,običajni pretok,8.7
8031,2025-04-24 17:30,2025-04-24 16:30,127,18.7,180.0,320.0,440.0,običajni pretok,8.5
8031,2025-04-24 18:30,2025-04-24 17:30,128,19.3,180.0,320.0,440.0,običajni pretok,8.3
8031,2025-04-24 19:30,2025-04-24 18:30,128,19.3,180.0,320.0,440.0,običajni pretok,8.2
8031,2025-04-24 20:30,2025-04-24 19:30,129,19.8,180.0,320.0,440.0,običajni pretok,8.0
8031,2025-04-24 21:30,2025-04-24 20:30,132,21.6,180.0,320.0,440.0,običajni pretok,7.9
8031,2025-04-24 22:30,2025-04-24 21:30,134,22.8,180.0,320.0,440.0,običajni pretok,7.7
8031,2025-04-24 23:30,2025-04-24 22:30,135,23.4,180.0,320.0,440.0,običajni pretok,7.6
8031,2025-04-25 00:30,2025-04-24 23:30,135,23.4,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-25 02:00,2025-04-25 01:00,135,23.4,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-25 03:30,2025-04-25 02:30,134,22.8,180.0,320.0,440.0,običajni pretok,7.4
8031,2025-04-25 04:30,2025-04-25 03:30,133,22.2,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-25 05:30,2025-04-25 04:30,132,21.6,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-25 06:30,2025-04-25 05:30,132,21.6,180.0,320.0,440.0,običajni pretok,7.5
8031,2025-04-25 07:30,2025-04-25 06:30,132,21.6,180.0,320.0,440.0,običajni pretok,7.5
