sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8080,2025-04-19 22:30,2025-04-19 21:30,148,71.5,400.0,600.0,750.0,veliki pretok,8.3
8080,2025-04-22 07:30,2025-04-22 06:30,130,55.2,400.0,600.0,750.0,običajni pretok,8.1
8080,2025-04-22 10:30,2025-04-22 09:30,129,54.3,400.0,600.0,750.0,običajni pretok,8.3
8080,2025-04-22 11:00,2025-04-22 10:00,129,54.3,400.0,600.0,750.0,običajni pretok,8.5
8080,2025-04-22 11:30,2025-04-22 10:30,129,54.3,400.0,600.0,750.0,običajni pretok,8.6
8080,2025-04-22 12:30,2025-04-22 11:30,128,53.5,400.0,600.0,750.0,običajni pretok,8.9
8080,2025-04-22 13:30,2025-04-22 12:30,128,53.5,400.0,600.0,750.0,običajni pretok,9.2
8080,2025-04-22 14:30,2025-04-22 13:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.7
8080,2025-04-22 15:30,2025-04-22 14:30,126,51.8,400.0,600.0,750.0,običajni pretok,10.0
8080,2025-04-22 16:30,2025-04-22 15:30,126,51.8,400.0,600.0,750.0,običajni pretok,10.2
8080,2025-04-22 17:30,2025-04-22 16:30,126,51.8,400.0,600.0,750.0,običajni pretok,10.3
8080,2025-04-22 18:30,2025-04-22 17:30,125,51.0,400.0,600.0,750.0,običajni pretok,10.1
8080,2025-04-22 19:30,2025-04-22 18:30,125,51.0,400.0,600.0,750.0,običajni pretok,9.8
8080,2025-04-22 20:30,2025-04-22 19:30,126,51.8,400.0,600.0,750.0,običajni pretok,9.6
8080,2025-04-22 21:30,2025-04-22 20:30,126,51.8,400.0,600.0,750.0,običajni pretok,9.5
8080,2025-04-22 22:30,2025-04-22 21:30,126,51.8,400.0,600.0,750.0,običajni pretok,9.2
8080,2025-04-22 23:30,2025-04-22 22:30,126,51.8,400.0,600.0,750.0,običajni pretok,9.0
8080,2025-04-23 00:30,2025-04-22 23:30,127,52.6,400.0,600.0,750.0,običajni pretok,8.8
8080,2025-04-23 02:00,2025-04-23 01:00,127,52.6,400.0,600.0,750.0,običajni pretok,8.5
8080,2025-04-23 03:30,2025-04-23 02:30,127,52.6,400.0,600.0,750.0,običajni pretok,8.4
8080,2025-04-23 04:30,2025-04-23 03:30,127,52.6,400.0,600.0,750.0,običajni pretok,8.3
8080,2025-04-23 05:30,2025-04-23 04:30,127,52.6,400.0,600.0,750.0,običajni pretok,8.3
8080,2025-04-23 06:30,2025-04-23 05:30,127,52.6,400.0,600.0,750.0,običajni pretok,8.3
8080,2025-04-23 07:30,2025-04-23 06:30,127,52.6,400.0,600.0,750.0,običajni pretok,8.3
8080,2025-04-23 08:30,2025-04-23 07:30,126,51.8,400.0,600.0,750.0,običajni pretok,8.3
8080,2025-04-23 09:30,2025-04-23 08:30,126,51.8,400.0,600.0,750.0,običajni pretok,8.4
8080,2025-04-23 10:30,2025-04-23 09:30,126,51.8,400.0,600.0,750.0,običajni pretok,8.4
8080,2025-04-23 11:30,2025-04-23 10:30,126,51.8,400.0,600.0,750.0,običajni pretok,8.5
8080,2025-04-23 12:30,2025-04-23 11:30,126,51.8,400.0,600.0,750.0,običajni pretok,8.6
8080,2025-04-23 13:30,2025-04-23 12:30,126,51.8,400.0,600.0,750.0,običajni pretok,8.8
8080,2025-04-23 14:30,2025-04-23 13:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.1
8080,2025-04-23 15:30,2025-04-23 14:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.4
8080,2025-04-23 16:30,2025-04-23 15:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.6
8080,2025-04-23 17:30,2025-04-23 16:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.9
8080,2025-04-23 18:30,2025-04-23 17:30,126,51.8,400.0,600.0,750.0,običajni pretok,9.9
8080,2025-04-23 19:30,2025-04-23 18:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.8
8080,2025-04-23 20:30,2025-04-23 19:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.6
8080,2025-04-23 21:30,2025-04-23 20:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.4
8080,2025-04-23 22:30,2025-04-23 21:30,127,52.6,400.0,600.0,750.0,običajni pretok,9.2
8080,2025-04-23 23:30,2025-04-23 22:30,128,53.5,400.0,600.0,750.0,običajni pretok,9.0
8080,2025-04-24 00:30,2025-04-23 23:30,128,53.5,400.0,600.0,750.0,običajni pretok,8.8
8080,2025-04-24 02:00,2025-04-24 01:00,128,53.5,400.0,600.0,750.0,običajni pretok,8.6
8080,2025-04-24 03:30,2025-04-24 02:30,128,53.5,400.0,600.0,750.0,običajni pretok,8.4
8080,2025-04-24 04:30,2025-04-24 03:30,128,53.5,400.0,600.0,750.0,običajni pretok,8.3
8080,2025-04-24 05:30,2025-04-24 04:30,128,53.5,400.0,600.0,750.0,običajni pretok,8.2
8080,2025-04-24 06:30,2025-04-24 05:30,128,53.5,400.0,600.0,750.0,običajni pretok,8.1
8080,2025-04-24 07:30,2025-04-24 06:30,127,52.6,400.0,600.0,750.0,običajni pretok,8.1
8080,2025-04-24 08:30,2025-04-24 07:30,127,52.6,400.0,600.0,750.0,običajni pretok,8.1
