sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8332,2025-04-19 22:30,2025-04-19 21:30,129,24.5,105.0,135.0,165.0,veliki pretok,7.9
8332,2025-04-22 07:30,2025-04-22 06:30,119,16.8,105.0,135.0,165.0,običajni pretok,7.8
8332,2025-04-22 10:30,2025-04-22 09:30,118,16.2,105.0,135.0,165.0,običajni pretok,8.0
8332,2025-04-22 11:00,2025-04-22 10:00,117,15.5,105.0,135.0,165.0,običajni pretok,8.0
8332,2025-04-22 11:30,2025-04-22 10:30,117,15.5,105.0,135.0,165.0,običajni pretok,8.2
8332,2025-04-22 12:30,2025-04-22 11:30,117,15.5,105.0,135.0,165.0,običajni pretok,8.6
8332,2025-04-22 13:30,2025-04-22 12:30,116,14.9,105.0,135.0,165.0,običajni pretok,8.8
8332,2025-04-22 14:30,2025-04-22 13:30,116,14.9,105.0,135.0,165.0,običajni pretok,9.0
8332,2025-04-22 15:30,2025-04-22 14:30,116,14.9,105.0,135.0,165.0,običajni pretok,9.0
8332,2025-04-22 16:30,2025-04-22 15:30,115,14.3,105.0,135.0,165.0,običajni pretok,8.9
8332,2025-04-22 17:30,2025-04-22 16:30,115,14.3,105.0,135.0,165.0,običajni pretok,8.8
8332,2025-04-22 18:30,2025-04-22 17:30,115,14.3,105.0,135.0,165.0,običajni pretok,8.7
8332,2025-04-22 19:30,2025-04-22 18:30,115,14.3,105.0,135.0,165.0,običajni pretok,8.5
8332,2025-04-22 20:30,2025-04-22 19:30,115,14.3,105.0,135.0,165.0,običajni pretok,8.3
8332,2025-04-22 21:30,2025-04-22 20:30,116,14.9,105.0,135.0,165.0,običajni pretok,8.2
8332,2025-04-22 22:30,2025-04-22 21:30,116,14.9,105.0,135.0,165.0,običajni pretok,8.1
8332,2025-04-22 23:30,2025-04-22 22:30,116,14.9,105.0,135.0,165.0,običajni pretok,8.0
8332,2025-04-23 00:30,2025-04-22 23:30,117,15.5,105.0,135.0,165.0,običajni pretok,8.0
8332,2025-04-23 02:00,2025-04-23 01:00,116,14.9,105.0,135.0,165.0,običajni pretok,8.0
8332,2025-04-23 03:30,2025-04-23 02:30,116,14.9,105.0,135.0,165.0,običajni pretok,7.9
8332,2025-04-23 04:30,2025-04-23 03:30,116,14.9,105.0,135.0,165.0,običajni pretok,7.9
8332,2025-04-23 05:30,2025-04-23 04:30,116,14.9,105.0,135.0,165.0,običajni pretok,7.9
8332,2025-04-23 06:30,2025-04-23 05:30,116,14.9,105.0,135.0,165.0,običajni pretok,7.9
8332,2025-04-23 07:30,2025-04-23 06:30,115,14.3,105.0,135.0,165.0,običajni pretok,7.9
8332,2025-04-23 08:30,2025-04-23 07:30,115,14.3,105.0,135.0,165.0,običajni pretok,7.9
8332,2025-04-23 09:30,2025-04-23 08:30,114,13.7,105.0,135.0,165.0,običajni pretok,8.0
8332,2025-04-23 10:30,2025-04-23 09:30,114,13.7,105.0,135.0,165.0,običajni pretok,8.1
8332,2025-04-23 11:30,2025-04-23 10:30,114,13.7,105.0,135.0,165.0,običajni pretok,8.1
8332,2025-04-23 12:30,2025-04-23 11:30,114,13.7,105.0,135.0,165.0,običajni pretok,8.1
8332,2025-04-23 13:30,2025-04-23 12:30,113,13.1,105.0,135.0,165.0,običajni pretok,8.4
8332,2025-04-23 14:30,2025-04-23 13:30,114,13.7,105.0,135.0,165.0,običajni pretok,8.6
8332,2025-04-23 15:30,2025-04-23 14:30,113,13.1,105.0,135.0,165.0,običajni pretok,8.8
8332,2025-04-23 16:30,2025-04-23 15:30,113,13.1,105.0,135.0,165.0,običajni pretok,9.0
8332,2025-04-23 17:30,2025-04-23 16:30,113,13.1,105.0,135.0,165.0,običajni pretok,8.8
8332,2025-04-23 18:30,2025-04-23 17:30,113,13.1,105.0,135.0,165.0,običajni pretok,8.8
8332,2025-04-23 19:30,2025-04-23 18:30,113,13.1,105.0,135.0,165.0,običajni pretok,8.5
8332,2025-04-23 20:30,2025-04-23 19:30,113,13.1,105.0,135.0,165.0,običajni pretok,8.4
8332,2025-04-23 21:30,2025-04-23 20:30,113,13.1,105.0,135.0,165.0,običajni pretok,8.2
8332,2025-04-23 22:30,2025-04-23 21:30,114,13.7,105.0,135.0,165.0,običajni pretok,8.2
8332,2025-04-23 23:30,2025-04-23 22:30,114,13.7,105.0,135.0,165.0,običajni pretok,8.1
8332,2025-04-24 00:30,2025-04-23 23:30,114,13.7,105.0,135.0,165.0,običajni pretok,8.0
8332,2025-04-24 02:00,2025-04-24 01:00,114,13.7,105.0,135.0,165.0,običajni pretok,8.0
8332,2025-04-24 03:30,2025-04-24 02:30,114,13.7,105.0,135.0,165.0,običajni pretok,7.9
8332,2025-04-24 04:30,2025-04-24 03:30,114,13.7,105.0,135.0,165.0,običajni pretok,7.9
8332,2025-04-24 05:30,2025-04-24 04:30,114,13.7,105.0,135.0,165.0,običajni pretok,7.8
8332,2025-04-24 06:30,2025-04-24 05:30,114,13.7,105.0,135.0,165.0,običajni pretok,7.8
