sifra,datum,datum_cet,vodostaj,pretok,prvi_vv_pretok,drugi_vv_pretok,tretji_vv_pretok,pretok_znacilni,temp_vode
8351,2025-04-19 22:30,2025-04-19 21:30,118,1.26,2.5,2.8,3.0,običajni pretok,10.7
8351,2025-04-22 07:30,2025-04-22 06:30,122,1.34,2.5,2.8,3.0,običajni pretok,9.8
8351,2025-04-22 10:30,2025-04-22 09:30,121,1.32,2.5,2.8,3.0,običajni pretok,9.8
8351,2025-04-22 11:00,2025-04-22 10:00,121,1.32,2.5,2.8,3.0,običajni pretok,9.8
8351,2025-04-22 11:30,2025-04-22 10:30,122,1.34,2.5,2.8,3.0,običajni pretok,9.8
8351,2025-04-22 12:30,2025-04-22 11:30,122,1.34,2.5,2.8,3.0,običajni pretok,10.1
8351,2025-04-22 13:30,2025-04-22 12:30,122,1.34,2.5,2.8,3.0,običajni pretok,10.4
8351,2025-04-22 14:30,2025-04-22 13:30,122,1.34,2.5,2.8,3.0,običajni pretok,10.8
8351,2025-04-22 15:30,2025-04-22 14:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.2
8351,2025-04-22 16:30,2025-04-22 15:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.5
8351,2025-04-22 17:30,2025-04-22 16:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.6
8351,2025-04-22 18:30,2025-04-22 17:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.6
8351,2025-04-22 19:30,2025-04-22 18:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.7
8351,2025-04-22 20:30,2025-04-22 19:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.6
8351,2025-04-22 21:30,2025-04-22 20:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.5
8351,2025-04-22 22:30,2025-04-22 21:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.4
8351,2025-04-22 23:30,2025-04-22 22:30,122,1.34,2.5,2.8,3.0,običajni pretok,11.3
8351,2025-04-23 00:30,2025-04-22 23:30,121,1.32,2.5,2.8,3.0,običajni pretok,11.1
8351,2025-04-23 02:00,2025-04-23 01:00,121,1.32,2.5,2.8,3.0,običajni pretok,10.8
8351,2025-04-23 03:30,2025-04-23 02:30,121,1.32,2.5,2.8,3.0,običajni pretok,10.5
8351,2025-04-23 04:30,2025-04-23 03:30,121,1.32,2.5,2.8,3.0,običajni pretok,10.3
8351,2025-04-23 05:30,2025-04-23 04:30,121,1.32,2.5,2.8,3.0,običajni pretok,10.0
8351,2025-04-23 06:30,2025-04-23 05:30,121,1.32,2.5,2.8,3.0,običajni pretok,9.9
8351,2025-04-23 07:30,2025-04-23 06:30,120,1.3,2.5,2.8,3.0,običajni pretok,9.8
8351,2025-04-23 08:30,2025-04-23 07:30,120,1.3,2.5,2.8,3.0,običajni pretok,9.7
8351,2025-04-23 09:30,2025-04-23 08:30,120,1.3,2.5,2.8,3.0,običajni pretok,9.7
8351,2025-04-23 10:30,2025-04-23 09:30,120,1.3,2.5,2.8,3.0,običajni pretok,9.7
8351,2025-04-23 11:30,2025-04-23 10:30,120,1.3,2.5,2.8,3.0,običajni pretok,9.7
8351,2025-04-23 12:30,2025-04-23 11:30,120,1.3,2.5,2.8,3.0,običajni pretok,9.9
8351,2025-04-23 13:30,2025-04-23 12:30,120,1.3,2.5,2.8,3.0,običajni pretok,10.1
8351,2025-04-23 14:30,2025-04-23 13:30,120,1.3,2.5,2.8,3.0,običajni pretok,10.5
8351,2025-04-23 15:30,2025-04-23 14:30,120,1.3,2.5,2.8,3.0,običajni pretok,11.0
8351,2025-04-23 16:30,2025-04-23 15:30,121,1.32,2.5,2.8,3.0,običajni pretok,11.3
8351,2025-04-23 17:30,2025-04-23 16:30,121,1.32,2.5,2.8,3.0,običajni pretok,11.4
8351,2025-04-23 18:30,2025-04-23 17:30,120,1.3,2.5,2.8,3.0,običajni pretok,11.5
8351,2025-04-23 19:30,2025-04-23 18:30,120,1.3,2.5,2.8,3.0,običajni pretok,11.5
8351,2025-04-23 20:30,2025-04-23 19:30,120,1.3,2.5,2.8,3.0,običajni pretok,11.6
8351,2025-04-23 21:30,2025-04-23 20:30,120,1.3,2.5,2.8,3.0,običajni pretok,11.6
8351,2025-04-23 22:30,2025-04-23 21:30,120,1.3,2.5,2.8,3.0,običajni pretok,11.4
8351,2025-04-23 23:30,2025-04-23 22:30,120,1.3,2.5,2.8,3.0,običajni pretok,11.2
8351,2025-04-24 00:30,2025-04-23 23:30,120,1.3,2.5,2.8,3.0,običajni pretok,11.1
